Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Cory Vance","COL",0.2,1,,,,,0.2,,0.6,1,,,,,0.94047619,"Cory Vance",1647,425246
"Nerio Rodriguez","- - -",0.7,90,0.1,,,,,,0.2,80,,,,,0.84375,"Nerio Rodriguez",403,121361
"Todd Zeile","COL",0.5,,,,,,0.5,1,,,,,,,0.81818182,"Todd Zeile",457,124755
"Ed Vosberg","MON",0.66666667,,0.33333333,,,,,,,,,,,,0.80645161,"Ed Vosberg",1426,123756
"Courtney Duncan","CHC",0.45454545,89.4,0.54545455,83.6,,,,,,,,,,,0.73170732,"Courtney Duncan",276,400131
"Armando Reynoso","ARI",0.78947368,85.14285714,,,,,0.10526316,78,0.10526316,82,,,,,0.55813953,"Armando Reynoso",72,121117
"Mike Trombley","MIN",0.44897959,85.5,,,,,0.16326531,76.2,0.2244898,70.75,0.16326531,78.5,,,0.45555556,"Mike Trombley",758,123472
"David Lundquist","SDP",0.68421053,1.25,0.10526316,,,,0.13157895,1,0.07894737,,,,,,0.44927536,"David Lundquist",1046,150326
"Brian Mallette","MIL",0.70588235,74.83333333,0.21568627,60.5,,,0.07843137,57,,,,,,,0.40697674,"Brian Mallette",1460,407850
"Shane Loux","DET",0.71875,88,,,,,0.19375,77.43478261,0.0875,80.63636364,,,,,0.3625498,"Shane Loux",1613,400076
"Mac Suzuki","KCR",0.7375,78.04950495,0.0625,76.4,,,0.04166667,55.14285714,0.0875,69.71428571,0.07083333,57.8,,,0.3495935,"Mac Suzuki",1485,123010
"Robert Ellis","LAD",0.65625,83.15789474,0.15625,84.8,,,0.15625,78.4,0.03125,81,,,,,0.33333333,"Robert Ellis",649,113819
"Brian Shouse","KCR",0.67241379,84.06122449,,,,,0.24137931,71.68965517,0.0862069,75.2,,,,,0.3229572,"Brian Shouse",630,122195
"Aaron Taylor","SEA",0.76190476,85.44444444,0.17460317,82.6,,,,,0.06349206,83,,,,,0.32258065,"Aaron Taylor",1627,407818
"Mike MacDougal","KCR",0.71559633,92.85714286,0.28440367,83.33333333,,,,,,,,,,,0.30573248,"Mike MacDougal",612,213680
"Kent Mercker","COL",0.72614841,88.33714286,0.10424028,79.75,,,0.05830389,67.77419355,0.11130742,74.28571429,,,,,0.30381304,"Kent Mercker",439,118967
"Mike Buddie","MIL",0.65948276,87.39366516,0.06896552,80.92857143,,,0.2112069,72.41538462,0.06034483,76.95238095,,,,,0.27838258,"Mike Buddie",678,133322
"Nick Neugebauer","MIL",0.67924528,90.24566474,0.28930818,75.88732394,,,,,0.03144654,65.44444444,,,,,0.26660517,"Nick Neugebauer",698,400302
"Seth Greisinger","DET",0.64135021,83.80094787,,,,,0.13924051,73.92982456,0.21940928,73.16666667,,,,,0.26053042,"Seth Greisinger",467,133960
"Tom Davey","SDP",0.65957447,91.39285714,0.34042553,80.08108108,,,,,,,,,,,0.25593668,"Tom Davey",1026,150470
"Brian Moehler","- - -",0.61424731,85.11678832,0.1922043,77.0729927,,,,,0.19354839,77.02941176,,,,,0.24313327,"Brian Moehler",480,119215
