Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Francisco Rodríguez","ANA",0.17647059,0.67924528,0.48275862,0.33333333,0.52777778,0.5,0.6091954,0.80952381,0.22826087,0.20652174,0.43478261,"Francisco Rodriguez",1642,408061
"Jason Pearson","SDP",0.22222222,0.69230769,0.5,0,0.77777778,0.63636364,0.59090909,0.5,0.18181818,0.18181818,0.36363636,"Jason Pearson",1512,421983
"Eric Gagne","LAD",0.32212389,0.74512744,0.55113636,0.37362637,0.70422535,0.61561119,0.5413961,0.6656051,0.20930233,0.15156375,0.36086608,"Eric Gagne",650,150378
"Damaso Marte","CHW",0.23568282,0.60305344,0.43251534,0.4953271,0.77848101,0.70685579,0.53578732,0.625,0.12678937,0.21574642,0.34253579,"Damaso Marte",247,150122
"Franklyn German","DET",0.10714286,0.64705882,0.4556962,0.33333333,0.75757576,0.72222222,0.64556962,0.64,0.12048193,0.21686747,0.3373494,"Franklyn German",1603,407883
"Sean DePaula","CLE",0.21818182,0.5890411,0.4296875,0.41666667,0.76744186,0.69090909,0.5703125,0.48484848,0.1328125,0.203125,0.3359375,"Sean DePaula",377,234994
"Octavio Dotel","HOU",0.22410866,0.73167849,0.52334495,0.38636364,0.72859451,0.66844208,0.58954704,0.60638298,0.17267684,0.16088766,0.33356449,"Octavio Dotel",555,136734
"John Smoltz","ATL",0.25482625,0.73374613,0.52061856,0.3030303,0.76371308,0.66336634,0.55498282,0.7133758,0.17450813,0.15825492,0.33276305,"John Smoltz",115,122477
"Randy Johnson","ARI",0.24561404,0.68712506,0.48534202,0.27455357,0.78173271,0.66442953,0.54297169,0.62125604,0.16278487,0.16954671,0.33233158,"Randy Johnson",60,116615
"Scott Sauerbeck","PIT",0.20781893,0.59655832,0.40931615,0.31683168,0.83653846,0.7094431,0.51833499,0.54901961,0.11764706,0.21372549,0.33137255,"Scott Sauerbeck",1007,150261
"John Rocker","TEX",0.19354839,0.6746988,0.46896552,0.33333333,0.76785714,0.69117647,0.57241379,0.57894737,0.14383562,0.18721461,0.33105023,"John Rocker",1273,132340
"Byung-Hyun Kim","ARI",0.21367521,0.6440678,0.45784024,0.36,0.81174089,0.72051696,0.56730769,0.58892128,0.1274871,0.20117907,0.32866618,"Byung-Hyun Kim",61,218294
"Arthur Rhodes","SEA",0.22121896,0.71043771,0.50144648,0.39795918,0.76540284,0.69615385,0.57280617,0.6770428,0.15163148,0.1756238,0.32725528,"Arthur Rhodes",1097,121125
"Ugueth Urbina","BOS",0.25480769,0.75367647,0.5375,0.41509434,0.70731707,0.64728682,0.56666667,0.64876033,0.18666667,0.14051282,0.32717949,"Ugueth Urbina",216,123584
"Billy Wagner","HOU",0.22297297,0.71729323,0.51938683,0.42424242,0.75262055,0.69618056,0.59963931,0.66435986,0.15611062,0.1677074,0.32381802,"Billy Wagner",578,123790
"Jeff Nelson","SEA",0.14563107,0.5911215,0.37261905,0.38333333,0.79051383,0.71246006,0.50952381,0.53266332,0.10600707,0.21672556,0.32273263,"Jeff Nelson",1092,119704
"Trevor Hoffman","SDP",0.21761658,0.68273092,0.47963801,0.38095238,0.77941176,0.7004717,0.56334842,0.69795918,0.14253648,0.17957351,0.32210999,"Trevor Hoffman",1035,116034
"Pat Strange","NYM",0.36,0.63793103,0.50925926,0.55555556,0.83783784,0.74545455,0.53703704,0.7,0.125,0.19642857,0.32142857,"Pat Strange",896,407882
"Pedro Martínez","BOS",0.21703704,0.69226361,0.48497577,0.43003413,0.77235099,0.70552965,0.5638126,0.63278272,0.14276486,0.17797158,0.32073643,"Pedro Martinez",200,118377
"Adrian Hernandez","NYY",0.18032787,0.59375,0.392,0.27272727,0.84210526,0.71428571,0.512,0.64705882,0.112,0.208,0.32,"Adrian Hernandez",1504,406324
"Curt Schilling","ARI",0.27102804,0.7009009,0.52770307,0.40394089,0.80784062,0.72426096,0.59709521,0.70698132,0.14588931,0.17329393,0.31918323,"Curt Schilling",73,121811
"Alan Embree","- - -",0.20403023,0.73411371,0.52261307,0.30864198,0.75854214,0.68846154,0.60100503,0.64143426,0.1610338,0.15805169,0.31908549,"Alan Embree",1030,113833
"Robb Nen","SFG",0.29262673,0.74804382,0.5638397,0.30708661,0.78033473,0.68099174,0.59552656,0.63122924,0.17540687,0.14285714,0.31826401,"Robb Nen",1123,119718
"Johan Santana","MIN",0.18621524,0.71231527,0.47611292,0.30519481,0.74135546,0.66476625,0.55103149,0.58185841,0.15960912,0.15743757,0.31704669,"Johan Santana",755,276371
"Chad Bradford","OAK",0.15802469,0.63864307,0.45891043,0.484375,0.84757506,0.80080483,0.62603878,0.70418006,0.08983666,0.22686025,0.31669691,"Chad Bradford",904,136268
"Britt Reames","MON",0.22416813,0.67758621,0.45264987,0.3359375,0.78625954,0.6756238,0.50390964,0.58116883,0.14456801,0.1710864,0.31565441,"Britt Reames",794,337392
"John Stephens","BAL",0.21343874,0.62093863,0.42641509,0.35185185,0.84593023,0.72787611,0.52264151,0.57651246,0.11549296,0.19812207,0.31361502,"John Stephens",1569,407856
"Scott Wiggins","TOR",0.22727273,0.65217391,0.44444444,0,0.93333333,0.7,0.51111111,0.46153846,0.13333333,0.17777778,0.31111111,"Scott Wiggins",1631,424364
"Kazuhiro Sasaki","SEA",0.32415254,0.75569358,0.54240838,0.2875817,0.83013699,0.66988417,0.50575916,0.6626506,0.17647059,0.13415893,0.31062951,"Kazuhiro Sasaki",1098,277408
"Brendan Donnelly","ANA",0.20526316,0.69127517,0.46795647,0.44871795,0.77669903,0.71059432,0.54050786,0.6281407,0.13365155,0.17661098,0.31026253,"Brendan Donnelly",1441,407791
"Al Reyes","PIT",0.17692308,0.73825503,0.47670251,0.34782609,0.71818182,0.65413534,0.53405018,0.53731343,0.16370107,0.14590747,0.30960854,"Al Reyes",1005,121099
"Brian Fuentes","COL",0.13852814,0.69343066,0.43960396,0.5625,0.74736842,0.72072072,0.54257426,0.52542373,0.12277228,0.18613861,0.30891089,"Brian Fuentes",429,150118
"Todd Van Poppel","TEX",0.23116438,0.71592539,0.49492584,0.46666667,0.78356713,0.71608833,0.54410617,0.58153846,0.1399689,0.16640747,0.30637636,"Todd Van Poppel",1284,123650
"Tim Wakefield","BOS",0.20095238,0.69097473,0.47967146,0.52132701,0.79310345,0.74400685,0.5687885,0.58599696,0.12189156,0.18344884,0.3053404,"Tim Wakefield",219,123801
"Troy Percival","ANA",0.15673289,0.71711712,0.46527778,0.5915493,0.71105528,0.69296375,0.55059524,0.53070175,0.14229249,0.16304348,0.30533597,"Troy Percival",29,120401
"Eric DuBose","BAL",0.22857143,0.72340426,0.51219512,0.375,0.76470588,0.69047619,0.57317073,0.76,0.15853659,0.14634146,0.30487805,"Eric DuBose",1633,276511
"Kyle Farnsworth","CHC",0.2264631,0.68990385,0.46477132,0.29213483,0.80487805,0.68351064,0.51421508,0.54460094,0.14389359,0.16082225,0.30471584,"Kyle Farnsworth",278,150035
"Dan Plesac","- - -",0.2173913,0.67207792,0.44810544,0.32307692,0.8115942,0.69485294,0.50741351,0.51298701,0.13430421,0.16990291,0.30420712,"Dan Plesac",1319,120624
"Kane Davis","NYM",0.17777778,0.68531469,0.43884892,0.625,0.69387755,0.68032787,0.51438849,0.54285714,0.13986014,0.16433566,0.3041958,"Kane Davis",872,282327
"Matt Wise","ANA",0.19148936,0.66666667,0.488,0.44444444,0.86538462,0.80327869,0.624,0.66666667,0.096,0.208,0.304,"Matt Wise",42,277184
"Joey Eischen","MON",0.16666667,0.66365688,0.43881335,0.32786885,0.81972789,0.73521127,0.54758962,0.53917051,0.11380145,0.19007264,0.30387409,"Joey Eischen",774,113784
"Alex Herrera","CLE",0.03448276,0.76,0.49367089,0,0.71052632,0.69230769,0.63291139,0.55,0.15189873,0.15189873,0.30379747,"Alex Herrera",1505,407789
"Luis Vizcaino","MIL",0.22547332,0.75072886,0.50986582,0.29770992,0.75145631,0.65944272,0.54143646,0.61042945,0.171875,0.13125,0.303125,"Luis Vizcaino",714,150430
"Mark Lukasiewicz","ANA",0.16101695,0.61538462,0.40996169,0.47368421,0.875,0.80373832,0.54789272,0.62686567,0.08045977,0.22222222,0.30268199,"Mark Lukasiewicz",21,400081
