Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Robin Ventura","LAD",,,,,,,,,,,,,,,1,"Robin Ventura",854,123697
"Rodney Myers","LAD",,,,,,,,,,,,,,,1,"Rodney Myers",1511,119629
"Cody McKay","STL",,,,,,,,,,,,,,,1,"Cody McKay",1615,150424
"Jorge De Paula","NYY",0.53488372,87.86363636,0.18604651,77.2,,,0.09302326,74,0.18604651,80,,,,,0.6884058,"Jorge De Paula",1827,425428
"Brad Thomas","MIN",0.70588235,90.16666667,0.05882353,84,,,0.17647059,73.33333333,0.05882353,84,,,,,0.67924528,"Brad Thomas",757,346801
"Josh Stewart","CHW",0.60465116,86.7254902,0.02325581,83,,,0.25581395,71.95238095,0.11627907,75.8,,,,,0.48502994,"Josh Stewart",1683,425554
"Travis Phelps","MIL",0.62337662,88.04761905,0.28571429,82.53846154,,,0.01298701,75,0.07792208,81,,,,,0.45,"Travis Phelps",1221,400127
"Jon Rauch","- - -",0.62937063,88.54716981,0.15734266,81.85714286,,,0.13986014,80.04166667,0.07342657,82.375,,,,,0.42574257,"Jon Rauch",1475,400010
"Luke Hudson","CIN",0.55828221,91.20634921,0.02453988,85.66666667,,,0.27607362,75.96031746,0.14110429,85.5,,,,,0.41366906,"Luke Hudson",1542,346873
"Dave Williams","PIT",0.66042781,87.67251462,0.04278075,78.5,,,0.17379679,73.83333333,0.12299465,80.05405405,,,,,0.40255591,"Dave Williams",1013,400063
"Jamie Brown","BOS",0.60674157,88.45,0.15730337,82.92857143,,,0.01123596,81,0.2247191,82.81818182,,,,,0.4,"Jamie Brown",371,150343
"Derrick Turnbow","ANA",0.72881356,94.8372093,,,,,0.08474576,81.4,0.18644068,85.45454545,,,,,0.39393939,"Derrick Turnbow",1694,276913
"Gary Glover","MIL",0.71957672,92.00793651,0.17460317,85.85714286,,,0.08994709,76.64705882,0.01587302,84.33333333,,,,,0.38436482,"Gary Glover",234,150474
"Joe Beimel","MIN",0.55172414,89.8125,0.34482759,78.5,,,,,0.10344828,79.33333333,,,,,0.38297872,"Joe Beimel",979,346847
"Tomo Ohka","MON",0.53238342,89.55660377,0.23834197,82.75294118,0.01295337,85.3,0.05051813,75.43333333,0.0738342,81.6969697,0.09196891,83.10204082,,,0.38190552,"Tomo Ohka",788,219594
"J.D. Durbin","MIN",0.72340426,94.29166667,0.10638298,81.75,,,0.08510638,80.5,0.08510638,86.2,,,,,0.36912752,"J.D. Durbin",7992,429716
"Michael Tejera","- - -",0.65942029,87.53246753,0.16666667,76.80952381,,,0.13768116,74.125,0.03623188,77.4,,,,,0.36111111,"Michael Tejera",542,150373
"Wilfredo Ledezma","DET",0.62748644,91.4375,0.03797468,79.27777778,,,0.15189873,77.39189189,0.18264014,78.86813187,,,,,0.33969011,"Wilfredo Ledezma",1669,425656
"Rick Ankiel","STL",0.63716814,89.58823529,,,,,0.34513274,70.18918919,0.01769912,81.5,,,,,0.33918129,"Rick Ankiel",1142,150449
"Carlos Pulido","MIN",0.52755906,86,0.23622047,82.30769231,,,0.00787402,76,0.22834646,78.61111111,,,,,0.33502538,"Carlos Pulido",1815,120800
"Jay Powell","TEX",0.71942446,90.51034483,0.20143885,81.48571429,,,0.00359712,75,0.07553957,82.76923077,,,,,0.32116788,"Jay Powell",1271,120717
"Willis Roberts","PIT",0.72463768,91.53409091,0.16666667,81.8,,,,,0.01449275,82.5,0.0942029,84.9,,,0.31,"Willis Roberts",167,150199
"Andy Pratt","CHC",0.45454545,90.55555556,0.3030303,79.4,,,0.09090909,,0.15151515,82.8,,,,,0.29787234,"Andy Pratt",1640,407892
"Matt Mantei","ARI",0.77483444,94.83561644,0.08609272,82.88888889,,,0.13907285,76.52941176,,,,,,,0.29767442,"Matt Mantei",64,118256
"Santiago Casilla","OAK",0.58163265,93.90909091,0.1122449,80.63636364,,,0.14285714,81,0.16326531,85,,,,,0.29496403,"Santiago Casilla",2873,433586
"Jeff Francis","COL",0.63991323,87.875,0.09544469,77.95833333,,,0.14099783,77.59615385,0.12364425,80,,,,,0.28858025,"Jeff Francis",4684,433585
"Steve Colyer","DET",0.64285714,91.89041096,0.18663594,80.89393939,,,0.08986175,77.61764706,0.08064516,79.2962963,,,,,0.28217822,"Steve Colyer",1678,407873
"Kevin Correia","SFG",0.7611336,90.98823529,0.19838057,83.26190476,,,,,0.04048583,82.6,,,,,0.28197674,"Kevin Correia",1767,429781
"Dennys Reyes","KCR",0.55691367,88.76391231,0.28189458,82.47923323,0.00687548,85.5,0.07486631,76.74725275,0.07944996,82.23958333,,,,,0.27217631,"Dennys Reyes",444,121096
