Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Charlie Haeger","CHW",0.0921817421913147,,,,,,4.3559675216674805,0.1843634843826294,,,,,,1.491769699201192,"Charlie Haeger",3545,446624
"Tim Wakefield","BOS",-2.232517957687378,,,-2.0293214321136475,,,6.337203025817871,-0.9149663761013844,,,-3.27309908405427,,,0.33266157615841846,"Tim Wakefield",219,123801
"Jared Fernandez","MIL",-0.3953133821487427,,,0.12340348213911057,,,-3.403949022293091,-1.8824446768987746,,,6.170174106955528,,,-4.101143400353122,"Jared Fernandez",324,220594
"R.A. Dickey","TEX",-2.7688844203948975,,,,-0.065462127327919,,-4.525503635406494,-46.14807367324829,,,,-6.546212732791901,,-8.538686104540554,"R.A. Dickey",1245,285079
"Woody Williams","SDP",3.438624918460846,-1.2867167592048645,-2.282684803009033,6.861796513199806,-0.7195476815104485,-0.042715903371572495,-2.7826380729675293,0.2911621438154823,-0.5618850476877137,-1.1080994189364237,1.3723593026399612,-0.6918727706831236,-4.2715903371572495,-14.645463541934364,"Woody Williams",1190,124315
"Ramon Ortiz","WSN",-28.61163902282715,5.394900798797607,0.6955962181091309,,-3.8479020595550537,,,-1.8554889119861966,0.5123362581954043,3.16180099140514,,-1.0371703664568879,,,"Ramon Ortiz",27,150009
"Scott Schoeneweis","- - -",2.4455840587615967,2.1462669372558594,,,-0.06740828230977058,,,0.3666542816734028,2.02478012948666,,,-0.6740828230977058,,,"Scott Schoeneweis",33,150011
"Aaron Sele","LAD",5.283928453922272,0.5067932605743408,-4.704295039176941,-0.6167955994606018,-3.9231988340616226,,,0.5712355085321374,0.6415104564232162,-3.5370639392307828,-0.17724011478752927,-2.5310960219752405,,,"Aaron Sele",34,121986
"Scot Shields","LAA",15.574329376220703,3.248065710067749,0.03937000036239624,-0.2781023383140564,0.34318801760673523,,,1.5062214096925244,3.4553890532635627,3.937000036239624,-0.1841737339828188,4.9026859658105035,,,"Scot Shields",35,276912
"Jarrod Washburn","SEA",6.790833473205566,-4.874093055725098,-0.6248291730880737,4.568631172180176,-2.383788585662842,,,0.34124791322641035,-1.7345526888701415,-0.4083850804497214,2.4695303633406356,-0.6004505253558796,,,"Jarrod Washburn",40,132220
"Matt Wise","MIL",-5.459834575653076,-0.10535139590501785,,0.02047603949904442,7.9753241539001465,,,-1.4559558868408202,-0.7023426393667858,,0.40952078998088837,2.338804737214119,,,"Matt Wise",42,277184
"Miguel Batista","ARI",3.103459358215332,2.762299247086048,-4.392954349517822,-3.088718891143799,0.10838652402162552,-4.011652946472168,,0.20022318440098916,1.0044724534858358,-0.5286346990996176,-1.6786515712738037,0.06947854103950354,-2.2537376103776223,,"Miguel Batista",46,110683
"Rick Helling","MIL",1.7865238189697266,1.8493928909301758,-0.32379257678985596,1.6218889951705933,-1.5354007184505463,,,0.6118232256745639,2.76028789691071,-0.4205098399868259,1.5017490696024012,-10.967147988932473,,,"Rick Helling",58,115727
"Randy Johnson","NYY",-4.6609368324279785,16.204465866088867,,,1.5146281719207764,-0.21544215083122253,,-0.259517641003785,1.4352936993878536,,,3.442336754365401,-0.10067390225758062,,"Randy Johnson",60,116615
"Byung-Hyun Kim","COL",-15.317635536193848,7.6612324714660645,,,-3.500265598297119,,,-0.9561570247312015,1.0715010449602886,,,-2.7345824986696243,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","ARI",-0.7706916332244873,-0.8355220556259155,,,0.1561737358570099,,,-1.9761323928833008,-9.283578395843506,,,1.5617373585700989,,,"Mike Koplove",63,407377
"Mike Myers","NYY",1.238000750541687,1.0663000345230103,,,0.4333162307739258,,,0.4654138159931154,0.48031533086622086,,,1.733264923095703,,,"Mike Myers",68,119624
"John Patterson","WSN",1.9927927255630493,0.011091910302639008,-0.5414131879806519,2.7492709159851074,0.12807244062423706,,,0.4688924060148351,0.012324344780710008,-3.8672370570046564,2.722050411866443,1.1642949147657915,,,"John Patterson",71,279568
"Curt Schilling","BOS",0.660329282283783,1.7034473419189453,3.033646821975708,-0.5564900636672974,0.400177538394928,6.968125820159912,,0.03341747379978659,3.7031463954759682,1.3665075774665352,-0.3273470962748808,3.334812819957733,0.9108661202823415,,"Curt Schilling",73,121811
"Tom Glavine","NYM",6.4000067710876465,-2.349121332168579,0.18070945143699646,0.3782155513763428,-0.9377679228782654,,,0.3975159485147607,-1.2363796485097784,0.5829337143128918,0.2780996701296638,-0.07661502637894325,,,"Tom Glavine",90,114849
"Kevin Gryboski","WSN",-4.4751715660095215,-0.469450443983078,,,-1.333336353302002,,,-4.566501597968899,-1.7387053480854742,,,-44.44454511006673,,,"Kevin Gryboski",91,407839
"Chris Hammond","CIN",-0.5110998153686523,1.990592360496521,0.03937000036239624,-1.4401215314865112,0.005622170865535736,,,-0.2823755886014654,1.990592360496521,1.968500018119812,-9.600810209910076,0.003931588017857158,,,"Chris Hammond",92,115391
"Greg Maddux","- - -",4.828070640563965,2.487992435693741,-0.0796985775232315,-0.8449016213417053,9.289651542901993,,,0.2663028483488122,3.7134215458115536,-0.22771022149494716,-1.6566698457680495,1.2435945840564917,,,"Greg Maddux",104,118120
"Jason Marquis","STL",-20.37413215637207,-4.330721855163574,-0.8446765542030334,-7.843057632446289,2.379666805267334,,,-1.0305580251073378,-1.621993204181114,-0.6547880265139795,-2.114031706858838,0.7932222684224447,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",7.583606243133545,4.335886478424072,-2.807032346725464,5.104934215545654,0.46018147468566895,0.3693670928478241,,0.33719903259820116,0.8322238922119141,-2.019447731457168,1.803863680404825,0.7190335541963577,12.312236428260803,,"Kevin Millwood",106,119154
"Joe Nelson","KCR",1.3870468139648438,-0.0240471251308918,,-0.764026403427124,0.5088875889778137,,,0.27575483379022736,-0.10455271796039912,,-4.244591130150689,0.22820071254610483,,,"Joe Nelson",108,406874
"Horacio Ramirez","ATL",-2.2917113304138184,-1.6121190786361694,0.933605968952179,0.3271029591560364,2.3902056217193604,,,-0.3071999102431392,-1.7334613748776015,0.6528713069595656,0.7110933894696443,1.5224239628785734,,,"Horacio Ramirez",110,400141
"Mike Remlinger","ATL",0.16682744026184082,1.1269696950912476,,0.28655385971069336,-1.2118760347366333,,,0.07906513756485348,1.32584670010735,,1.5919658872816298,-1.5945737299166227,,,"Mike Remlinger",111,121060
"John Smoltz","ATL",2.123087167739868,24.173898696899414,0.47176140546798706,-2.915900230407715,-1.7344226837158203,2.7659285068511963,,0.13566052190031105,2.228009096488425,11.794035136699677,-1.845506474941592,-0.6722568541534187,0.9603918426566653,,"John Smoltz",115,122477
"Dan Wheeler","HOU",12.466880798339844,1.4203200340270996,0.1899998039007187,-0.05645504593849182,-2.2734248638153076,1.595763921737671,,1.812046627665675,0.44109317826928557,2.71428291286741,-0.13769523399632153,-4.546849727630615,14.506944743069736,,"Dan Wheeler",120,235095
"Rick Bauer","TEX",5.121593594551086,-1.1533436477184296,0.28168150782585144,,-0.6026619672775269,,,0.5603494085942107,-0.6628411768496721,9.38938359419505,,-5.478745157068426,,,"Rick Bauer",125,407400
"Erik Bedard","BAL",2.4697651863098145,-0.799953043460846,1.606644868850708,13.767699241638184,-1.4046335220336914,,,0.11666344762918349,-6.6662753621737165,3.031405412925864,1.898992998846646,-0.40132386343819754,,,"Erik Bedard",126,407853
"Scott Erickson","NYY",-0.7004460096359253,0.16664716601371765,,-1.2864842414855957,0.1906440258026123,,,-0.40723605211391,0.37032703558603924,,-64.32421207427979,3.1774004300435386,,,"Scott Erickson",137,113884
"Jason Johnson","- - -",-19.64963984489441,0.6964787021279335,,-1.0144732594490051,2.9604353308677673,,,-1.7282005140628327,0.2710033860419975,,-0.4611242088404569,2.114596664905548,,,"Jason Johnson",147,116595
"Jorge Julio","- - -",-1.2494392096996307,6.573652267456055,,-0.07126905769109726,-2.448432683944702,-0.16453447192907333,,-0.15559641465748827,1.9800157432096552,,-1.7817264422774315,-5.971787034011468,-2.0566808991134167,,"Jorge Julio",148,406402
"Rodrigo Lopez","BAL",-7.121965527534485,-9.287274286150932,1.3840550184249878,-5.373048901557922,-9.508829772472382,,,-0.40078590475714604,-2.327637665701988,1.0646577064807599,-1.8091073742619268,-2.3420762986385175,,,"Rodrigo Lopez",150,150438
"Sidney Ponson","- - -",-10.607832491397858,-3.801713153719902,0.03937000036239624,1.190652996301651,0.7797511592507362,,,-1.219291090965271,-1.473532230123993,3.937000036239624,1.3378123553951136,0.41697922954584826,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",26.42731285095215,2.8179962635040283,,,0.21298854053020477,,,3.2228430306039204,1.1741651097933452,,,1.3311783783137798,,,"B.J. Ryan",168,124805
"Rafael Betancourt","CLE",12.345475196838379,-1.1887524127960205,,-2.3664865493774414,0.7918526530265808,,,1.6351622777269377,-3.3964354651314874,,-4.732973098754883,2.030391418016874,,,"Rafael Betancourt",177,429783
"Casey Fossum","TBD",-15.663017272949219,5.640444755554199,0.0879543274641037,0.736267626285553,-0.7758440375328064,,,-1.3502601097370015,2.5068643358018665,4.397716373205185,0.1265064649975177,-0.4910405300840547,,,"Casey Fossum",188,407154
"Dustin Hermanson","CHW",-1.0581650733947754,2.507934808731079,,-0.03511730581521988,0.8415690660476685,-1.6428239345550537,,-3.6488450806716393,6.966485579808553,,-3.511730581521988,8.415690660476685,-8.646441760816073,,"Dustin Hermanson",195,115812
"Sun-Woo Kim","- - -",-12.462791055440903,1.3436852842569351,,-0.7246430218219757,1.1860078126192093,,,-7.081131281500514,2.2394754737615585,,-12.077383697032928,4.941699219246706,,,"Sun-Woo Kim",197,279615
"Derek Lowe","LAD",18.98779571056366,5.840465813875198,-1.7530015707015991,0.3523447513580322,-0.711499810218811,,,0.8897748692860197,1.0104612134732178,-4.737842082977295,1.0363080922295065,-0.19024059096759655,,,"Derek Lowe",199,117955
"Pedro Martínez","NYM",13.15108871459961,1.3672823905944824,-0.11655525118112564,9.747825622558594,-6.198323726654053,,,1.2512929319314567,0.3819224554733191,-0.3642351599410176,3.0367058014201227,-2.152195738421546,,,"Pedro Martinez",200,118377
"Darren Oliver","NYM",3.9838430881500244,-1.2762025594711304,-0.06683866679668427,2.5817673206329346,-0.9339598417282104,,,0.614790600023152,-1.2039646787463494,-0.03182793656984965,1.0124577727972293,-3.735839366912842,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",-16.509567260742188,0.7675455212593079,4.586030960083008,-2.680290460586548,-3.6904807090759277,,,-1.1972129993286575,0.338125780290444,0.9716167288311458,-0.9274361455316774,-0.5904769134521484,,,"Mark Buehrle",225,279824
"Keith Foulke","BOS",-2.2245397567749023,-0.03317289054393768,,-0.028183341026306152,1.621654748916626,0.24085694551467896,,-0.46832415932103205,-0.03727291072352549,,-1.4091670513153076,0.9161891236817096,1.2042847275733948,,"Keith Foulke",231,114342
"Jon Garland","CHW",9.898616552352905,-2.8706626817584042,,1.9923022985458374,-11.408132553100586,,,0.43263184232311647,-0.6967627868345639,,1.5444203864696413,-2.546458159174238,,,"Jon Garland",232,279782
"Bob Howry","CHC",15.247910499572754,-4.2248616218566895,,,-0.3316558003425598,0.15430240333080292,,1.4494211501495013,-2.2592842897629355,,,-1.1436406908364132,5.143413444360098,,"Bob Howry",237,133982
"Damaso Marte","PIT",8.395708084106445,-4.71701717376709,0.15860114991664886,-0.042715903371572495,0.004252694547176361,,,1.1993868691580636,-1.7470433976915147,1.5860114991664886,-4.2715903371572495,0.21263472735881805,,,"Damaso Marte",247,150122
"Antonio Alfonseca","TEX",0.7981778383255005,-0.9785608053207397,,,-3.0533058643341064,0.5154070854187012,,0.42456267996037256,-2.644758933299297,,,-30.533058643341064,1.4725916726248605,,"Antonio Alfonseca",260,110134
"Joe Borowski","FLA",-3.3021764755249023,9.739618301391602,,0.7518291473388672,1.0695594549179077,0.15852078795433044,,-0.573294527000851,1.9172476971243309,,9.39786434173584,1.3204437715035897,15.852078795433044,,"Joe Borowski",267,111244
"Matt Clement","BOS",-9.879054069519043,-2.0337302684783936,1.773290991783142,,-0.5822122693061829,,,-1.4657350251511931,-0.7086168182851545,1.0191327538983574,,-3.4247780547422524,,,"Matt Clement",271,136725
"Juan Cruz","ARI",10.349734544754028,-0.9049874097108841,1.2775409296154976,-1.4162246584892273,-1.5596178770065308,,,0.9366275606112242,-0.4113579135049473,1.2284047400149016,-4.883533305135266,-0.9509865103698358,,,"Juan Cruz",273,407297
"Kyle Farnsworth","NYY",1.2356433868408203,3.744558095932007,,0.1664028912782669,0.30436286330223083,,,0.15882305743455274,1.2565631194402709,,8.320144563913345,10.145428776741028,,,"Kyle Farnsworth",278,150035
"Jeff Fassero","SFG",-7.464824676513672,-0.9941279888153076,0.5421314984560013,1.1434383988380432,0.4390067458152771,,,-4.943592501002432,-1.2745230625837278,9.03552497426669,22.868767976760864,1.4161507929525068,,,"Jeff Fassero",279,114032
