Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Greinke","KCR",16,8,0,33,33,229.1,9.497093233886835,2.0014535327612752,0.4316860560857652,0.3031301482701812,0.79283887,0.400335008,0.045454545,94.10017280146569,2.158430280428826,,2.329641881822057,3.091332465702856,8.694524765014648,"Zack Greinke",1943,425844
"Justin Verlander","DET",19,9,0,35,35,240,10.0875,2.3625,0.75,0.3189102564102564,0.72692308,0.360189573,0.073800738,96.21016248574686,3.45,,2.801250425974528,3.2002098086290065,8.433119773864746,"Justin Verlander",8700,434378
"Tim Lincecum","SFG",15,7,0,32,32,225.1,10.424556448322646,2.715976392666436,0.3994082930391818,0.28214285714285714,0.75877193,0.475319926,0.054945054,92.87111913881151,2.4763314168429273,,2.3426458724560737,2.8260059867697085,7.579198360443115,"Tim Lincecum",5705,453311
"Félix Hernández","SEA",19,5,0,34,34,238.2,8.182960196301321,2.677374073444211,0.5656424098825797,0.2777777777777778,0.76744186,0.533632286,0.075,94.96752688645981,2.4888266034833513,,3.0887038717540456,3.3717191185176536,6.88866662979126,"Felix Hernandez",4772,433587
"Roy Halladay","TOR",17,10,0,32,32,239,7.832635983263598,1.3179916317991631,0.8284518828451883,0.3059163059163059,0.78947368,0.502115655,0.10576923,94.22100067138672,2.786610878661088,,3.055242755123761,3.001050971741457,6.8297600746154785,"Roy Halladay",1303,136880
"Cliff Lee","- - -",14,13,0,34,34,231.2,7.0316545218783695,1.6705035604462426,0.6604316401764214,0.3153526970954357,0.7615156,0.413407821,0.065134099,91.44814576221114,3.224460360861352,,3.110033399311321,3.635024479602925,6.4104321002960205,"Cliff Lee",1636,424324
"Javier Vazquez","ATL",15,10,0,32,32,219.1,9.76595699387028,1.8054710408835812,0.8206686549470824,0.2834507042253521,0.76616915,0.41652021,0.101010101,91.99125192901235,2.8723402923147883,,2.7688162973290287,2.7684554229036027,5.908411502838135,"Javier Vazquez",801,134320
"CC Sabathia","NYY",19,8,0,34,34,230,7.708694629344824,2.6217387825690515,0.7043477326304914,0.27666151468315303,0.71428571,0.429007633,0.073770491,95.0038385674505,3.365216944790126,,3.392735893992265,3.7679814955463513,5.823525428771973,"CC Sabathia",404,282332
"Josh Johnson","FLA",15,5,0,33,33,209,8.224880382775119,2.4976076555023923,0.6028708133971292,0.2901023890784983,0.74868651,0.502572898,0.075268817,95.78601694915254,3.229665071770335,,3.058806247346139,3.356261125463618,5.501926422119141,"Josh Johnson",4567,435178
"Jon Lester","BOS",15,8,0,32,32,203.1,9.959016642561531,2.832786956106391,0.8852459237832473,0.3126177024482109,0.76888889,0.47706422,0.106382978,94.5676525297619,3.4081968065655017,,3.151182121316838,3.086232280215477,5.371488094329834,"Jon Lester",4930,452657
"Ubaldo Jiménez","COL",15,12,0,33,33,218,8.174311354449117,3.5091740663039133,0.5366972101405986,0.27960526315789475,0.73518091,0.525252525,0.078313253,96.31895803400383,3.4678896655238676,,3.3631387865570472,3.587512341469877,5.311411380767822,"Ubaldo Jimenez",3374,434622
"Dan Haren","ARI",14,10,0,33,33,229.1,8.751453682465968,1.4912791028417345,1.059593046755969,0.26742301458670986,0.76962283,0.429252782,0.116883116,90.77968858809193,3.1395349533510197,,3.232258180910475,3.02400667733814,5.303787708282471,"Dan Haren",1757,429717
"Adam Wainwright","STL",19,8,0,34,34,233,8.188841201716738,2.5493562231759657,0.6566523605150214,0.2961309523809524,0.80398162,0.506666666,0.083333333,91.63375607052365,2.6266094420600856,,3.1142511412821103,3.315097654351861,5.253838539123535,"Adam Wainwright",2233,425794
"Chris Carpenter","STL",17,4,0,28,28,192.2,6.726643421037313,1.775086458329291,0.3269896107448694,0.26895306859205775,0.79497908,0.549815498,0.046052631,93.30888148716518,2.2422144736791045,,2.7752844598446567,3.33861591522749,5.167434215545654,"Chris Carpenter",1292,112020
