Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Dusty Brown","BOS",1,,,,,,,,,,,-14.508136681147985,,9.391074379285175,"Dusty Brown",3420,451259
"Tim Wakefield","BOS",129.2,2.4704343219136082,,,,,,,-1.388634575737847,,,,,-0.21762570800331138,"Tim Wakefield",219,123801
"R.A. Dickey","MIN",64.1,-0.9938996232731241,,,,,,,,,-28.320351243019104,,,-0.44379695864111807,"R.A. Dickey",1245,285079
"Charlie Haeger","LAD",19,8.304728223727299,,,,,,,1.7041826620697975,,,,,-0.5705643937272846,"Charlie Haeger",3545,446624
"Neftalí Feliz","TEX",31,2.8741030045497564,,,,,1.1371760732597775,1.695219594605115,,,,0.6740002438079479,,,"Neftali Feliz",18,491703
"Troy Percival","TBR",11.1,-0.9386824281423684,,,,,0.9190057093898455,4.9467261020953845,-0.7285197079181671,,,-6.882401992534769,,,"Troy Percival",29,120401
"Scott Schoeneweis","ARI",24,-0.04627445712685585,,,,,-2.303580197420987,0.445357859134674,,,,,,,"Scott Schoeneweis",33,150011
"Scot Shields","LAA",17.2,-1.5702845321761236,,,,,1.7798057867556203,,-5.705990225581799,,,,,,"Scot Shields",35,276912
"Jarrod Washburn","- - -",176,0.4189360253164702,,2.675690152977086,,,0.5394976286705931,2.668700529181439,1.6720204159270886,,,-1.494412835127388,,,"Jarrod Washburn",40,132220
"Miguel Batista","SEA",71.1,1.013453392421498,,,,,-0.3275740696833684,0.026838158057931577,-3.068619966506958,,,-1.606084660785954,,,"Miguel Batista",46,110683
"Randy Johnson","SFG",96,-2.1147656558763863,,,-2.0428510760902463,,0.7047857197237687,1.1062764204465427,,,,,,,"Randy Johnson",60,116615
"Jason Marquis","COL",216,,,,,,0.042674221269046984,1.614229302657278,-3.1673452128534727,,,-1.1258819881750612,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",198.2,-0.4915781510181916,,-1.3127547688782215,-0.14512476821740466,,0.8902538308708501,1.1403459594363259,-0.13001375172260035,,,-3.628806585676215,,,"Kevin Millwood",106,119154
"Joe Nelson","TBR",40.1,0.14218491828166713,,2.070307731628418,,,2.415377818621122,-19.653260707855225,,,,-1.3513510820096133,,,"Joe Nelson",108,406874
"Horacio Ramirez","KCR",22.2,0.42821722079629765,,-3.8515109568834305,,,3.6572733233051915,-4.839651745099287,-1.321860645594222,,,-0.9435307038457771,,,"Horacio Ramirez",110,400141
"John Smoltz","- - -",78,-2.8444563557287887,,,-1.0478098477636064,,-6.51519340582383,2.2948855307044056,-1.0523854361640081,,,,,,"John Smoltz",115,122477
"Dan Wheeler","TBR",57.2,0.9841952668993096,,7.188033312559128,0.685214065015316,,1.5461159735610805,0.7535115464941248,0.6620757813964572,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","SEA",83,0.6528771251713464,,3.480041452816555,,,0.2700179718844713,,1.4133542640024124,,,-0.7431486819652801,,,"Erik Bedard",126,407853
"Jorge Julio","MIL",17.1,-2.1633908516023217,,,,,-2.612613533672534,1.6943298944152227,,,,-1.0997596909018124,,,"Jorge Julio",148,406402
"Rodrigo Lopez","PHI",30,-0.9178779228296999,,,,,-0.22925658179034156,-6.577197392781575,,,,3.2482509377102056,,,"Rodrigo Lopez",150,150438
"Sidney Ponson","KCR",58.2,-4.500703061265605,,,,,-0.4725964944044205,-0.8655386093335274,-6.343600153923035,,,-2.4305606358929683,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",20.2,-0.7981434846535707,,3.1401594479878745,,,,-2.661990803598568,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","- - -",56,1.7007485754400011,,-1.9216589721632593,,,,2.4778137733409933,,,18.936020135879517,1.7361761167131622,,,"Rafael Betancourt",177,429783
"Casey Fossum","NYM",4,-6.507590413093567,,,,,2.40669846534729,-1.4003616982492906,3.820223013559977,,,,,,"Casey Fossum",188,407154
"Derek Lowe","ATL",194.2,,,2.6153496333530972,,,0.056427239155846715,-1.0616209694257515,,,,-1.9104976654052734,,,"Derek Lowe",199,117955
"Pedro Martínez","PHI",44.2,0.2461416877969338,,,,,-1.394290340190031,-0.9035171182067305,1.9575445275557668,,,-0.8453862588913714,,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",73,1.1142825492541486,,,,,0.22642979534660898,1.491992346712855,,,,0.12495151022449136,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",213.1,0.6695096579540127,,-0.4933558877713018,,,0.5743493872173762,26.55653953552246,-1.690418815612793,,,0.5424114345580109,,,"Mark Buehrle",225,279824
"Jon Garland","- - -",204,0.5433005567353506,,-0.24161887796301593,,,-0.5923628381624296,-0.40644103994297437,0.6432464374369712,,,0.5928560504763145,,,"Jon Garland",232,279782
"Bob Howry","SFG",63.2,3.2251505186720486,,,,,0.603498739224893,-1.6942960721952423,,,,-0.7939029095777825,,,"Bob Howry",237,133982
"Damaso Marte","NYY",13.1,0.1500098439662353,,,,,-0.07465631907222836,-2.3283412758733184,,,,11.297658830881119,,,"Damaso Marte",247,150122
"Daniel McCutchen","PIT",36.1,1.5286486489432198,,,,,-0.7315715154012044,-0.5711435806006193,-10.370291769504547,,,-3.375832551445057,,,"Daniel McCutchen",263,445216
"Juan Cruz","KCR",50.1,-1.3031774248395647,,1.984033336887112,,,,1.3709012702976107,,,,1.5661295444246321,,,"Juan Cruz",273,407297
"Kyle Farnsworth","KCR",37.1,-0.6610032566432846,,0.005898632876136724,,,-0.9831148506010939,1.0052394471774444,0,,,2.1605655550956726,,,"Kyle Farnsworth",278,150035
"Tom Gordon","ARI",1.2,-3.5285178820292153,,,,,-3.8515109568834305,-10.434616695750844,-3.5169986741883417,,,,,,"Tom Gordon",282,114971
"Ron Mahay","- - -",50.1,-1.186499236732401,,,,,5.211590478817621,0.09646031457155489,,,,-2.78840507274349,,,"Ron Mahay",290,118158
"Will Ohman","LAD",12.1,0.7649675011634827,,,,,-4.775368049740791,-6.254693233605588,,,,1.3834880044062934,,,"Will Ohman",296,349193
