Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",31,0.30859375,0.64081633,0.47105788,0.63291139,0.87261146,0.79237288,0.48902196,,"Neftali Feliz",18,491703
"Troy Percival","TBR",11.1,0.22857143,0.59821429,0.41935484,0.75,0.80597015,0.79120879,0.51612903,,"Troy Percival",29,120401
"Scott Schoeneweis","ARI",24,0.29292929,0.64974619,0.47088608,0.70689655,0.8984375,0.83870968,0.49873418,,"Scott Schoeneweis",33,150011
"Scot Shields","LAA",17.2,0.19607843,0.50625,0.35463259,0.76666667,0.96296296,0.90990991,0.51118211,,"Scot Shields",35,276912
"Jarrod Washburn","- - -",176,0.26163724,0.63284672,0.45603976,0.73619632,0.89273356,0.84995809,0.52370031,,"Jarrod Washburn",40,132220
"Miguel Batista","SEA",71.1,0.21338156,0.60849057,0.42472666,0.6440678,0.90956072,0.84752475,0.53490328,,"Miguel Batista",46,110683
"Randy Johnson","SFG",96,0.27635328,0.63860104,0.4660787,0.56701031,0.84584178,0.76710335,0.52374491,,"Randy Johnson",60,116615
"Jason Marquis","COL",216,0.25398773,0.61504425,0.43181818,0.68357488,0.91572456,0.84643115,0.49252802,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",198.2,0.26509854,0.61636829,0.44022952,0.75779376,0.90248963,0.85879797,0.49856551,,"Kevin Millwood",106,119154
"Joe Nelson","TBR",40.1,0.26804124,0.62640449,0.43951613,0.74038462,0.85650224,0.81957187,0.47849462,,"Joe Nelson",108,406874
"Horacio Ramirez","KCR",22.2,0.19135802,0.58974359,0.40896359,0.74193548,0.91304348,0.87671233,0.54621849,,"Horacio Ramirez",110,400141
"John Smoltz","- - -",78,0.29318542,0.63893016,0.47162577,0.62162162,0.8372093,0.77235772,0.51610429,,"John Smoltz",115,122477
"Dan Wheeler","TBR",57.2,0.29850746,0.56521739,0.44948187,0.65,0.89473684,0.82420749,0.56606218,,"Dan Wheeler",120,235095
"Erik Bedard","SEA",83,0.2979066,0.55172414,0.4346211,0.6972973,0.86,0.80854701,0.53863299,,"Erik Bedard",126,407853
"Jorge Julio","MIL",17.1,0.27835052,0.55970149,0.39329268,0.61111111,0.89333333,0.7751938,0.40853659,,"Jorge Julio",148,406402
"Rodrigo Lopez","PHI",30,0.23809524,0.62033898,0.47107438,0.75555556,0.89071038,0.86403509,0.60950413,,"Rodrigo Lopez",150,150438
"Sidney Ponson","KCR",58.2,0.19432314,0.60465116,0.41170431,0.75280899,0.93269231,0.89276808,0.52977413,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",20.2,0.22395833,0.60714286,0.41752577,0.69767442,0.89915966,0.84567901,0.50515464,,"B.J. Ryan",168,124805
"Rafael Betancourt","- - -",56,0.32038835,0.73409091,0.53403756,0.56060606,0.82972136,0.75164835,0.51643192,,"Rafael Betancourt",177,429783
"Casey Fossum","NYM",4,0.17647059,0.5862069,0.36507937,0.33333333,1,0.82608696,0.46031746,,"Casey Fossum",188,407154
"Derek Lowe","ATL",194.2,0.26168757,0.62027972,0.42273869,0.74945534,0.91657272,0.85958395,0.4491206,,"Derek Lowe",199,117955
"Pedro Martínez","PHI",44.2,0.30232558,0.61879896,0.46905089,0.65384615,0.81434599,0.76539589,0.52682256,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",73,0.30694981,0.56976744,0.44821429,0.58490566,0.86880466,0.77888446,0.5375,,"Darren Oliver",206,119984
"Tim Wakefield","BOS",129.2,0.2556391,0.59554731,0.43802887,0.78991597,0.85981308,0.84090909,0.53658537,,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",213.1,0.31955109,0.62817089,0.46443121,0.78003697,0.91073326,0.86302294,0.46944531,,"Mark Buehrle",225,279824
"Jon Garland","- - -",204,0.26602564,0.65188736,0.46546919,0.7373494,0.89705882,0.85296075,0.51687829,,"Jon Garland",232,279782
"Bob Howry","SFG",63.2,0.25858586,0.70337478,0.4952741,0.65625,0.84343434,0.79770992,0.53213611,,"Bob Howry",237,133982
"Damaso Marte","NYY",13.1,0.26271186,0.59459459,0.42358079,0.64516129,0.81818182,0.7628866,0.48471616,,"Damaso Marte",247,150122
"Daniel McCutchen","PIT",36.1,0.29457364,0.6589404,0.49107143,0.73684211,0.89447236,0.85090909,0.53928571,,"Daniel McCutchen",263,445216
"Juan Cruz","KCR",50.1,0.21459227,0.64536082,0.43427971,0.7,0.81469649,0.78692494,0.50998948,,"Juan Cruz",273,407297
"Kyle Farnsworth","KCR",37.1,0.33123028,0.64431487,0.49393939,0.60952381,0.80995475,0.74539877,0.51969697,,"Kyle Farnsworth",278,150035
"Tom Gordon","ARI",1.2,0.0952381,0.46153846,0.23529412,1,1,1,0.38235294,,"Tom Gordon",282,114971
"Ron Mahay","- - -",50.1,0.26371308,0.65871122,0.44904815,0.6,0.82246377,0.75311721,0.46920493,,"Ron Mahay",290,118158
"Will Ohman","LAD",12.1,0.17699115,0.72093023,0.4120603,0.6,0.88709677,0.81707317,0.4321608,,"Will Ohman",296,349193
"Kerry Wood","CLE",55,0.2402746,0.58958333,0.42311887,0.55238095,0.83745583,0.76030928,0.52344602,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",169.1,0.27132353,0.6322532,0.44957201,0.66666667,0.88676996,0.81953642,0.49385932,,"Carlos Zambrano",305,407296
"Elmer Dessens","NYM",32.2,0.2,0.64230769,0.43232323,0.80851064,0.93413174,0.90654206,0.52525253,,"Elmer Dessens",317,113296
"Danys Baez","BAL",71.2,0.26963907,0.60363636,0.44955926,0.74015748,0.92168675,0.87145969,0.53868756,,"Danys Baez",367,276056
"Bartolo Colon","CHW",62.1,0.21130221,0.62419006,0.43103448,0.6744186,0.91695502,0.86133333,0.53218391,,"Bartolo Colon",375,112526
"Chad Paronto","HOU",6.2,0.38235294,0.69090909,0.5203252,0.69230769,0.86842105,0.796875,0.44715447,,"Chad Paronto",399,406301
"David Riske","MIL",1,0.09090909,0.78571429,0.48,1,1,1,0.56,,"David Riske",402,228594
"CC Sabathia","NYY",230,0.29184038,0.6406834,0.47578829,0.62653061,0.82666667,0.76863905,0.52730856,,"CC Sabathia",404,282332
"Billy Traber","BOS",3.2,0.14814815,0.65116279,0.45714286,0.75,0.89285714,0.875,0.61428571,,"Billy Traber",410,407896
"Brian Fuentes","LAA",55,0.24494382,0.60233918,0.43632568,0.69724771,0.84466019,0.8062201,0.53549061,,"Brian Fuentes",429,150118
"Mike Hampton","HOU",112,0.24767442,0.61440678,0.43957871,0.63380282,0.87758621,0.81210593,0.5232816,,"Mike Hampton",430,115399
