Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",62.1,0.75190114,,0.04087452,,,0.04562738,0.121673,,,,0.03992395,,,,"Neftali Feliz",18,491703
"Ramon Ortiz","CHC",33.1,0.00965251,,,,,0.33204633,0.56563707,,,,0.09266409,,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","HOU",1.2,0.22222222,,,,,0.22222222,,0.41666667,,,0.13888889,,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",60,0.24141519,,0.00104058,,,0.46826223,0.24869927,0.00728408,,,0.03329865,,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",8,0.16666667,,,,,0.40909091,0.32575758,,,,0.09848485,,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",132,0.00928188,,,,,0.52076209,0.35124573,,,,0.11871031,,,,"Jason Marquis",105,150302
"Kevin Millwood","COL",54.1,0.35534214,,0.15606242,0.02881152,,0.13565426,0.19807923,0.08163265,,,0.04441777,,,,"Kevin Millwood",106,119154
"Horacio Ramirez","LAA",9,0.31060606,,,,,0.37121212,0.11363636,0.09090909,,,0.11363636,,,,"Horacio Ramirez",110,400141
"Dan Wheeler","BOS",49.1,0.14709677,,0.06580645,0.0516129,,0.31225806,0.33032258,0.09290323,,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","- - -",129.1,0.30387737,,0.0166817,0.00901713,,0.28043282,,0.30928765,,,0.08070334,,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",97.2,0.30330525,,,,,0.33506157,0.24951393,0.00777706,,,0.10434219,,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",62.1,0.56799163,,0.2039749,,,,0.16527197,,,,0.06276151,,,,"Rafael Betancourt",177,429783
"Derek Lowe","ATL",187,,,0.0886392,,,0.50062422,0.25780275,,,,0.15293383,,,,"Derek Lowe",199,117955
"Darren Oliver","TEX",51,0.51266586,,,,,0.17973462,0.30156815,,,,0.00603136,,,,"Darren Oliver",206,119984
"Tim Wakefield","BOS",154.2,0.08692018,,,,,,,0.02674467,,,,,0.88633514,,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",205.1,0.3468411,,0.14901085,,,0.20293555,,0.08870453,,,0.21250798,,,,"Mark Buehrle",225,279824
"Jon Garland","LAD",54,0.20752427,,,,,0.45145631,0.16504854,0.11165049,,,0.06432039,,,,"Jon Garland",232,279782
"Daniel McCutchen","PIT",84.2,0.29163469,,,,,0.23484267,0.27168074,0.01534919,,,0.18649271,,,,"Daniel McCutchen",263,445216
"Juan Cruz","TBR",48.2,0.42004505,,0.29954955,,,,0.19594595,,,,0.08445946,,,,"Juan Cruz",273,407297
"Kyle Farnsworth","TBR",57.2,0.22843823,,0.12587413,,,0.35081585,0.28554779,,,,0.00932401,,,,"Kyle Farnsworth",278,150035
"Will Ohman","CHW",53.1,0.33818589,,,,,0.24524076,0.39865622,0.00447928,,,0.01343785,,,,"Will Ohman",296,349193
"Kerry Wood","CHC",51,0.51041667,,,0.00462963,,,0.36805556,0.11689815,,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",145.2,0.22099221,,0.02583026,0.11562116,,0.46576466,0.13858139,0.03321033,,,,,,,"Carlos Zambrano",305,407296
"Kanekoa Texeira","KCR",6.1,0.18421053,,,,,0.44736842,0.12280702,,,,0.24561404,,,,"Kanekoa Texeira",334,444427
"Blake Beavan","SEA",97,0.42876619,,0.00136333,,,0.23244717,0.19018405,0.05862304,,,0.08861622,,,,"Blake Beavan",338,518444
"Danys Baez","PHI",36,0.11340206,,,,,0.67525773,,0.21134021,,,,,,,"Danys Baez",367,276056
"Bartolo Colon","NYY",164.1,0.41176471,,,,,0.41931638,0.12718601,,,,0.04173291,,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",237.1,0.40637228,,,,,0.18390162,0.27417552,,,,0.13555059,,,,"CC Sabathia",404,282332
"Jake Westbrook","STL",183.1,0.0294995,,0.09777925,0.00364601,,0.60954591,0.05701028,0.08982433,,,0.11269473,,,,"Jake Westbrook",412,150414
"Brian Fuentes","OAK",58.1,,,,,,0.76139979,0.05514316,,,,0.18345705,,,,"Brian Fuentes",429,150118
"Dennys Reyes","BOS",1.2,,,,,,0.79487179,0.02564103,,,,0.17948718,,,,"Dennys Reyes",444,121096
