Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Mike McCoy","TOR",0.42857143,0.8,0.58333333,0.33333333,0.5,0.42857143,0.41666667,0.66666667,0.33333333,0.16666667,0.5,"Mike McCoy",4583,453454
"Juan Pablo Perez","PHI",0.30357143,0.28571429,0.29761905,0.17647059,0.875,0.4,0.33333333,0.52380952,0.17857143,0.26190476,0.44047619,"Juan Pablo Perez",2557,448722
"Rich Hill","BOS",0.296875,0.46969697,0.38461538,0.42105263,0.74193548,0.62,0.50769231,0.53333333,0.14615385,0.26923077,0.41538462,"Rich Hill",4806,448179
"Sergio Romo","SFG",0.37321937,0.62251656,0.48851455,0.53435115,0.71808511,0.64263323,0.46248086,0.71428571,0.17298938,0.2215478,0.39453718,"Sergio Romo",9817,489265
"George Sherrill","ATL",0.29333333,0.54243542,0.41155867,0.59090909,0.80272109,0.72340426,0.47460595,0.69127517,0.11187608,0.25989673,0.37177281,"George Sherrill",6291,430941
"Craig Kimbrel","ATL",0.31432545,0.57142857,0.42999235,0.43362832,0.76785714,0.63345196,0.44988523,0.5620915,0.15753425,0.20624049,0.36377473,"Craig Kimbrel",6655,518886
"Al Alburquerque","DET",0.29330254,0.52396166,0.39008043,0.38582677,0.74390244,0.58762887,0.41957105,0.51648352,0.15706806,0.19895288,0.35602094,"Al Alburquerque",6324,456379
"Kenley Jansen","LAD",0.24784483,0.62718447,0.4473953,0.46956522,0.69349845,0.6347032,0.52604699,0.59174312,0.16293279,0.19246436,0.35539715,"Kenley Jansen",3096,445276
"Peter Moylan","ATL",0.3908046,0.62295082,0.48648649,0.47058824,0.86842105,0.68055556,0.41216216,0.60526316,0.15436242,0.19463087,0.34899329,"Peter Moylan",4891,493247
"Kris Medlen","ATL",0.4,0.53846154,0.47826087,1,0.85714286,0.90909091,0.56521739,0.75,0.04347826,0.30434783,0.34782609,"Kris Medlen",9417,450665
"Chris Sale","CHW",0.29307282,0.52741021,0.40659341,0.50909091,0.83512545,0.71396396,0.48443223,0.60416667,0.1158371,0.22895928,0.34479638,"Chris Sale",10603,519242
"Greg Holland","KCR",0.36902486,0.6092233,0.47486631,0.44559585,0.79681275,0.64414414,0.44064171,0.59656652,0.16701903,0.1744186,0.34143763,"Greg Holland",7196,518813
"Corey Kluber","CLE",0.32,0.64102564,0.46067416,0.5,0.88,0.73170732,0.43820225,0.68,0.12359551,0.21348315,0.33707865,"Corey Kluber",2429,446372
"Sergio Santos","CHW",0.30615942,0.62142857,0.44238683,0.40236686,0.84291188,0.66976744,0.43209877,0.58846154,0.14314516,0.19052419,0.33366935,"Sergio Santos",4734,435045
"Skip Schumaker","STL",0.14285714,0.57142857,0.28571429,0.5,1,0.83333333,0.33333333,0.6,0.04761905,0.28571429,0.33333333,"Skip Schumaker",3704,435401
"Carlos Marmol","CHC",0.25216316,0.56677019,0.39160358,0.54411765,0.80547945,0.71177504,0.44322092,0.52293578,0.11232877,0.21986301,0.33219178,"Carlos Marmol",2790,461791
"Mike Adams","- - -",0.32053743,0.60491493,0.46380952,0.64071856,0.84375,0.77412731,0.50380952,0.59927798,0.10367578,0.22808671,0.33176249,"Mike Adams",1937,430606
"Brad Lidge","PHI",0.27638191,0.60465116,0.4054878,0.47272727,0.71794872,0.61654135,0.39329268,0.60465116,0.15044248,0.179941,0.33038348,"Brad Lidge",563,400058
"David Robertson","NYY",0.28614458,0.58333333,0.41778523,0.56315789,0.84090909,0.73493976,0.44295302,0.61029412,0.10891089,0.22112211,0.330033,"David Robertson",8241,502085
"Yoshinori Tateyama","TEX",0.30851064,0.55491329,0.4265928,0.74137931,0.8125,0.78571429,0.47922438,0.64088398,0.08991826,0.23841962,0.32833787,"Yoshinori Tateyama",11651,599899
"Vinnie Pestano","CLE",0.33149171,0.67586207,0.48466258,0.52222222,0.73809524,0.65611814,0.44478528,0.588,0.16414904,0.16414904,0.32829809,"Vinnie Pestano",4782,502260
"Sean Marshall","CHC",0.3092437,0.60945709,0.45626072,0.51630435,0.85632184,0.7387218,0.4897084,0.62214984,0.11700337,0.21043771,0.32744108,"Sean Marshall",5905,445156
"Tim Dillard","MIL",0.37545126,0.62130178,0.46860987,0.55769231,0.85714286,0.70813397,0.37892377,0.68376068,0.1367713,0.19058296,0.32735426,"Tim Dillard",5518,457422
"Koji Uehara","- - -",0.4279661,0.6826087,0.55364807,0.58415842,0.7866242,0.70736434,0.49356223,0.67901235,0.16115261,0.16542156,0.32657417,"Koji Uehara",9227,493157
"Clay Rapada","BAL",0.2278481,0.63779528,0.41052632,0.58333333,0.79012346,0.72649573,0.44561404,0.60869565,0.1122807,0.21403509,0.32631579,"Clay Rapada",4831,449060
"Danny Farquhar","TOR",0.26086957,0.5,0.37209302,0.83333333,0.9,0.875,0.46511628,0.72727273,0.04651163,0.27906977,0.3255814,"Danny Farquhar",8501,543144
"Maikel Cleto","STL",0.32857143,0.57142857,0.40952381,0.43478261,0.95,0.6744186,0.33333333,0.68,0.13333333,0.19047619,0.32380952,"Maikel Cleto",5529,521055
"Robbie Weinhardt","DET",0.38461538,0.64285714,0.51851852,0.6,1,0.85714286,0.51851852,0.44444444,0.07142857,0.25,0.32142857,"Robbie Weinhardt",8479,519405
"Jonathan Papelbon","BOS",0.40774908,0.72747253,0.55366098,0.56108597,0.78549849,0.69565217,0.45636911,0.67843137,0.16766467,0.15269461,0.32035928,"Jonathan Papelbon",5975,449097
