Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Mike McCoy","TOR",1,,,6.78000020980835,,,,,,,,5.350000381469727,,5.172222137451172,"Mike McCoy",4583,453454
"Mitch Maier","KCR",1,,,,,,,0.8500000238418579,-1.725000023841858,,,0.6966666645473905,,4.784999847412109,"Mitch Maier",5588,430574
"Ryan Franklin","STL",27.2,7.95033674973708,,8.361249923706055,1.0204166571299236,,7.093048840034299,2.792142777215867,-5.498408924449574,,,3.7971428462437222,,2.9075000286102295,"Ryan Franklin",1076,211041
"Tim Wakefield","BOS",154.2,8.970336693983812,,,,,,,-8.719375133514404,,,,,0.763969820661963,"Tim Wakefield",219,123801
"R.A. Dickey","NYM",208.2,4.67886643660696,,,,,,,,,-0.4598780376155202,,,0.2627371554793847,"R.A. Dickey",1245,285079
"Neftalí Feliz","TEX",62.1,10.170872511061948,,2.5265116137127546,,,5.608333587646484,-0.8216406106948853,,,,5.426666623070126,,,"Neftali Feliz",18,491703
"Ramon Ortiz","CHC",33.1,8.131999683380126,,,,,6.3365698526071945,1.8655972529596843,,,,5.788958549499512,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","HOU",1.2,9.577500343322754,,,,,6.0625,,-5.560000101725261,,,6.395999908447266,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",60,8.35426742455055,,6.539999961853027,,,4.876244392395019,1.96610874511208,-0.2957143017223903,,,4.01593753695488,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",8,9.923636696555398,,,,,9.198333175094039,-2.380232522653979,,,,5.630000187800481,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",132,6.696315865767629,,,,,5.318130235510964,3.202962352768602,,,,3.973580254448785,,,"Jason Marquis",105,150302
"Kevin Millwood","COL",54.1,6.731993391707137,,6.49923095703125,5.762500127156575,,5.780531081478153,0.5715757427793561,-7.4070587158203125,,,5.37783772236592,,,"Kevin Millwood",106,119154
