Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Jose Valverde","DET",69,0.23010753,0.62,0.4573991,0.68224299,0.88337469,0.84117647,0.58295964,31.22010178,"Jose Valverde",1726,407878
"Joel Peralta","TBR",67,0.28790787,0.64909091,0.47338936,0.56,0.79271709,0.72386588,0.51353875,31.14547837,"Joel Peralta",2332,407908
"Jonathan Broxton","- - -",58,0.25235849,0.6328125,0.46047009,0.65420561,0.88271605,0.82598608,0.54700855,30.52411576,"Jonathan Broxton",4759,455009
"Jonathan Papelbon","PHI",70,0.37062937,0.64893617,0.50880282,0.66037736,0.79781421,0.74740484,0.49647887,28.7100894,"Jonathan Papelbon",5975,449097
"Drew Storen","WSN",30.1,0.32967033,0.58962264,0.46954315,0.45,0.824,0.7027027,0.53807107,28.70703125,"Drew Storen",6983,519322
"Joaquín Benoit","DET",71,0.36294028,0.6691042,0.5025,0.53164557,0.73224044,0.65339967,0.45583333,28.14117647,"Joaquin Benoit",1437,276542
"Rafael Betancourt","COL",57.2,0.29381443,0.68297456,0.51501669,0.63157895,0.80229226,0.76025918,0.56840934,28.08306189,"Rafael Betancourt",177,429783
"Mike Adams","TEX",52.1,0.23428571,0.63654224,0.47264261,0.62195122,0.83950617,0.7955665,0.59254948,27.86541738,"Mike Adams",1937,430606
"Junichi Tazawa","BOS",44,0.35789474,0.69002695,0.54573171,0.54901961,0.8046875,0.73184358,0.56554878,27.79111111,"Junichi Tazawa",4079,547749
"Jason Frasor","TOR",43.2,0.26701571,0.58997722,0.43970767,0.69607843,0.82239382,0.7867036,0.53471376,27.6816609,"Jason Frasor",1906,430630
"Sam LeCure","CIN",57.1,0.29894737,0.55075594,0.42324094,0.68309859,0.8627451,0.79848866,0.49360341,27.5060241,"Sam LeCure",4664,459967
"Francisco Rodríguez","MIL",72,0.2605753,0.57463884,0.42174629,0.6038961,0.89664804,0.80859375,0.51317957,27.41943128,"Francisco Rodriguez",1642,408061
"J.J. Putz","ARI",54.1,0.35799523,0.62820513,0.48825711,0.5,0.86530612,0.72658228,0.48207664,27.30244755,"J.J. Putz",1795,407816
"Tyler Clippard","WSN",72.2,0.28794992,0.68837209,0.48909657,0.70108696,0.80630631,0.77547771,0.50233645,26.83497268,"Tyler Clippard",5640,461325
"Bryan Morris","PIT",5,0.42857143,0.83333333,0.56164384,0.42857143,0.85,0.63414634,0.32876712,26.60784314,"Bryan Morris",10234,457768
"Jean Machi","SFG",6.2,0.2962963,0.75510204,0.51456311,0.5,0.86486486,0.75471698,0.47572816,26.6056338,"Jean Machi",3220,466948
"Scott Downs","LAA",45.2,0.2776204,0.63920455,0.45815603,0.62244898,0.84444444,0.77708978,0.49929078,26.55714286,"Scott Downs",773,275933
"Fernando Rodriguez Jr.","HOU",70.1,0.30940989,0.64274062,0.47419355,0.63402062,0.82741117,0.76360544,0.49435484,26.5311804,"Fernando Rodriguez Jr.",7558,451775
"Jose G. Valdez","HOU",12,0.34166667,0.59047619,0.45777778,0.70731707,0.83870968,0.78640777,0.46666667,26.46451613,"Jose G. Valdez",3217,451990
"Juan Cruz","PIT",35.2,0.2,0.56857143,0.39253731,0.59375,0.85427136,0.79087452,0.52238806,26.31397849,"Juan Cruz",273,407297
"Sergio Romo","SFG",55.1,0.37434555,0.53460621,0.45817728,0.4965035,0.75446429,0.65395095,0.52309613,26.2945591,"Sergio Romo",9817,489265
"Vicente Padilla","BOS",50,0.23369565,0.57838983,0.42738095,0.70930233,0.88644689,0.84401114,0.56190476,26.28449744,"Vicente Padilla",964,218894
"Chris Resop","PIT",73.2,0.28969957,0.68512658,0.51730419,0.66666667,0.90069284,0.84507042,0.57559199,26.21891892,"Chris Resop",3799,434592
"Brian Wilson","SFG",2,0.20689655,0.55555556,0.375,0.66666667,0.86666667,0.80952381,0.48214286,26.14285714,"Brian Wilson",6485,451216
"LaTroy Hawkins","LAA",42,0.26470588,0.65083799,0.46275072,0.73333333,0.93133047,0.87616099,0.51289398,26.11293634,"LaTroy Hawkins",729,115629
"Blake Parker","CHC",6,0.31147541,0.62903226,0.47154472,0.68421053,0.82051282,0.77586207,0.50406504,26.09090909,"Blake Parker",5224,453284
"Alex Hinshaw","- - -",28.1,0.25886525,0.59689922,0.42037037,0.50684932,0.82467532,0.72246696,0.47777778,26.03333333,"Alex Hinshaw",3941,450527
"Brayan Villarreal","DET",54.2,0.32967033,0.62105263,0.47849462,0.68,0.79322034,0.75505618,0.51075269,25.92410714,"Brayan Villarreal",5180,500903
"Jose Veras","MIL",67,0.21621622,0.54416404,0.37615385,0.59722222,0.8173913,0.75255624,0.48769231,25.82604167,"Jose Veras",2063,407842
"Jake McGee","TBR",55.1,0.26610644,0.72413793,0.54405286,0.58947368,0.79448622,0.75506073,0.60682819,25.81497797,"Jake McGee",7550,459429
"Tony Watson","PIT",53.1,0.26963351,0.66375546,0.48452381,0.51456311,0.85197368,0.76658477,0.5452381,25.77565217,"Tony Watson",3132,453265
"Phil Coke","DET",54,0.32932692,0.6492986,0.50382514,0.52554745,0.85185185,0.75488069,0.54535519,25.76182965,"Phil Coke",5535,457435
"Jason Grilli","PIT",58.2,0.3202765,0.67883212,0.5203666,0.51798561,0.78763441,0.71428571,0.55804481,25.68688293,"Jason Grilli",521,276351
"Heath Bell","MIA",63.2,0.27935943,0.62153344,0.45787234,0.6433121,0.9160105,0.83643123,0.52170213,25.62605549,"Heath Bell",2080,425514
"Randy Choate","- - -",38.2,0.20945946,0.56927711,0.39968153,0.4516129,0.83068783,0.73705179,0.52866242,25.5583524,"Randy Choate",813,329092
"Clay Buchholz","BOS",189.1,0.28265525,0.63349025,0.4632964,0.65656566,0.88535032,0.81763827,0.5148892,25.51490236,"Clay Buchholz",3543,453329
"Xavier Cedeño","HOU",31,0.2987013,0.52845528,0.40072202,0.51086957,0.90769231,0.74324324,0.44404332,25.48837209,"Xavier Cedeno",36,458584
"Jim Henderson","MIL",30.2,0.29527559,0.6967509,0.5047081,0.56,0.75647668,0.70149254,0.52165725,25.47409326,"Jim Henderson",6653,449104
"Miguel Socolovich","- - -",16.1,0.23448276,0.62043796,0.42198582,0.73529412,0.85882353,0.82352941,0.4858156,25.46464646,"Miguel Socolovich",6697,462515
"Sandy Rosario","MIA",3,0.22727273,0.88235294,0.625,0.6,0.76666667,0.74285714,0.60714286,25.45945946,"Sandy Rosario",1525,466459
"Doug Slaten","PIT",13,0.19791667,0.59,0.39795918,0.73684211,0.93220339,0.88461538,0.51020408,25.32835821,"Doug Slaten",3107,460657
"Jose Ortega","DET",2.2,0.33333333,0.64,0.48076923,0.55555556,0.875,0.76,0.48076923,25.30769231,"Jose Ortega",9651,514639
"Jeff Beliveau","CHC",17.2,0.21153846,0.60696517,0.43417367,0.60606061,0.80327869,0.76129032,0.56302521,25.16470588,"Jeff Beliveau",8504,542924
"Guillermo Moscoso","COL",50,0.23623853,0.65539112,0.45434543,0.62135922,0.87096774,0.80871671,0.52035204,25.09430894,"Guillermo Moscoso",5106,446861
"Hector Ambriz","HOU",19.1,0.29746835,0.6025641,0.44904459,0.46808511,0.86170213,0.73049645,0.49681529,25.06726457,"Hector Ambriz",559,459932
"Ryan Webb","MIA",60.1,0.28082192,0.58727273,0.451417,0.73170732,0.89783282,0.85201794,0.55668016,25.02061856,"Ryan Webb",7474,444436
"Santiago Casilla","SFG",63.1,0.28483607,0.656,0.47267206,0.56834532,0.89329268,0.79657388,0.50607287,25.01234568,"Santiago Casilla",2873,433586
"Sergio Santos","TOR",5,0.30508475,0.52272727,0.39805825,0.72222222,0.86956522,0.80487805,0.42718447,25,"Sergio Santos",4734,435045
"Kameron Loe","MIL",68.1,0.35071942,0.59108527,0.46641791,0.65128205,0.87213115,0.786,0.48134328,24.94520548,"Kameron Loe",4422,434180
"Takashi Saito","ARI",12,0.23636364,0.71774194,0.49145299,0.53846154,0.87640449,0.8,0.52991453,24.94152047,"Takashi Saito",6021,493416
"Greg Holland","KCR",67,0.30983302,0.63651877,0.48,0.46107784,0.82573727,0.71296296,0.52088889,24.94081381,"Greg Holland",7196,518813
