Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","NYM",233.2,83.4086457144659,,,,,,,,,64.1460009765625,,,77.24314127089102,"R.A. Dickey",1245,285079
"Mitch Maier","KCR",1,,,,,,,,,,,76.4749984741211,,72.92500305175781,"Mitch Maier",5588,430574
"Neftalí Feliz","TEX",42.2,94.57676721107987,,,,,94.4272793856534,82.21986358844681,,,,86.65631073886908,,,"Neftali Feliz",18,491703
"Xavier Cedeño","HOU",31,88.98611111111111,,,,,88.69271465412622,86.88235294117646,77.04705554096638,,,84.17142740885417,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",52.2,91.36058044433594,,90.80000305175781,,,91.89595463590801,85.0577400453629,75.92727453058416,,,82.40468668937683,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",6,89.39285714285714,,,,,88.82333170572916,77.60909386837122,,,,79.68571254185268,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",127.2,86.5999984741211,,,,,88.56690669483986,82.5025471486863,,,,80.3086642599278,,,"Jason Marquis",105,150302
"Kevin Millwood","SEA",161,90.10807855339105,,89.58447488584476,,,90.15809379727685,83.683,72.58911298894557,,,82.32262916286497,,,"Kevin Millwood",106,119154
"Dan Wheeler","CLE",12.1,87.47391410495923,,,82.91500244140624,,88.31896551724138,83.8625,75.72142682756696,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","PIT",125.2,89.12629975402504,,88.10952225942461,83.47179236778847,,89.59921008320127,,75.72006745362563,,,76.17128405448717,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",6.1,87.22894608347039,,,,,87.69130540930706,79.3960009765625,,,,81.52353084788604,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",57.2,91.36138993275317,,91.23011265538673,,,,80.01999747983871,,,,84.51666814630681,,,"Rafael Betancourt",177,429783
"Derek Lowe","- - -",142.2,,,86.03333488343254,,,87.82924903830902,80.82613719593395,,,,83.21954735777432,,,"Derek Lowe",199,117955
"Darren Oliver","TOR",56.2,87.94389763779527,,,,,88.57622650786713,75.44333147321429,,,,82.98333231608073,,,"Darren Oliver",206,119984
"Mark Buehrle","MIA",202.1,84.9134295227525,,79.47678571428571,,,84.36357127320186,,71.11104054831289,,,78.22542356927711,,,"Mark Buehrle",225,279824
"Juan Cruz","PIT",35.2,93.48727272727272,,88.21176087622548,,,,78.91219670985772,,,,84.57941032858456,,,"Juan Cruz",273,407297
"Kyle Farnsworth","TBR",27,94.62232630461165,,90.23749542236328,,,92.59174311926606,86.53922436118785,,,,89.186669921875,,,"Kyle Farnsworth",278,150035
"Will Ohman","CHW",26.2,88.9437484741211,,,,,88.66857328869048,81.2668978987069,75.82307786207933,,,83.625,,,"Will Ohman",296,349193
"Kerry Wood","CHC",8.2,93.85374755859375,,,,,,89.78593444824219,77.7263119346217,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","MIA",132.1,89.09373215159921,,88.54318289323287,82.9584327980324,,89.9489637854064,79.64517035171332,71.18392944335938,,,,,,"Carlos Zambrano",305,407296
"Blake Beavan","SEA",152.1,90.66881416481687,,,,,91.16964285714286,79.31322957198444,72.19017094017094,,,81.67093250363372,,,"Blake Beavan",338,518444
"Leyson Septimo","CHW",14.1,92.49833170572917,,,,,,80.29333333333334,,,,85.80000305175781,,,"Leyson Septimo",341,465015
"Bartolo Colon","OAK",152.1,91.46804795506912,,,,,89.3694300381033,82.92357003348214,,,,82.85000128495066,,,"Bartolo Colon",375,112526
