Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jim Miller","NYY",0.3333333333333333,0,0.428571428,0,0.571428571,0,0.25,1,6.750016696792419,16,25,41,0.28571429,0.57142857,0.14285714,0,0.28571429,0.71428571,"Jim Miller",7458,461848
"Jairo Asencio","BAL",0.4,2,0,0.666666666,0.333333333,0,0.5,1,3.8571433826369397,21,33,54,0.66666667,0.33333333,0,0,0.33333333,0.66666667,"Jairo Asencio",3332,446003
"Mike Belfiore","BAL",0.25,0.666666666,0.166666666,0.333333333,0.5,0.333333333,0.666666666,0,0,16,18,34,0.5,0.16666667,0.33333333,0.16666667,0.16666667,0.66666667,"Mike Belfiore",9324,506988
"Justin Freeman","CIN",0.25,0.666666666,0,0.4,0.6,0,0.333333333,0,0,6,10,16,0.6,0.2,0.2,0,0.4,0.6,"Justin Freeman",7568,543178
"Dellin Betances","NYY",0.6153846153846154,1.25,0.357142857,0.357142857,0.285714285,0,0.25,3,5.400005664831382,41,76,117,0.21428571,0.5,0.28571429,0.07142857,0.35714286,0.57142857,"Dellin Betances",6216,476454
"Dave Bush","TOR",0.1111111111111111,0.375,0.153846153,0.23076923,0.615384615,0,0.5,0,0,17,34,51,0.46153846,0.38461538,0.15384615,0.23076923,0.23076923,0.53846154,"Dave Bush",4635,433657
"David Holmberg","ARI",0.35294117647058826,0.5,0.25,0.25,0.5,0,0,3,7.363629500734405,34,46,80,0.41176471,0.29411765,0.29411765,0.11764706,0.35294118,0.52941176,"David Holmberg",7725,571787
"Chance Ruffin","SEA",0.4583333333333333,1.111111111,0.296296296,0.37037037,0.333333333,0,0.333333333,0,0,67,118,185,0.66666667,0.11111111,0.22222222,0,0.48148148,0.51851852,"Chance Ruffin",11745,592704
"Neftalí Feliz","TEX",0.35714285714285715,0.428571428,0.285714285,0.214285714,0.5,0.285714285,0,2,3.8571410179146954,41,66,107,0.28571429,0.42857143,0.28571429,0.14285714,0.35714286,0.5,"Neftali Feliz",18,491703
"Octavio Dotel","DET",0.5,1.166666666,0.35,0.35,0.3,0,0,0,0,41,71,112,0.3,0.45,0.25,0.1,0.4,0.5,"Octavio Dotel",555,136734
"Joe Paterson","ARI",0.3333333333333333,1,0.333333333,0.333333333,0.333333333,0,0,0,0,13,25,38,0.33333333,0.5,0.16666667,0,0.5,0.5,"Joe Paterson",2565,519110
"Tyler Robertson","MIN",0,1,0,0.5,0.5,0,1,0,0,4,9,13,0.5,0,0.5,0,0.5,0.5,"Tyler Robertson",3223,502356
"Mickey Storey","TOR",0.5,0.428571428,0.166666666,0.25,0.583333333,0,0,0,0,23,50,73,0.5,0.33333333,0.16666667,0,0.5,0.5,"Mickey Storey",4721,493547
"Matt Shoemaker","LAA",0.16666666666666666,1.25,0.25,0.416666666,0.333333333,0,0,0,0,33,60,93,0.58333333,0.33333333,0.08333333,0,0.5,0.5,"Matt Shoemaker",4776,533167
"Matt Daley","NYY",0.16666666666666666,1.75,0.083333333,0.583333333,0.333333333,0,0,4,6.000000953674468,24,59,83,0.41666667,0.5,0.08333333,0,0.5,0.5,"Matt Daley",7952,457935
"Sean Nolin","TOR",0.6666666666666666,0.75,0.3,0.3,0.4,0,0.25,1,6.750016696792419,13,22,35,0.4,0.4,0.2,0.2,0.3,0.5,"Sean Nolin",11341,543594
"Onelki Garcia","LAD",0,3,0,0.75,0.25,0,1,0,0,23,22,45,0,0.75,0.25,0,0.5,0.5,"Onelki Garcia",13674,607162
"Eduardo Sanchez","CHC",0.2222222222222222,0.4,0.176470588,0.235294117,0.588235294,0.2,0.1,0,0,51,70,121,0.15789474,0.52631579,0.31578947,0.21052632,0.31578947,0.47368421,"Eduardo Sanchez",2966,500674
"Steve Ames","MIA",0.46153846153846156,3.5,0.25,0.583333333,0.166666666,0,0,2,4.499996781351484,24,52,76,0.30769231,0.38461538,0.30769231,0.07692308,0.46153846,0.46153846,"Steve Ames",9615,571441
"Jair Jurrjens","BAL",0.34782608695652173,0.428571428,0.166666666,0.25,0.583333333,0,0.071428571,8,9.818186393456187,34,75,109,0.41666667,0.41666667,0.16666667,0.125,0.41666667,0.45833333,"Jair Jurrjens",5556,457453
"Rubby De La Rosa","BOS",0.325,1.25,0.142857142,0.476190476,0.38095238,0.0625,0.125,9,7.147064436682651,63,126,189,0.4047619,0.23809524,0.35714286,0.19047619,0.35714286,0.45238095,"Rubby De La Rosa",3862,523989
"Chien-Ming Wang","TOR",0.3684210526315789,2.761904761,0.21,0.58,0.21,0,0.238095238,17,5.666666666666667,155,254,409,0.39,0.4,0.21,0.08,0.47,0.45,"Chien-Ming Wang",2074,425426
"Alberto Cabrera","CHC",0.35,1,0.368421052,0.315789473,0.315789473,0.166666666,0,0,0,52,61,113,0.4,0.45,0.15,0.1,0.45,0.45,"Alberto Cabrera",8352,501227
"Sean Henn","NYM",0.25,0.75,0.222222222,0.333333333,0.444444444,0.25,0.25,0,0,26,31,57,0.44444444,0.22222222,0.33333333,0.11111111,0.44444444,0.44444444,"Sean Henn",2147,430675
"Javy Guerra","LAD",0.4,1.4,0.333333333,0.388888888,0.277777777,0,0.1,2,1.6875007040801602,87,146,233,0.27777778,0.41666667,0.30555556,0.25,0.30555556,0.44444444,"Javy Guerra",7407,457915
"Matt Harrison","TEX",0.4,1.4,0.225806451,0.451612903,0.322580645,0,0.2,4,3.374998994171919,81,115,196,0.21875,0.59375,0.1875,0.0625,0.5,0.4375,"Matt Harrison",5551,457448
"Scott Barnes","CLE",0.25,1.222222222,0.130434782,0.478260869,0.391304347,0,0.333333333,2,2.076923229285257,52,88,140,0.47826087,0.47826087,0.04347826,0.08695652,0.47826087,0.43478261,"Scott Barnes",8718,488683
"Brayan Villarreal","- - -",0.5384615384615384,1,0.076923076,0.461538461,0.461538461,0,0.166666666,1,2.0769227721987837,61,72,133,0.35714286,0.14285714,0.5,0.14285714,0.42857143,0.42857143,"Brayan Villarreal",5180,500903
"Maikel Cleto","STL",0.6666666666666666,0.5,0.571428571,0.142857142,0.285714285,0,0.5,2,7.7142970124235,27,32,59,0.14285714,0.85714286,0,0,0.57142857,0.42857143,"Maikel Cleto",5529,521055
"Donnie Joseph","KCR",0.2857142857142857,0.666666666,0.23076923,0.307692307,0.461538461,0,0,0,0,37,56,93,0.5,0.35714286,0.14285714,0.21428571,0.35714286,0.42857143,"Donnie Joseph",6491,548348
"Cesar Cabral","NYY",0.42857142857142855,2,0.571428571,0.285714285,0.142857142,0,0,0,0,18,37,55,0.42857143,0.57142857,0,0,0.57142857,0.42857143,"Cesar Cabral",6741,501627
"Zach Clark","BAL",0.42857142857142855,0.75,0,0.428571428,0.571428571,0,0,2,10.799978628200861,16,20,36,0.14285714,0.57142857,0.28571429,0.14285714,0.42857143,0.42857143,"Zach Clark",9189,503483
"Will Smith","KCR",0.24324324324324326,1.0625,0.164556962,0.430379746,0.405063291,0.125,0.1875,15,4.0499994592667345,172,317,489,0.3625,0.4,0.2375,0.1625,0.4125,0.425,"Will Smith",8048,519293
"Kyle Farnsworth","- - -",0.3220338983050847,1.527777777,0.247933884,0.454545454,0.297520661,0.111111111,0.138888888,19,4.460870379067697,200,376,576,0.4796748,0.33333333,0.18699187,0.09756098,0.4796748,0.42276423,"Kyle Farnsworth",278,150035
"Jonathan Sánchez","PIT",0.4186046511627907,1,0.208333333,0.395833333,0.395833333,0.157894736,0.368421052,3,1.9756107096305062,129,191,320,0.44,0.32,0.24,0.16,0.42,0.42,"Jonathan Sanchez",7507,456043
"Shawn Camp","CHC",0.34177215189873417,1.322580645,0.142857142,0.488095238,0.369047619,0.161290322,0.225806451,7,2.739130661933788,138,253,391,0.45348837,0.29069767,0.25581395,0.15116279,0.43023256,0.41860465,"Shawn Camp",1855,425861
"Todd Redmond","TOR",0.2766990291262136,0.6,0.19266055,0.302752293,0.504587155,0.127272727,0.118181818,45,5.2597398688769745,463,827,1290,0.36986301,0.35159817,0.27853881,0.16894977,0.41552511,0.41552511,"Todd Redmond",9943,445170
"Billy Buckner","LAA",0.22641509433962265,0.8,0.210526315,0.350877192,0.438596491,0,0.2,6,3.1153848439278855,114,175,289,0.4137931,0.36206897,0.22413793,0.10344828,0.48275862,0.4137931,"Billy Buckner",8253,434438
"Jose Contreras","PIT",0.375,3,0.25,0.5625,0.1875,0,0.333333333,0,0,54,60,114,0.35294118,0.52941176,0.11764706,0.11764706,0.47058824,0.41176471,"Jose Contreras",1660,425747
"Brett Marshall","NYY",0.2777777777777778,1.428571428,0.128205128,0.512820512,0.358974358,0.071428571,0.214285714,8,6,87,120,207,0.43589744,0.23076923,0.33333333,0.07692308,0.51282051,0.41025641,"Brett Marshall",5364,543493
"Josh Lueke","TBR",0.3448275862068966,0.59375,0.15,0.316666666,0.533333333,0.125,0.09375,3,1.2656260938393094,160,246,406,0.27868852,0.39344262,0.32786885,0.1147541,0.47540984,0.40983607,"Josh Lueke",5722,518961
