Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Cesar Cabral","NYY",0.31428571,0.5,0.38181818,0.36363636,0.8,0.57142857,0.36363636,0.66666667,0.16363636,0.29090909,0.45454545,"Cesar Cabral",6741,501627
"Jamey Carroll","MIN",0.33333333,0.66666667,0.44444444,0.5,1,0.75,0.33333333,0.66666667,0.11111111,0.33333333,0.44444444,"Jamey Carroll",1591,425206
"Duke Welker","PIT",0,0.6,0.3,,0.83333333,0.83333333,0.5,0.5,0.05,0.35,0.4,"Duke Welker",792,444992
"Joe Paterson","ARI",0.15,0.72222222,0.42105263,0.66666667,0.69230769,0.6875,0.47368421,0.72727273,0.13157895,0.23684211,0.36842105,"Joe Paterson",2565,519110
"Sergio Santos","TOR",0.40372671,0.65248227,0.51986755,0.44615385,0.7826087,0.6433121,0.46688742,0.64444444,0.18064516,0.18387097,0.36451613,"Sergio Santos",4734,435045
"Koji Uehara","BOS",0.41811175,0.7047619,0.56226054,0.63133641,0.68918919,0.66780239,0.50287356,0.70188679,0.18589133,0.17445186,0.36034318,"Koji Uehara",9227,493157
"Dellin Betances","NYY",0.31746032,0.44444444,0.37606838,0.6,0.91666667,0.77272727,0.46153846,0.65384615,0.08547009,0.27350427,0.35897436,"Dellin Betances",6216,476454
"Greg Holland","KCR",0.34183673,0.60970464,0.4613936,0.46268657,0.75778547,0.63673469,0.44632768,0.58431373,0.16745061,0.19096896,0.35841957,"Greg Holland",7196,518813
"Mickey Storey","TOR",0.33333333,0.65,0.50684932,0.27272727,0.80769231,0.64864865,0.54794521,0.78947368,0.17808219,0.17808219,0.35616438,"Mickey Storey",4721,493547
"Al Alburquerque","DET",0.33333333,0.5625,0.42724098,0.41420118,0.8030303,0.6239782,0.40977881,0.56818182,0.15699659,0.19795222,0.35494881,"Al Alburquerque",6324,456379
"Cody Eppley","NYY",0.26666667,0.5625,0.41935484,0.75,0.77777778,0.76923077,0.51612903,0.75,0.09677419,0.25806452,0.35483871,"Cody Eppley",9095,543136
"Jairo Asencio","BAL",0.26666667,0.6,0.4,0.375,0.91666667,0.7,0.4,0.58333333,0.11111111,0.24074074,0.35185185,"Jairo Asencio",3332,446003
"Aroldis Chapman","CIN",0.33109244,0.62698413,0.46678799,0.49238579,0.74367089,0.64717349,0.45859873,0.59302326,0.16469518,0.18653321,0.35122839,"Aroldis Chapman",10233,547973
"Matt Daley","NYY",0.30769231,0.68181818,0.5060241,0.66666667,0.73333333,0.71428571,0.53012048,0.71428571,0.14457831,0.20481928,0.34939759,"Matt Daley",7952,457935
"Brandon Gomes","TBR",0.42857143,0.61538462,0.50903614,0.56790123,0.71590909,0.64497041,0.43072289,0.69879518,0.1744186,0.16860465,0.34302326,"Brandon Gomes",2267,460156
"Sergio Romo","SFG",0.38860104,0.59055118,0.46875,0.56,0.85333333,0.70666667,0.396875,0.688,0.1356629,0.2024666,0.3381295,"Sergio Romo",9817,489265
"Jason Grilli","PIT",0.36605317,0.66091954,0.48864994,0.55307263,0.8173913,0.70171149,0.41577061,0.61386139,0.14575866,0.19235364,0.33811231,"Jason Grilli",521,276351
"David Hale","ATL",0.32673267,0.66176471,0.46153846,0.54545455,0.82222222,0.70512821,0.40236686,0.60869565,0.13609467,0.20118343,0.33727811,"David Hale",9756,571735
"Will Smith","KCR",0.36267606,0.59803922,0.46106557,0.4368932,0.86885246,0.67111111,0.41803279,0.6259542,0.15132924,0.18404908,0.33537832,"Will Smith",8048,519293
