Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Drew Butera","LAD",1.2,-0.4620249271392822,,-0.03502220660448074,,,,,,,,-0.7396457195281982,,0.2798163592815399,"Drew Butera",3411,460077
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,0.2660747170448303,"J.P. Arencibia",697,450317
"Chris Gimenez","TEX",1,0.14616696536540985,,-0.03502220660448074,,,,,,,,0.39620327949523926,,0.18539756536483765,"Chris Gimenez",7324,460269
"Leury García","CHW",1,-0.3535672426223755,,,,,,,,,,-0.48812657594680786,,0.13079720735549927,"Leury Garcia",5913,544725
"Steve Tolleson","TOR",1,,,,,,,,0.22392645478248596,,,-0.30330485105514526,,0.06589104235172272,"Steve Tolleson",4450,476270
"Martín Maldonado","MIL",1,-0.09232473373413086,,,,,,0.03780873864889145,0.22578838467597961,,,0.24160650372505188,,0.05402796342968941,"Martin Maldonado",6887,455117
"Andrew Romine","DET",1,-1.1904969215393066,,-1.3077514171600342,,,,,-1.4119096994400024,,,0.7719900012016296,,-0.025610946118831635,"Andrew Romine",1159,461865
"John Baker","CHC",1,,,,,,,,,,,0.8914925456047058,,-0.19996468722820282,"John Baker",4756,434633
"Danny Worth","DET",2,-0.4780602753162384,,,,,,,-0.046469561755657196,,,,,-0.4706161320209503,"Danny Worth",198,519445
"Steven Wright","BOS",21,1.6678504943847656,,,,,,,1.738845407962799,,,,,-0.8512149751186371,"Steven Wright",8185,453214
"Dean Anna","NYY",1,,,,,,,,,,,,,-0.8674794435501099,"Dean Anna",8353,542883
"Mike Carp","BOS",1,,,,,,,,,,,0.6211777925491333,,-1.1401467323303223,"Mike Carp",7480,455077
"R.A. Dickey","TOR",215.2,-0.801996111869812,,,,,,,,,1.1501458883285522,,,-1.4099929332733154,"R.A. Dickey",1245,285079
"Neftalí Feliz","TEX",31.2,5.327800750732422,,,,,0.6898010969161987,0.8153190612792969,,,,-0.7240623235702515,,,"Neftali Feliz",18,491703
"Xavier Cedeño","WSN",7,1.0399456024169922,,,,,0.21493098139762878,,-2.9640212059020996,,,0.41277626156806946,,,"Xavier Cedeno",36,458584
"Erik Bedard","TBR",75.2,3.296716570854187,,0.2502925768494606,-1.6896881461143494,,-6.121333122253418,,-7.172237157821655,,,2.3549275398254395,,,"Erik Bedard",126,407853
"Mark Buehrle","TOR",202,-0.3379414677619934,,-4.371682167053223,,,0.8298398852348328,,-5.15916109085083,,,3.2044310569763184,,,"Mark Buehrle",225,279824
"Daniel McCutchen","TEX",2.1,0.7755476832389832,,,,,-1.3653364181518555,-1.1944745779037476,,,,-0.7915974259376526,,,"Daniel McCutchen",263,445216
"Kyle Farnsworth","- - -",28.2,-0.829225093126297,,0.03780873864889145,,,1.9881028719246387,-5.450952768325806,0.05402796342968941,,,0.8321555405855179,,,"Kyle Farnsworth",278,150035
"Adam Dunn","CHW",1,,,,,,,0.06514060497283936,-0.025610946118831635,,,-0.5608310103416443,,,"Adam Dunn",319,276055
"Blake Beavan","SEA",4,-0.052556030452251434,,,,,-1.1763575077056885,0.9292696714401245,-0.07208050787448883,,,-1.4159115552902222,,,"Blake Beavan",338,518444
"Bartolo Colon","NYM",202.1,-2.27701735496521,,,,,8.88428783416748,-2.530601978302002,,,,-2.938314437866211,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",46,-4.644941329956055,,,,,-3.014755964279175,-1.318289041519165,-0.023159127682447433,,,-2.240895986557007,,,"CC Sabathia",404,282332
"Fernando Rodney","SEA",66.1,-0.33928409218788147,,,,,0.9655546545982361,,,,,5.206483364105225,,,"Fernando Rodney",494,407845
"Josh Beckett","LAD",115.2,-4.146817684173584,,2.376694917678833,,,-1.7754437923431396,,2.68363356590271,,,-0.500566303730011,,,"Josh Beckett",510,277417
"A.J. Burnett","PHI",213.2,-0.8234556913375854,,,,,-11.50617790222168,,,5.665339946746826,,-6.432591915130615,,,"A.J. Burnett",512,150359
"Jason Grilli","- - -",54,-1.3781305253505707,,,,,1.386467158794403,1.8618433475494385,,,,-0.24626559019088745,,,"Jason Grilli",521,276351
"Brad Penny","MIA",26,-3.191234540194273,,-0.8180024847388268,0.7386217713356018,,-2.594863533973694,,-1.227409154176712,,,,,,"Brad Penny",535,207267
"Hector Ambriz","SDP",2,0.9966320395469666,,,,,,-0.6449909806251526,-0.08792121708393097,,,,,,"Hector Ambriz",559,459932
"Jeremy Affeldt","SFG",55.1,,,,,,6.012597560882568,,1.1983977556228638,,,1.5868642330169678,,,"Jeremy Affeldt",583,346793
"Jamey Wright","LAD",70.1,0.2494945079088211,,5.722574472427368,,,0.9171763062477112,-0.7309953570365906,-0.5363783836364746,,,-1.3038565814495087,,,"Jamey Wright",715,124604
"Grant Balfour","TBR",62.1,2.077134370803833,,1.1840578317642212,,,-0.6784395575523376,-0.23300801217556,-0.25629281997680664,,,-0.05314991995692253,,,"Grant Balfour",718,346797
"LaTroy Hawkins","COL",54.1,4.718347072601318,,,,,-0.12851786613464355,0.12275166809558868,0.038514260202646255,,,-0.2240496575832367,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",198.1,2.045477867126465,,,,,-12.532474517822266,11.365761756896973,-2.0158798694610596,,,7.812921524047852,,,"Kyle Lohse",739,346798
"Bruce Chen","KCR",48.1,-3.8831722736358643,,,,,1.17024165391922,-7.114903688430786,-2.733219936490059,,1.1146580502390862,-0.5988662838935852,,,"Bruce Chen",769,136600
"Scott Downs","- - -",38,,,,,,-4.0302478820085526,0.7167547345161438,1.3264381885528564,,,,,,"Scott Downs",773,275933
"Randy Choate","STL",36,-0.03352133184671402,,,,,3.77419114112854,2.554797887802124,,,,,,,"Randy Choate",813,329092
"Kris Johnson","MIN",13.1,-1.4864972829818726,,,,,-2.1584458351135254,0.30562058091163635,-0.2092142403125763,,,-0.721343457698822,,,"Kris Johnson",886,453241
"Scott Carroll","CHW",129.1,-8.260621070861816,,-2.9926987886428833,,,-4.565858364105225,-0.6644250154495239,0.12029378116130829,,,-0.0337367057800293,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",189.1,-5.918980598449707,,3.5733375549316406,-1.0237845182418823,,6.766383171081543,,-4.636105060577393,,,,,,"Tim Hudson",921,218596
"Randy Wolf","MIA",25.2,-2.655790537595749,,0.19280680641531944,,,1.2767335027456284,-0.5883664339780807,-1.8787145912647247,,0.13829609751701355,-2.2022280618548393,,,"Randy Wolf",976,150116
"Bronson Arroyo","ARI",86,-2.1816868782043457,,,,,1.9284472465515137,0.12668476998806,-1.0218031406402588,,,-0.6654451489448547,,,"Bronson Arroyo",978,276520
"Joe Beimel","SEA",45,2.398311138153076,,,,,1.896243691444397,0.4949151873588562,-1.153606653213501,,,0.8285720944404602,,,"Joe Beimel",979,346847
"Aaron Thompson","MIN",7.1,0.10391370952129364,,,,,,0.664358913898468,-0.025610946118831635,,,-0.046469561755657196,,,"Aaron Thompson",999,457744
"Ryan Vogelsong","SFG",184.2,1.287278413772583,,,,,-0.8446652293205261,1.9521573781967163,1.7613343000411987,,,-8.26659870147705,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","- - -",202.2,-0.8887434005737305,,3.58017361164093,-2.8611202239990234,,-5.7096699476242065,-0.07555508613586426,1.210321307182312,,,-2.1924281120300293,,,"Jake Peavy",1051,408241
"Rafael Soriano","WSN",62,8.576704978942871,,1.6199467182159424,,,-1.801108717918396,-2.169732093811035,-0.15651120245456696,,,0.15978661179542542,,,"Rafael Soriano",1100,400089
"Marco Estrada","MIL",150.2,-9.656028985977173,,,,,,,-4.8839423060417175,,,5.3959669172763824,,,"Marco Estrada",1118,462136
"Joe Nathan","DET",58,-1.1980396509170532,,0.005573064088821411,,,0.23442941904067993,-0.4689421057701111,-0.783933699131012,,,-0.6210237145423889,,,"Joe Nathan",1122,150274
"Jerome Williams","- - -",115,-3.51717072725296,,2.758111149072647,,,-7.501921892166138,-1.0902483463287354,-1.4004472196102142,,,4.937707722187042,,,"Jerome Williams",1137,425532
"Tommy Hunter","BAL",60.2,-0.669249951839447,,0.014670953154563904,,,5.813497543334961,,3.838667392730713,,,-0.19966793060302734,,,"Tommy Hunter",1157,488984
"Adam Ottavino","COL",65,-2.294890880584717,,,,,0.19690558314323425,4.247562885284424,,,,-1.7457700967788696,,,"Adam Ottavino",1247,493603
"Colby Lewis","TEX",170.1,-25.52725601196289,,,,,-3.334800958633423,6.407142162322998,-9.844524383544922,,,0.20235563814640045,,,"Colby Lewis",1259,407890
"Pedro Beato","ATL",4.1,0.5551063418388367,,,,,0.5117447376251221,-0.20103855431079865,,0.42070114612579346,,-0.4691416621208191,,,"Pedro Beato",1330,474039
"Curtis Partch","CIN",7,2.140012502670288,,,,,0.2493230700492859,-0.14651015400886536,,,,-0.1831880807876587,,,"Curtis Partch",1333,489197
"Blake Wood","CLE",6.1,-0.43288397789001465,,,,,,0.08438963443040848,,,,0.379813551902771,,,"Blake Wood",1345,502028
"Evan Reed","DET",32.1,-1.93243408203125,,,,,-0.19545896351337433,0.5686264038085938,,,,-0.36934953927993774,,,"Evan Reed",1349,519175
"Nick Hagadone","CLE",23.1,-0.06323521584272385,,,,,0.053649451583623886,3.3071413040161133,,,,,,,"Nick Hagadone",1351,444935
"Charlie Furbush","SEA",42.1,4.211158275604248,,,,,-1.4928977489471436,0.9840607047080994,0.8851645588874817,,,-0.03502220660448074,,,"Charlie Furbush",1370,518703
"Jason Lane","SDP",10.1,1.3535271883010864,,,,,,-0.5017020106315613,,,,1.5816598534584045,,,"Jason Lane",1397,407835
"Joaquín Benoit","SDP",54.1,2.9720406532287598,,,,,-1.7142465114593506,4.37818717956543,,,,10.738044738769531,,,"Joaquin Benoit",1437,276542
"Aaron Harang","ATL",204.1,1.4153947830200195,,,,,-0.9558765888214111,2.4598448276519775,1.0763037204742432,,,-4.078728675842285,,,"Aaron Harang",1451,421685
"Felix Doubront","- - -",79.2,-6.623559594154358,,-2.567715160548687,,,-4.870477318763733,,-2.246112674474716,,,0.3238692581653595,,,"Felix Doubront",1478,467094
"Jon Edwards","TEX",8.1,-2.165369987487793,,,,,-0.18038532137870789,1.0350209474563599,,,,,,,"Jon Edwards",1483,457754
"John Lackey","- - -",198,-0.11264324188232422,,3.379191905260086,,,0.48486852645874023,,-4.252097934484482,,,-2.0737577974796295,,,"John Lackey",1507,407793
"Oliver Pérez","ARI",58.2,1.6857705116271973,,,,,-0.6871551275253296,1.2393325567245483,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","OAK",62.2,15.440075874328613,,,,,0.09446403384208679,,3.0280814170837402,,,0.36517012119293213,,,"Sean Doolittle",1581,448281
"Cliff Lee","PHI",81.1,-0.7900826334953308,,-8.601469993591309,,,0.2570357918739319,-0.10203506052494049,-1.608868956565857,,,6.387784957885742,,,"Cliff Lee",1636,424324
"Francisco Rodríguez","MIL",68,-4.663336753845215,,,,,7.374122619628906,,-2.7995848655700684,,,6.654229640960693,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",37.2,,,,,,3.412376642227173,2.0417282581329346,-0.826087236404419,,,-0.9966117143630981,,,"Javier Lopez",1663,425657
"Chris Capuano","- - -",97.1,,,,,,-9.033222198486328,-6.590678930282593,0.41950857639312744,,,9.032700777053833,,,"Chris Capuano",1701,425626
"Jose Valverde","NYM",20.2,-2.067779302597046,,,-1.6295697689056396,,,,,,,,,,"Jose Valverde",1726,407878
"Dan Haren","LAD",186,-2.722414970397949,,-0.5344273447990417,-5.95597505569458,,0.05080999433994293,,,3.0665926933288574,,,,,"Dan Haren",1757,429717
"Kevin Correia","- - -",154,-12.671526193618774,,-1.8294656574726105,,,-4.764103725552559,0.16203349828720093,-0.14623326063156128,,,-7.881894469261169,,,"Kevin Correia",1767,429781
"Kevin Gregg","MIA",9,0.02191595360636711,,-2.151991128921509,0.05439348146319389,,,,-0.4678419530391693,,,,,,"Kevin Gregg",1793,276514
