Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Junichi Tazawa","BOS",63,0.31440162,0.68965517,0.5020284,0.55483871,0.85882353,0.76363636,0.5,31.07936508,"Junichi Tazawa",4079,547749
"Joel Peralta","TBR",63.1,0.33078394,0.6254417,0.48393021,0.61849711,0.8220339,0.75521822,0.51974288,30.69329897,"Joel Peralta",2332,407908
"Bobby Parnell","NYM",1,0.36363636,0.57142857,0.48,1,0.875,0.91666667,0.56,29.84210526,"Bobby Parnell",9926,458730
"Josh Lueke","TBR",30.1,0.31343284,0.69503546,0.53623188,0.66666667,0.87755102,0.82625483,0.58385093,29.66568915,"Josh Lueke",5722,518961
"Kyuji Fujikawa","CHC",13,0.30088496,0.68141593,0.49115044,0.55882353,0.79220779,0.72072072,0.5,29.64779874,"Kyuji Fujikawa",14443,493117
"Joaquín Benoit","SDP",54.1,0.35550459,0.70994475,0.51629073,0.4,0.78988327,0.64320388,0.45363409,29.18100358,"Joaquin Benoit",1437,276542
"Jose Ortega","DET",1.1,0.13333333,0.41666667,0.21428571,0.25,0.8,0.55555556,0.28571429,29.06896552,"Jose Ortega",9651,514639
"Tony Sipp","HOU",50.2,0.29048843,0.62945368,0.46666667,0.50442478,0.80377358,0.71428571,0.51975309,28.93706294,"Tony Sipp",8280,448609
"Jose Veras","- - -",46,0.19298246,0.56947608,0.3902148,0.49350649,0.86,0.77370031,0.52386635,28.91341256,"Jose Veras",2063,407842
"Pedro Báez","LAD",24,0.25735294,0.78199052,0.57636888,0.62857143,0.86060606,0.82,0.60806916,28.77642276,"Pedro Baez",5420,520980
"Phil Coke","DET",58,0.33962264,0.69736842,0.51446945,0.62962963,0.86163522,0.78333333,0.48874598,28.48503937,"Phil Coke",5535,457435
"Jonathan Broxton","- - -",58.2,0.2470024,0.69358178,0.48666667,0.60194175,0.83880597,0.78310502,0.53666667,28.36391913,"Jonathan Broxton",4759,455009
"Jeff Beliveau","TBR",24,0.25786164,0.5745614,0.44444444,0.6097561,0.87022901,0.80813953,0.58914729,28.33571429,"Jeff Beliveau",8504,542924
"Juan Gutierrez","SFG",63.2,0.30909091,0.62970297,0.48042328,0.72058824,0.87106918,0.82599119,0.53439153,28.1978691,"Juan Gutierrez",3265,434641
"Kevin Whelan","DET",1.1,0.28571429,0.76470588,0.5,0.66666667,1,0.89473684,0.44736842,28.17241379,"Kevin Whelan",3462,460128
"Hunter Strickland","SFG",7,0.34375,0.68253968,0.56842105,0.54545455,0.8372093,0.77777778,0.66315789,28.03125,"Hunter Strickland",7836,519326
"Mike Adams","PHI",18.2,0.24817518,0.5497076,0.41558442,0.61764706,0.89361702,0.8203125,0.55519481,27.78873239,"Mike Adams",1937,430606
"Yoervis Medina","SEA",57,0.27494908,0.61386139,0.42793296,0.57777778,0.88306452,0.77545692,0.45139665,27.70351759,"Yoervis Medina",10498,500721
"Jason Frasor","- - -",47.1,0.23002421,0.61165049,0.42060606,0.65263158,0.85714286,0.80115274,0.49939394,27.67839196,"Jason Frasor",1906,430630
