Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Cory Gearrin","SFG",0.34482759,0.55,0.42857143,0.4,0.72727273,0.57142857,0.40816327,0.61538462,0.18367347,0.24489796,0.42857143,"Cory Gearrin",7947,518715
"Carter Capps","MIA",0.41350211,0.65384615,0.5258427,0.29591837,0.67647059,0.51709402,0.46741573,0.66101695,0.25393258,0.15955056,0.41348315,"Carter Capps",12803,605169
"Andrew Miller","NYY",0.35225049,0.54444444,0.44224766,0.35555556,0.76326531,0.59058824,0.46826223,0.65853659,0.18012422,0.23291925,0.41304348,"Andrew Miller",6785,453192
"Sergio Romo","SFG",0.37717602,0.61797753,0.47537228,0.52307692,0.75454545,0.64578313,0.40778923,0.70434783,0.16685585,0.19750284,0.36435868,"Sergio Romo",9817,489265
"Lucas Luetge","SEA",0.31578947,0.42857143,0.36363636,0.5,0.83333333,0.66666667,0.42424242,0.75,0.12121212,0.24242424,0.36363636,"Lucas Luetge",8337,476595
"David Carpenter","ATL",0.36842105,0.57142857,0.45454545,0.57142857,0.8125,0.7,0.42424242,0.58823529,0.13636364,0.22727273,0.36363636,"David Carpenter",9244,518526
"Dan Winkler","ATL",0.27777778,0.53333333,0.39393939,0.6,0.75,0.69230769,0.45454545,0.625,0.12121212,0.24242424,0.36363636,"Dan Winkler",12237,595465
"Tony Zych","SEA",0.35251799,0.57575758,0.46125461,0.46938776,0.80263158,0.672,0.48708487,0.73684211,0.14963504,0.21167883,0.36131387,"Tony Zych",12876,543964
"Shane Robinson","MIN",0.1,0.25,0.14285714,1,1,1,0.28571429,,0,0.35714286,0.35714286,"Shane Robinson",4249,453203
"Dellin Betances","NYY",0.29216467,0.55718954,0.41098901,0.39090909,0.78592375,0.63101604,0.44835165,0.59337349,0.15109489,0.20583942,0.35693431,"Dellin Betances",6216,476454
"Carson Smith","SEA",0.29432624,0.54958678,0.41221374,0.40963855,0.86842105,0.69212963,0.46183206,0.58802817,0.12453184,0.23127341,0.35580524,"Carson Smith",13172,605476
"Nick Franklin","TBR",0.27272727,0.66666667,0.41176471,0.66666667,1,0.85714286,0.35294118,1,0.05882353,0.29411765,0.35294118,"Nick Franklin",10166,545338
"Shawn Armstrong","CLE",0.28378378,0.64912281,0.44274809,0.47619048,0.81081081,0.68965517,0.4351145,0.66666667,0.13740458,0.21374046,0.35114504,"Shawn Armstrong",12857,542888
"Carl Edwards Jr.","CHC",0.29268293,0.4516129,0.36111111,0.66666667,0.78571429,0.73076923,0.43055556,0.63157895,0.09722222,0.25,0.34722222,"Carl Edwards Jr.",13607,605218
"Zack Britton","BAL",0.3870334,0.657289,0.50444444,0.43147208,0.85992218,0.67400881,0.43444444,0.64031621,0.16371681,0.18252212,0.34623894,"Zack Britton",3240,502154
"Koji Uehara","BOS",0.40273973,0.68560606,0.52146264,0.53061224,0.72928177,0.6402439,0.41971383,0.73125,0.1864139,0.15955766,0.34597156,"Koji Uehara",9227,493157
"Jerry Blevins","NYM",0.24242424,0.59090909,0.38181818,0.375,1,0.76190476,0.4,0.6,0.09090909,0.25454545,0.34545455,"Jerry Blevins",7841,460283
"Adam Ottavino","COL",0.35064935,0.49230769,0.41549296,0.51851852,0.84375,0.69491525,0.45774648,0.51428571,0.12676056,0.21830986,0.34507042,"Adam Ottavino",1247,493603
"Chris Rearick","SDP",0.2972973,0.66666667,0.43103448,0.36363636,0.71428571,0.56,0.36206897,0.375,0.18965517,0.15517241,0.34482759,"Chris Rearick",11050,595371
"David Robertson","CHW",0.31861804,0.65486726,0.47482014,0.48795181,0.82094595,0.7012987,0.46454265,0.684,0.14067278,0.2038736,0.34454638,"David Robertson",8241,502085
"Aroldis Chapman","CIN",0.33184524,0.67545639,0.47725322,0.49327354,0.66366366,0.59532374,0.42317597,0.55755396,0.1924722,0.15141146,0.34388366,"Aroldis Chapman",10233,547973
"Matt Reynolds","ARI",0.36641221,0.65957447,0.48888889,0.54166667,0.74193548,0.65454545,0.41777778,0.61290323,0.16309013,0.18025751,0.34334764,"Matt Reynolds",8887,519186
"Evan Scribner","OAK",0.35483871,0.65198238,0.50163221,0.68484848,0.77364865,0.74186551,0.49401523,0.70588235,0.12920738,0.21281216,0.34201954,"Evan Scribner",7525,519267
"Rich Hill","BOS",0.29268293,0.62008734,0.46543779,0.78333333,0.74647887,0.75742574,0.52764977,0.61320755,0.11290323,0.22580645,0.33870968,"Rich Hill",4806,448179
"Will Smith","MIL",0.34248788,0.61486486,0.45625588,0.44339623,0.83882784,0.66597938,0.41768579,0.59848485,0.15182755,0.18556701,0.33739456,"Will Smith",8048,519293
"Kevin Chapman","HOU",0.17647059,0.65853659,0.39130435,0.44444444,0.74074074,0.66666667,0.44565217,0.59090909,0.13043478,0.20652174,0.33695652,"Kevin Chapman",11240,502087
"Mark Lowe","- - -",0.30788177,0.66004963,0.48331273,0.504,0.80075188,0.70588235,0.49814586,0.6744186,0.14127764,0.19410319,0.33538084,"Mark Lowe",7416,450275
"Mychal Givens","BAL",0.28979592,0.63800905,0.45493562,0.6056338,0.79432624,0.73113208,0.47424893,0.63247863,0.1223176,0.21244635,0.33476395,"Mychal Givens",10430,571710
"Adam LaRoche","CHW",0.25,0.5,0.33333333,0.5,1,0.75,0.33333333,0.33333333,0.08333333,0.25,0.33333333,"Adam LaRoche",1904,425560
"Eric Surkamp","LAD",0.31034483,0.59090909,0.43137255,0.22222222,0.92307692,0.63636364,0.43137255,0.4375,0.15686275,0.17647059,0.33333333,"Eric Surkamp",2540,474668
