Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Eddie Gamboa","TBR",13.1,,,1.961666742960612,,,-5.837666829427083,,,,,,,2.079216830701713,"Eddie Gamboa",6911,543195
"Erik Kratz","- - -",2,,,,,,,-2.261428560529436,-1.831666628519694,,,-5.5591305857119355,,1.2876296043395996,"Erik Kratz",4403,456124
"Steven Wright","BOS",156.2,-4.963646598484205,,,,,,,2.729324951171875,,,,,0.7440921080623552,"Steven Wright",8185,453214
"R.A. Dickey","TOR",169.2,-7.930515805994743,,,,,,,,,-0.7488158973487647,,,-0.4648340731923575,"R.A. Dickey",1245,285079
"Neftalí Feliz","PIT",53.2,-6.313593600906488,,,,,-7.714138162547145,3.229356233654104,,,,-7.4711108737521705,,,"Neftali Feliz",18,491703
"Xavier Cedeño","TBR",41.1,-0.7217269345938441,,,,,2.072499910990397,,-2.831831466319949,,,1.2425000667572021,,,"Xavier Cedeno",36,458584
"Zach Phillips","PIT",6.2,5.103902305044779,,,,,8.313571384974889,-1.5324242331764915,,,,6.364400024414063,,,"Zach Phillips",99,452061
"Bartolo Colon","NYM",191.2,-4.2413042835567305,,,,,-9.027225980198924,1.0975000169542102,,,,-7.805702776948283,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",179.2,1.0059961313462464,,,,,8.845155044599807,-5.604576259985902,,,,6.794730363491767,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",65.1,-3.50582530197588,,,,,-7.385690706649977,,,,,-9.118475736805193,,,"Fernando Rodney",494,407845
"Jason Grilli","- - -",59,-7.533181560528392,,,,,-10.12814783166956,6.505616836347605,,,,-9.984999876755934,,,"Jason Grilli",521,276351
"Kyle Lohse","TEX",9.1,,,,,,-6.487738833220109,3.620000203450521,4.924444410536024,,,-6.453749974568685,,,"Kyle Lohse",739,346798
"Scott Carroll","CHW",2.1,-6.150000254313151,,,,,-9.96719970703125,2.419999917348226,5.954999923706055,,,-4.2757143293108255,,,"Scott Carroll",888,453222
"Ryan Vogelsong","PIT",82.1,-5.167140144318458,,,,,-8.116047659320031,-0.5099999881334336,2.410418701171875,,,-7.509381755014484,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",118.2,-7.0765201442844266,,-0.4085364603889998,,,-9.284057529994419,0.632857118334089,2.440372900235451,,,-8.06948930503678,,,"Jake Peavy",1051,408241
