Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Daniel Descalso","ARI",2,0,0,,0,0,0,0,0,0,,0,72.23816101455613,175.59459025191876,0,37.012848795096126,241.15342546705955,"Daniel Descalso",8392,518614
"Carlos Ruiz","SEA",1,108.44613066188198,560.3073585440011,19.35475713663016,687.7794892369383,66.20804945597817,342.0763526337692,158.9933237547178,300.2174074287149,112.83279849916892,137.8121896298258,214.00047532136054,469.0331502751546,285.13091302085047,0,57.75947223181215,205.5139804545577,"Carlos Ruiz",2579,434563
"Dan Slania","SFG",1,0,0,,0,0,0,0,0,0,,0,77.50615048612441,155.10398833278992,0,74.02569781226936,192.92274025789396,"Dan Slania",15639,592753
"Jordan Jankowski","HOU",4.1,125.13024255870884,129.30179298076874,96.77378568315079,476.1553803156932,105.33098827646312,108.8424750216989,139.11915828537806,155.88222975020113,112.83279849916892,86.13261851864112,294.6869329670788,259.79096292980597,135.10248717546864,70.64026139017906,49.508118989828155,176.15484015474777,"Jordan Jankowski",13313,543357
"Antonio Bastardo","PIT",9,95.36377016328736,266.72862978912633,35.753105667645194,405.9000876960836,70.8663109495323,198.21021463273968,147.73410928038084,205.56123080836315,122.62612967336786,76.44294084397126,352.0797263743345,268.14621500628834,196.92282074609057,111.9655454148011,38.07035881777584,173.63046640573504,"Antonio Bastardo",8844,455374
"Shawn Kelley","WSN",26,103.15782691724125,112.84662128847836,91.41419068966354,337.20898478513044,95.17169899848622,104.11041477185867,105.63327653247414,113.84918941591194,78.96379562300203,113.71677148068495,164.0186927386892,195.06170888671133,139.54620354817092,69.97846563932606,58.163048138304916,172.25244676218537,"Shawn Kelley",7773,518875
"Deck McGuire","CIN",13.2,86.35061017401672,39.0334034411405,140.7778537071308,53.45993680215461,90.48109381052927,40.900520088944475,74.91234314924971,64.97731283793017,73.41253882884551,83.03284961333281,59.322232075319086,71.56490374447607,126.19242082362292,58.315388289359426,63.45059812480229,172.25244667950417,"Deck McGuire",11596,592547
"Preston Claiborne","TEX",2,108.44613066188198,0,,0,92.69126979451705,0,198.7416546933972,187.63587964294683,211.56149718594173,55.12487585193032,282.6381171012281,25.035153517090492,127.69017460590577,61.810229087268056,57.75947223181215,171.2616503787981,"Preston Claiborne",10500,502011
"Buddy Baumann","SDP",17.2,127.52642085050938,105.68482081123128,120.66673174896924,165.4232629616498,134.3507149403299,111.34030554548202,70.44176783227836,75.39823102421646,63.27146739903502,137.59729365674556,60.49739345054909,126.38354614742944,113.16530597026266,35.84262861067087,75.83120257196067,169.3955767906349,"Buddy Baumann",9309,571473
"Kevin McGowan","NYM",8.2,99.0314993107334,184.6580804700865,53.62965854169003,168.6044676550597,92.12620474108611,171.78218609138867,93.42009851553493,119.54163134766004,83.60872477729627,110.56925375268636,127.01809609853464,150.42952257561794,149.38719250859074,37.68071204124514,76.8728400785253,166.9523712768522,"Kevin McGowan",15215,641850
"Kevin Plawecki","NYM",3,0,0,,730.6193062406752,0,0,141.7983638182227,123.33659472347595,60.80634529257911,137.59729365674556,293.55291167058743,379.85397091783193,182.42479089162836,34.98923281966303,79.31324770359082,165.3623488338211,"Kevin Plawecki",13807,608700
"Tyler White","HOU",1,0,0,,687.7794892369383,0,0,158.9933237547178,150.10870371435746,84.62459887437669,0,425.658590913159,373.80680897495125,193.72053392192933,0,92.41515557089943,164.41118436364619,"Tyler White",15564,643603
"Austin Maddox","BOS",17.1,87.59111196024266,32.32542690276386,270.96659991282223,39.67958882839295,96.84162475033237,35.739320192118065,79.4966618773589,64.95088617963482,81.23961491940162,137.81218962982578,11.349910021757164,60.59174059446588,113.12065879545969,69.22745657774023,60.06985112108464,164.41118436364616,"Austin Maddox",14241,545348
"Troy Scribner","LAA",23.2,82.48014795953854,118.37478292849414,69.67712566864286,203.42771712604474,84.26479051162626,120.93608426446387,77.66915240891386,85.6253792791606,54.59651540282366,107.66577305642662,97.9425596303715,159.70499695100145,142.19192789232844,78.8304370036424,56.92237837108035,162.8226703541514,"Troy Scribner",15570,644428
"John Brebbia","STL",51.2,105.89983387309367,56.78733487904564,186.48494905196253,113.12818126982972,112.40278534065673,60.27445017519626,76.11559840190606,68.75022367085494,72.37770204601766,125.08844876635075,58.2504126740486,97.60394467808102,110.93093777589998,91.6264803904946,55.91869261436949,162.3882059514191,"John Brebbia",12777,605154
"Kirby Yates","- - -",56.2,166.62645795869923,89.43245238809259,184.17553791570157,153.2074164597717,175.4907159707132,94.19513760089573,83.19263906569799,82.30992190400121,97.29015246812656,103.33713917202974,94.19773411634446,91.21061157789727,76.33634711829048,72.8701378096176,64.23717582054272,162.1211375653994,"Kirby Yates",9073,489446
"Akeel Morris","ATL",7.1,131.6670042352388,145.48832214844535,90.50004881172694,0,129.55247541715235,143.1518217428239,85.07901829093359,100.91186211787586,105.6110207713216,123.837564291071,27.701344164464775,54.84792453994602,110.17531588757514,81.6415434091635,61.68808139918591,160.76895021491163,"Akeel Morris",12185,592570
"Grant Dayton","LAD",23.2,90.66265791875564,135.24256421939472,67.03707316705697,154.3562329256567,90.31980839808463,134.7311254030693,83.81858839032718,96.93216668175091,72.03213211582448,103.19797024255917,119.25494407486501,134.94495386911322,133.31695521652048,65.80064708763452,69.6062530540649,159.80913546582627,"Grant Dayton",11203,594795
"A.J. Griffin","TEX",77.1,85.54156875256177,101.43496326399148,84.33144180407292,177.87402411665306,83.6415300382407,99.18190066985201,99.3708273466986,100.93517321518026,85.00408138053982,97.47691452680837,124.26332287497307,137.05707740720126,139.9761513665229,65.38602740291805,65.87443934759455,159.65548879870408,"A.J. Griffin",11132,456167
"Keone Kela","TEX",38.2,143.0367444517497,123.17104656684539,116.12854281978096,71.14962105308084,156.5316143817768,134.79167516544163,53.7947336012203,67.93714670931853,60.756122268783265,108.79909704716518,58.4768671982917,71.20634958920229,92.8119710878478,60.30266227089277,70.43838059018036,157.0594645438114,"Keone Kela",14696,605309
"Chris Smith","TOR",5,21.689226132376398,56.03073585440011,38.70951427326032,137.55589784738766,20.150275639280796,52.05509622895719,126.47196207761641,120.08696297148597,101.54951864925201,104.40317388264285,123.73314641817845,134.0079818704258,173.90084915699978,47.09350775827999,77.01262956540357,156.58208022889312,"Chris Smith",14449,627262
"Emilio Pagán","SEA",50.1,120.65530073814314,44.52773822773414,270.96659991282223,95.65145456196717,132.41609937541273,48.86804986313821,82.89758858868976,70.0838667497413,87.35442464451786,101.01417038259979,76.52997324034537,75.91301314436531,92.9414609487918,102.70007260266564,51.539221358306385,155.9798415125318,"Emilio Pagan",14771,641941
"Michael Blazek","MIL",8.2,86.65259288627611,30.776357751498452,160.88897566529232,505.8135838582263,87.14640966612582,30.9517449321742,132.34513956367448,111.00298309201892,87.24388672413525,107.6848385139748,189.5626955625319,249.16669404280086,114.82930737921669,104.96769886136528,55.51927331954539,155.02720201362084,"Michael Blazek",9654,518468
"Shane Carle","COL",4,107.28411638297808,0,,182.6548265601688,96.97495199538194,0,125.37960590242845,111.00293525112836,119.44103539613752,89.73736542232983,135.46571454069982,96.32570333062476,109.0267916622358,97.96985248287561,59.22055816098464,154.33819226419197,"Shane Carle",15258,641438
"John Curtiss","MIN",8.2,125.13007732780783,64.65081112072745,193.54757136630158,158.71825052205094,121.96219675655462,63.0140639821342,102.20999384231857,95.2612368352223,103.02125080358901,59.918343221446214,188.09697171371457,110.60757995472335,108.43021045437358,98.89636653962889,55.449093342539655,153.4504387394031,"John Curtiss",16128,595928
"Kyle McGrath","SDP",19,90.34447371240037,84.22995316099338,107.25931708338005,76.90725679139973,98.26795157028153,91.61716591540728,80.55791103875839,77.89675756843901,78.69056449627885,111.99779711126831,67.5023111987391,88.44745316511823,116.55910258867353,92.42438899615172,62.85200743399055,152.88217144868247,"Kyle McGrath",16793,657681
"Ryan Buchter","- - -",65.1,107.05692232045034,107.79093300020332,99.50833541943946,109.8623789917293,111.90997138146415,112.65671704171776,73.43161627536709,79.67442514265424,70.0835093420888,112.4320102756585,67.24075758236805,105.56813941765947,115.34104094394132,66.51897715203268,74.4725712218135,151.01905201328387,"Ryan Buchter",9456,488748
"Carlos Ramirez","TOR",16.2,91.09473238103952,50.42765265064867,180.64439991607514,123.80028444961854,111.86877373012184,61.9276146031319,44.164812154088274,40.52934227251796,27.445815851149195,118.80361167856765,61.86656140897908,101.97531628414849,103.48946647243599,86.53432072217527,63.53541945499337,150.7102523333423,"Carlos Ramirez",11743,570702
"Chris Gimenez","MIN",5,0,0,,137.555924084098,0,0,126.47196207761641,105.0761126417282,96.71382728500193,73.82795863182653,163.01750224940744,130.3443018292694,169.33034881030596,89.90578735872293,63.01033317576752,149.46471293330623,"Chris Gimenez",7324,460269
"Carson Fulmer","CHW",23.1,88.30613977983516,156.08562981467782,56.57544391997607,117.90506172307677,87.18485757150104,154.1037031475048,73.9503831417292,93.28184239166485,64.47588485666796,111.76894110577675,90.06287116721494,127.65991916302357,141.34296425467403,82.41363849832243,66.51090734143771,149.4647128087523,"Carson Fulmer",18311,608334
"Luke Farrell","- - -",13,74.4523727110642,208.27374034705716,35.89747358833632,109.10757363885143,68.05458769832742,190.30006035498016,93.48157370907214,126.0435853781609,84.21824923554452,100.3873223405882,124.37977853728957,138.83488196425887,160.0772173991534,61.34697171553366,78.62306226213465,149.2377008153404,"Luke Farrell",15101,608652
"Josh Hader","MIL",47.2,153.048677690883,123.10538451706915,124.3232993411602,61.310714284277836,166.61122103644166,134.01447073655837,61.270897946145595,72.96696832377522,78.03480979214318,121.23109563340594,47.390655994253834,69.65981542323678,84.65689609121326,70.75600435325494,76.49322105047062,147.90743431347232,"Josh Hader",14212,623352
"Asher Wojciechowski","CIN",62.1,110.15266103870553,81.30220406835544,135.48545318124033,164.09629301205047,105.66446410359636,77.9895222506535,110.54711657671635,106.84773099388636,107.69937428939859,85.77019623422328,146.32289989931428,117.13101211815632,113.58687663319812,96.89326053586072,64.67080188120569,147.8721003577366,"Asher Wojciechowski",10836,592879
"Félix Peña","CHC",34.1,115.61686756848462,139.83815294645586,82.67905691676287,170.2413980504427,109.95708288490266,132.99265990424553,102.93510854952459,114.23603468345142,100.33046973275552,106.81068446880364,121.26642836136139,133.3802546315353,123.42856742798958,69.97846563932606,77.04715482957387,147.6449542435657,"Felix Pena",13403,570240
"Josh Collmenter","ATL",17,113.59494675844736,94.13940666695905,120.66673174896924,300.8432437461604,95.30297008825282,78.98031516788555,142.14848323505777,152.3569699525291,131.38513893575129,87.36336092522507,203.14298359793472,173.8346119917348,123.478201182804,80.30315766042443,72.81216175343515,147.06405615515868,"Josh Collmenter",7312,518567
"Jairo Labourt","DET",6,72.29742044125466,326.8459591506673,22.119722425273245,0,66.20804945597817,299.31680930284006,75.71110654986562,137.59964507149434,79.646681293531,100.22704696592453,101.69036677994661,119.75981310110791,182.25897996748927,29.087166425692445,95.13324817795127,145.0686918921452,"Jairo Labourt",14996,607951
"Deolis Guerra","LAA",25,95.43257313967356,134.47373527196487,70.96744282140742,110.04469309067872,97.10513954196931,136.83054105350766,85.48028158855794,96.06954838861418,80.83543773074787,99.18301516783886,109.57693375463691,112.03613021553049,124.61917540733687,49.44818326981445,85.81407293110466,144.83842416377288,"Deolis Guerra",8410,500610
"Jon Jay","CHC",1,0,0,,0,0,0,99.25885467275587,74.00195683408558,83.60872477729627,137.59729365674556,0,73.05735480160514,155.10398833278992,244.924631207189,0,144.69205533811254,"Jon Jay",5227,445055
"Hernán Pérez","MIL",1,0,266.72831888971734,0,0,0,229.04291478851823,99.25885467275587,148.00391366817115,83.60872477729627,137.59729365674556,0,141.07907738901568,224.2197833386211,122.4623156035945,55.51927341472128,144.69205533811254,"Hernan Perez",5751,541650
"Koji Uehara","CHC",43,124.7489836053142,74.43581652620264,167.5926829578647,118.93803714877515,129.3907368095848,77.20547650897875,90.88762596541503,86.04879465010187,95.11451259068568,99.26172914122864,91.98388084004816,87.50679434479488,93.17549697595551,124.61077683397053,54.54525105463169,144.69205533811254,"Koji Uehara",9227,493157
"Jack Leathersich","- - -",5,150.19785067056677,320.07416963115116,46.92595123571026,0,128.97668641641766,274.851497517179,83.5864039349523,148.0040001210845,111.4782997030617,110.07783492539644,83.2696596974366,91.56909947770461,140.7499434221754,163.28308747145934,37.01284894314752,144.69205533811254,"Jack Leathersich",12562,605333
"José Ruiz","SDP",1,107.28411638297808,266.72831888971734,40.22224391632308,0,115.15775592635764,286.3036434856478,0,74.00195683408558,0,137.59729365674556,0,97.00846111161951,137.16138282980927,0,111.03854682944257,144.69205533811254,"Jose Ruiz",14552,614179
"Mike Mayers","STL",4.2,68.9683699281092,228.62430448163303,30.16668293724231,313.12260247700135,55.27572284465167,183.2343318308146,151.25158807277083,190.29077206985176,125.41308716594442,59.824910189821686,276.3922270491141,236.3682588272528,181.79782929293825,108.85539153878416,61.68808139918591,144.69205533811254,"Mike Mayers",15451,594577
"Ernesto Frieri","TEX",7,77.46153245464055,240.13175780564194,32.2579285481471,0,74.75102375873266,231.72914257020514,95.39599425283068,128.66462071289843,101.54951864925201,91.87479299467574,107.67167832671274,94.02162698835798,155.95869158228808,78.07607843066968,72.95933318736836,144.22033703129483,"Ernesto Frieri",5178,457117
"Gabriel Moya","MIN",6.1,85.61533193342548,88.4695474033117,96.77378568315079,217.19343570353783,89.12622081366446,92.0974786803195,82.80902278891553,82.95477663715968,59.73501097014825,131.24970435685802,96.52346389961237,150.18206594721826,121.52102422376853,78.07607843066968,72.95933318736836,144.22033703129483,"Gabriel Moya",16348,622382
"Joaquín Benoit","- - -",50.1,98.04775841429965,116.58326596339472,84.10105546140282,101.60933123467504,99.4790002732659,118.28507274665414,89.85538423007372,95.56546327658819,87.88070341555228,93.03731597264975,107.45049978340039,102.58666628991153,119.60774728212098,83.37859772227625,74.02569783116952,143.66587041097176,"Joaquin Benoit",1437,276542
"Seunghwan Oh","STL",59.1,97.6406086737073,67.4313223536944,144.8000780987631,123.13809587729487,94.21998187031205,65.06900894610803,109.74962793085201,103.51960017568007,106.57815466116887,105.10904364326082,97.82421024988575,104.98245101992576,116.40845481784261,106.82882831766145,63.78810124725415,143.1527781351932,"Seunghwan Oh",18719,493200
"Neil Ramírez","- - -",31.1,150.65433847322848,178.76478058549966,84.27517770645471,139.9058686010191,132.46905248759418,157.18631402564137,106.07816529912839,132.25885806611205,119.73595153291812,76.44294084000754,174.600929785828,117.64986232496344,113.20571884201158,95.71767175207073,68.92047724286084,143.02892823199812,"Neil Ramirez",7677,519166
"Alex Wimmers","MIN",7.1,103.51676557367281,305.6222088178211,33.87082498910278,187.5762324685575,85.37353782227952,252.05625952033853,105.99554916981187,163.754956605158,96.71382728500193,125.28380874185872,111.14828060652533,182.77433747125423,169.4508862130358,64.49763005094293,80.3610046232676,142.96624715359727,"Alex Wimmers",11394,592872
"Aríel Miranda","SEA",160,92.85699937923644,110.31051121335022,84.17783259402808,159.04900688604195,93.64825898029346,111.25049537654286,91.22567756418233,95.22520891879553,79.96636407395228,101.46223938184222,121.71277033902383,132.95803769096534,123.25514365245988,79.92702006135048,73.19519319255704,142.91489443099977,"Ariel Miranda",17526,664641
"Luis Santos","TOR",16.2,104.10831323532554,67.2369009794697,154.83805709304127,165.06712149454196,109.04855239954831,70.42748404885234,93.16015063752997,85.5619839646984,84.6245988743767,137.8121896298258,61.86658972925095,114.15676773816985,105.32191985202257,72.11193377031879,77.01262956540357,142.7180418909922,"Luis Santos",15006,608601
"Danny Barnes","TOR",66,101.8736614470514,101.87408874247342,99.99957852635268,114.62994137455176,108.43129667080014,108.43174890417183,79.4966618773589,81.87749368285264,74.9966504994476,112.45091859093431,81.238953298926,102.97335959177003,111.46731378961405,78.22311458154981,74.4020319569329,142.42776791658807,"Danny Barnes",11388,592130
"Sean Doolittle","- - -",51.1,130.27867343199566,52.48313526055337,244.68845038770857,68.6606018255406,145.4147640621762,58.66117247314446,72.21699959274893,63.71727422020016,81.12652951384386,96.72483803234375,64.84665860393994,59.43832693368555,79.93525685401063,91.08329381976645,71.00305937363954,141.84200844521087,"Sean Doolittle",1581,448281
"Josh Fields","LAD",57,112.93067149767818,70.19167695834656,160.88897566529232,128.1788513911806,123.93659786228773,77.03236930962531,76.72182003691275,71.40541128148752,73.23391951296024,121.2166633284689,68.5595178516405,98.34968774860636,95.0869603671743,104.72639381383115,65.85734498545186,141.69842648723403,"Josh Fields",5070,451661
"José A. Váldez","- - -",18,101.38841181335474,74.83702925610855,136.4530833868859,322.33959935998234,97.91940895929623,72.226568804392,114.22180387955156,107.00861419023384,90.57611850873762,81.90315090425491,201.54500443017704,190.84612219351962,117.85106243072539,89.06350211465804,72.84269945886467,141.50254610898872,"Jose A. Valdez",14470,572308
"Oliver Pérez","WSN",33,126.7903926445747,96.99217201986288,130.72229272805004,88.5599670942431,125.62664249374942,96.10192123977613,100.04042045758072,98.66933280811926,111.4782997030617,100.60179482564071,104.61224839443639,86.76323045279344,105.59716956621392,89.06350185637388,73.18449665281783,141.4035993508201,"Oliver Perez",1514,424144
