Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Emmanuel Clase","CLE",69.2,94.015,,131.60478561549095,,154.45767741935487,,,,,140.9306346153846,99.7889423076923,138.15215384615377,"Emmanuel Clase",21032,661403
"Jacob deGrom","NYM",92,126.37707386363637,,,,153.12508557457213,123.35999999999999,117.29027522935779,,,122.92360065466451,109.63998363338789,134.5028805237316,"Jacob deGrom",10954,594798
"Jonathan Loáisiga","NYY",70.2,128.95999999999998,139.0623489932886,,,128.12230769230771,126.66389140271492,115.03090000000002,,,128.4838667900093,104.04891766882517,131.46201665124886,"Jonathan Loaisiga",19753,642528
"Liam Hendriks","CHW",71,134.64565045992114,,,,127.21080851063829,108.63439252336448,68.74000000000001,,,120.86511796733213,112.64194192377492,130.45299455535388,"Liam Hendriks",3548,521230
"Dustin May","LAD",23,105.82811594202897,133.36374999999998,110.52121212121212,,,148.0643956043956,,,,132.9262445414847,103.3632751091703,128.76170305676857,"Dustin May",19716,669160
"Corbin Burnes","MIL",167,117.77641025641024,96.10108786610878,139.87709439528024,,139.72294117647058,118.6472558139535,94.31309236947791,,,131.96897946859912,98.6076207729468,128.12878019323668,"Corbin Burnes",19361,669203
"Brusdar Graterol","LAD",33.1,70.33166666666666,136.91292207792205,71.76512820512819,,127.88317073170732,,,,,131.57233716475102,103.26088122605366,127.53570881226048,"Brusdar Graterol",20367,660813
"Blake Treinen","LAD",72.1,95.03951219512196,133.08993333333333,118.05018292682924,,136.47164490861624,,-33.80000000000001,,,125.30799632352947,105.29845588235293,126.82132352941181,"Blake Treinen",12572,595014
"Ryan Thompson","TBR",34,123.99216216216216,131.29826530612243,111.37304347826087,,125.52836956521737,,102.88666666666666,,,133.2621161825726,102.98219917012449,126.74053941908716,"Ryan Thompson",16647,657044
"Raisel Iglesias","LAA",70,110.8050810810811,117.36960784313725,,,126.41013850415514,,131.1433716475096,,,117.85917596566509,113.3554334763949,126.39869527897,"Raisel Iglesias",17130,628452
"Dan Altavilla","SDP",1.1,105.62909090909092,,,,143.59454545454545,,,,,120.15363636363637,121.41090909090909,124.61181818181818,"Dan Altavilla",16507,656186
"Justin Topa","MIL",3.1,,118.59827586206895,,,135.70714285714286,,,,,108.37363636363635,125.01795454545453,124.06431818181817,"Justin Topa",15145,623437
"Gerrit Cole","NYY",181.1,132.21921428571432,161.33166666666665,,,114.6563525835866,,110.09705463182898,120.56309677419355,,118.3818267610381,105.42058645096058,123.49520053926521,"Gerrit Cole",13125,543037
"Josh Hader","MIL",58.2,-302.02,128.42738362760835,,,121.0683582089552,,92.64892307692307,,,125.5217427385892,100.15948132780083,123.38336099585067,"Josh Hader",14212,623352
