Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Scott Effross","NYY",10.2,97.55428571428571,100.8251282051282,,,127.25178082191779,,76.55578947368421,,,110.68946341463416,129.926243902439,132.68039024390245,"Scott Effross",18384,664123
"Trevor Megill","MIL",47,107.31899122807017,,,,,,,104.79245791245789,,128.42537234042555,106.3266755319149,132.616994680851,"Trevor Megill",17722,656730
"Aroldis Chapman","BOS",61.1,139.5237096774193,116.58151815181517,,113.99436893203884,112.49299270072996,,,,,107.72594298245609,124.86844298245609,129.73627192982462,"Aroldis Chapman",10233,547973
"José Alvarado","PHI",26,68.42333333333333,118.62586206896555,99.54992805755394,,,89.87272727272727,,,,112.8895594713656,110.82533039647578,129.20814977973566,"Jose Alvarado",17780,621237
"Jacob Misiorowski","MIL",66,99.25271875000001,,,,113.24970274214608,103.0115294117647,116.90144927536231,,,118.5782322728121,104.17162908191828,128.82710813584626,"Jacob Misiorowski",31623,694819
"Griffin Jax","- - -",66,122.21743589743589,121.14440944881889,105.47454545454546,,112.62376863232217,81.50399999999999,120.37721311475411,,,109.16791893682421,116.61186711682706,126.62400709423969,"Griffin Jax",20253,643377
"Graham Ashcraft","CIN",65.1,,,88.5323487544484,,115.57004219409285,,,,,121.93509214354994,100.95150339476236,124.49291949563532,"Graham Ashcraft",27552,668933
"A.J. Puk","ARI",8,129.23525773195877,-70.66,,,86.19344827586207,,,,,116.98050955414011,110.78802547770701,123.56891719745221,"A.J. Puk",19343,640462
"Hunter Greene","CIN",107.2,110.97714889123549,,,89.48010638297869,91.99983579638752,59.06,,,,123.54768789443486,101.97032702237522,123.49258749282842,"Hunter Greene",22182,668881
"Chris Martin","TEX",42.1,105.90211055276384,111.48,113.80999999999999,102.62920353982298,189.095,,,,,112.97635455680403,118.78439450686643,123.2011485642947,"Chris Martin",11847,455119
"Jeremiah Estrada","SDP",73,107.78296296296294,,,120.63191637630662,131.60242914979753,,,,,107.9727804878049,115.69248780487806,122.7101138211383,"Jeremiah Estrada",22210,669093
"Jhoan Duran","- - -",70,96.76841269841272,,,117.62771028037383,44.126129032258056,,,71.94572815533984,,125.33996345421212,97.30495876995086,122.64321576061533,"Jhoan Duran",21029,661395
"Edgardo Henriquez","LAD",19,94.79589743589743,87.68682926829267,69.91820895522389,,120.98576923076925,,,,,130.81913978494617,91.61354838709674,122.21534050179211,"Edgardo Henriquez",26944,683618
"Emmanuel Clase","CLE",47.1,,46.826666666666675,101.02943689320388,,106.52741071428572,,,,,121.8306702412869,101.96906166219841,122.18214477211795,"Emmanuel Clase",21032,661403
"Tyler Rogers","- - -",77.1,,105.640219478738,,,104.34522088353414,,,,,127.89364646887498,105.31713803514322,122.02607685533602,"Tyler Rogers",15541,643511
"Reid Detmers","LAA",63.2,107.23348547717842,126.8756756756757,,,112.73253012048193,115.7744978165939,126.4,,,112.42230055658625,111.6150834879407,122.01675324675323,"Reid Detmers",27468,672282
"Aaron Ashby","MIL",66.2,98.94242424242424,102.8246653919694,,,67.14878306878308,110.45579353472888,108.84116666666667,,,122.75128138886625,102.69909726028999,121.27762575957266,"Aaron Ashby",23550,676879
"Chase Burns","CIN",43.1,109.69524886877826,75.1,,,101.47026415094341,37.45666666666667,110.7078282828283,,,114.5617385837696,105.99225276666775,120.59933682350776,"Chase Burns",35333,695505
"Isaiah Campbell","BOS",7.2,121.689,79.25636363636363,,,120.2034,100.67384615384616,,,,102.52620253164557,113.91860759493666,120.1415189873418,"Isaiah Campbell",25551,663462
"Zack Wheeler","PHI",149.2,114.63938837920489,105.11941031941029,100.8935922330097,110.83358490566039,106.01604519774011,84.56600858369096,,,,111.6450397655923,107.29908748430299,119.70692339891174,"Zack Wheeler",10310,554430
"Orion Kerkering","PHI",60,100.56772602739724,94.99979274611398,,,100.45140255009105,,,,,121.74163620539606,103.74809399477807,119.69333333333343,"Orion Kerkering",31776,689147
