Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Wyatt Mathisen","ARI",0.25,0.5,0.25,0.25,0.5,0,0,1,9,3,7,10,0.25,0.5,0.25,0,0,1,"Wyatt Mathisen",14555,621500
"Mitch Garver","MIN",0.25,2,0.25,0.5,0.25,0,0,0,0,6,8,14,0.25,0.75,0,0,0,1,"Mitch Garver",15161,641598
"David Peralta","ARI",0.5,1,0.428571428,0.285714285,0.285714285,0,0.5,1,9,9,19,28,0.42857143,0.42857143,0.14285714,0,0.14285714,0.85714286,"David Peralta",2136,444482
"Luis Sardinas","- - -",0.14285714285714285,2.5,0,0.714285714,0.285714285,0,0,2,9,8,16,24,0.42857143,0.57142857,0,0.14285714,0,0.85714286,"Luis Sardinas",13153,596143
"José Peraza","- - -",0.42857142857142855,1,0.428571428,0.285714285,0.285714285,0.5,0,1,5.400002156496909,12,17,29,0.42857143,0.28571429,0.28571429,0.14285714,0,0.85714286,"Jose Peraza",13593,606299
"Justin Turner","LAD",0.4,1,0.2,0.4,0.4,0,0,0,0,1,9,10,0.6,0,0.4,0.2,0,0.8,"Justin Turner",5235,457759
"Logan Porter","SFG",0.25,3,0.2,0.6,0.2,0,1,5,45,6,9,15,0.8,0.2,0,0,0.2,0.8,"Logan Porter",20626,682515
"Jon Jay","CHC",0.25,0,0.5,0,0.5,0.5,0,0,0,6,10,16,0.75,0,0.25,0.25,0,0.75,"Jon Jay",5227,445055
"Dee Strange-Gordon","WSN",0.3333333333333333,0.333333333,0,0.25,0.75,0,0.333333333,1,9,16,12,28,0.75,0.25,0,0.25,0,0.75,"Dee Strange-Gordon",8203,543829
"Jonathan Schoop","DET",0.25,0.5,0.25,0.25,0.5,0,0,2,13.500003218651585,4,13,17,0,0.75,0.25,0,0.25,0.75,"Jonathan Schoop",11265,570731
"Albert Almora Jr.","NYM",0,1,0,0.5,0.5,0,0.5,0,0,13,15,28,0.5,0.5,0,0,0.25,0.75,"Albert Almora Jr.",14109,546991
"David Bote","CHC",0.25,1,0,0.5,0.5,0,0,1,9,8,7,15,0.25,0.75,0,0,0.25,0.75,"David Bote",14593,623520
"Joshua Fuentes","COL",0.25,1,0.5,0.25,0.25,0,0,0,0,3,6,9,0.5,0.25,0.25,0,0.25,0.75,"Joshua Fuentes",16885,658069
"Nate Eaton","- - -",0.5,5,0.25,0.625,0.125,0,0,0,0,15,21,36,0.5,0.375,0.125,0,0.25,0.75,"Nate Eaton",25055,681987
"Will Wilson","CLE",0.14285714285714285,0.25,0.375,0.125,0.5,0,0.25,0,0,11,15,26,0.625,0.25,0.125,0,0.25,0.75,"Will Wilson",25434,669717
"Jordan Jankowski","HOU",0.3333333333333333,0.333333333,0.142857142,0.214285714,0.642857142,0,0.333333333,12,24.923095206550602,33,57,90,0.53333333,0.4,0.06666667,0.06666667,0.2,0.73333333,"Jordan Jankowski",13313,543357
"Yadier Molina","STL",0.4444444444444444,1,0.454545454,0.272727272,0.272727272,0,0.666666666,0,0,13,27,40,0.36363636,0.45454545,0.18181818,0,0.27272727,0.72727273,"Yadier Molina",7007,425877
"Austin Nola","COL",0.6666666666666666,0.125,0.181818181,0.09090909,0.727272727,0.125,0.25,0,0,11,18,29,0.27272727,0.36363636,0.36363636,0.09090909,0.18181818,0.72727273,"Austin Nola",15941,543592
"Tzu-Wei Lin","BOS",0.5,0.333333333,0.428571428,0.142857142,0.428571428,0,0.333333333,0,0,7,15,22,0.28571429,0.28571429,0.42857143,0,0.28571429,0.71428571,"Tzu-Wei Lin",14678,624407
"José Lopez","TBR",0.42857142857142855,0.666666666,0.285714285,0.285714285,0.428571428,0,0,0,0,26,25,51,0.57142857,0.28571429,0.14285714,0,0.28571429,0.71428571,"Jose Lopez",22982,673111
"Jose Corniell","TEX",0.3333333333333333,0.75,0,0.428571428,0.571428571,0,0.25,3,16.20000617981193,12,29,41,0.14285714,0.57142857,0.28571429,0,0.28571429,0.71428571,"Jose Corniell",27984,692030
"David Ross","CHC",0,2,0,0.666666666,0.333333333,0,0,1,4.5,3,16,19,0.5,0.16666667,0.33333333,0,0.33333333,0.66666667,"David Ross",1551,424325
"Bill Hall","BOS",0,3,0,1,0,0,0,0,0,4,7,11,1,0,0,0,0.33333333,0.66666667,"Bill Hall",1605,407849
"Sam Marsonek","NYY",0.3333333333333333,0.333333333,0.333333333,0.166666666,0.5,0,0,1,6.750016696792419,10,13,23,0.16666667,0.83333333,0,0.16666667,0.16666667,0.66666667,"Sam Marsonek",2144,430564
"Drew Butera","- - -",0.35,1.714285714,0.095238095,0.571428571,0.333333333,0.142857142,0.142857142,5,7.4999975040563305,47,73,120,0.42857143,0.42857143,0.14285714,0.14285714,0.19047619,0.66666667,"Drew Butera",3411,460077
"Steve Tolleson","TOR",0.3333333333333333,0,0.333333333,0,0.666666666,0.5,0,5,45.00004827981407,5,8,13,1,0,0,0.33333333,0,0.66666667,"Steve Tolleson",4450,476270
"Josh Donaldson","NYY",0,0.5,0,0.333333333,0.666666666,0,0,3,27,4,7,11,0,1,0,0,0.33333333,0.66666667,"Josh Donaldson",5038,518626
"Evan MacLane","STL",0,2,0,0.666666666,0.333333333,0,1,3,27,12,11,23,1,0,0,0,0.33333333,0.66666667,"Evan MacLane",5576,449774
"Ian Kinsler","SDP",0.3333333333333333,1,0.666666666,0.333333333,0,0,0,2,18,12,15,27,1,0,0,0,0.33333333,0.66666667,"Ian Kinsler",6195,435079
"Sean Rodríguez","PHI",0,1,0.333333333,0.333333333,0.333333333,0,0,2,13.500003218651585,2,9,11,0.33333333,0,0.66666667,0,0.33333333,0.66666667,"Sean Rodriguez",6589,446481
"Martín Maldonado","- - -",0.45454545454545453,0.5,0.5,0.166666666,0.333333333,0,0.25,0,0,22,23,45,0.5,0.25,0.25,0,0.33333333,0.66666667,"Martin Maldonado",6887,455117
"Mike Belfiore","BAL",0.25,0.666666666,0.166666666,0.333333333,0.5,0.333333333,0.666666666,0,0,16,18,34,0.5,0.16666667,0.33333333,0.16666667,0.16666667,0.66666667,"Mike Belfiore",9324,506988
"Sheldon Neuse","OAK",0.08333333333333333,0.571428571,0.083333333,0.333333333,0.583333333,0,0,0,0,12,21,33,0.25,0.5,0.25,0,0.33333333,0.66666667,"Sheldon Neuse",19635,641914
"Santiago Espinal","TOR",0.25,0.142857142,0.111111111,0.111111111,0.777777777,0.142857142,0.142857142,3,13.5,16,24,40,0.44444444,0.22222222,0.33333333,0.22222222,0.11111111,0.66666667,"Santiago Espinal",19997,669289
"Nathan Wiles","ATL",0.6666666666666666,1,0.666666666,0.166666666,0.166666666,0,0,0,0,8,16,24,0.33333333,0,0.66666667,0,0.33333333,0.66666667,"Nathan Wiles",25474,686249
"Grae Kessinger","HOU",0,0.5,0,0.333333333,0.666666666,0,0,0,0,3,8,11,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,"Grae Kessinger",25813,666197
"Jorge Guzmán","MIA",0.4444444444444444,0.75,0.363636363,0.272727272,0.363636363,0,0.5,0,0,42,38,80,0.54545455,0.27272727,0.18181818,0.09090909,0.27272727,0.63636364,"Jorge Guzman",17505,660422
"Trevor Oaks","KCR",0.4166666666666667,1.25,0.234042553,0.425531914,0.340425531,0.0625,0.0625,1,0.6585364321879801,85,162,247,0.40816327,0.3877551,0.20408163,0.08163265,0.28571429,0.63265306,"Trevor Oaks",16468,656805
"Reese McGuire","- - -",0.14285714285714285,0.5,0.25,0.25,0.5,0,0.25,1,4.5,10,14,24,0.5,0.25,0.25,0,0.375,0.625,"Reese McGuire",15674,624512
"Roel Ramírez","STL",0.75,1,0.25,0.375,0.375,0,1.333333333,0,0,21,23,44,0.625,0.25,0.125,0,0.375,0.625,"Roel Ramirez",16470,641995
"Tyler Ivey","HOU",0.3333333333333333,0.625,0.1875,0.3125,0.5,0,0.125,1,1.9285716913184698,24,55,79,0.1875,0.5625,0.25,0,0.375,0.625,"Tyler Ivey",20237,663959
"Ehire Adrianza","- - -",0.4166666666666667,0.5,0.307692307,0.23076923,0.461538461,0,0.166666666,2,6,20,31,51,0.61538462,0.15384615,0.23076923,0,0.38461538,0.61538462,"Ehire Adrianza",8418,501303
"Roman Quinn","PHI",0.48,1.5,0.423076923,0.346153846,0.23076923,0.166666666,0.166666666,1,1.7999999570846568,53,53,106,0.53846154,0.26923077,0.19230769,0.19230769,0.19230769,0.61538462,"Roman Quinn",13546,596451
"P.J. Conlon","NYM",0.4482758620689655,0.615384615,0.322580645,0.258064516,0.419354838,0.153846153,0.153846153,9,10.565213010533785,55,80,135,0.4516129,0.29032258,0.25806452,0.09677419,0.29032258,0.61290323,"P.J. Conlon",18213,664869
