Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Roger Clemens","- - -",354,184,0,709,707,4916.2,8.552135411854087,2.892203328495175,0.6644745621795877,0.28382593197683054,0.74578086,0.467973398,0.089171974,91.38145926339286,3.1246778998362426,,3.0882946163090863,3.5079937840377324,133.68920483521651,"Roger Clemens",815,112388
"Cy Young","- - -",511,316,17,906,815,7354.2,3.430067044975675,1.4892585065056712,0.16887236967771785,0.2793762904140044,0.64079335,,,,2.6273114325946394,,2.887955362276117,,131.46871703863144,"Cy Young",1014369,124692
"Greg Maddux","- - -",355,227,0,744,740,5008.1,6.057703720064742,1.79520795501177,0.6343427508700249,0.28102307049675473,0.72301502,0.514736842,0.119938884,81.01385153976142,3.1555407097103787,,3.2619771597230756,3.7312236416742435,116.6617551036179,"Greg Maddux",104,118120
"Walter Johnson","WAS",417,279,34,802,666,5914.2,5.33943865135744,2.073996831519006,0.14759918756958443,0.2635173016165973,0.7215601,,,,2.166816939165858,,2.4474374811135706,,116.41905331611633,"Walter Johnson",1006511,116635
"Randy Johnson","- - -",303,166,2,618,603,4135.1,10.609785691505396,3.2580203446530414,0.8944865475299933,0.2907667921537547,0.74703877,0.431556388,0.1203966,91.22016727616598,3.2928422053841357,,3.186738121431574,3.2332351748976915,110.45432747900486,"Randy Johnson",60,116615
"Nolan Ryan","- - -",324,292,3,807,773,5386,9.548087664828364,4.6704419011542315,0.5363906441039386,0.2651258648608862,0.73102418,,,,3.193278881254288,,2.971070667030226,,106.74577283486724,"Nolan Ryan",1011348,121597
"Bert Blyleven","- - -",287,250,0,692,685,4970,6.702012205859548,2.3939638303556667,0.778672047695111,0.28233555062823357,0.74087525,,,,3.3138833657722166,,3.1927531994469778,,102.91322366707027,"Bert Blyleven",1001098,111126
"Gaylord Perry","- - -",314,265,11,777,690,5350.1,5.944676360400418,2.3196685628161227,0.6711731374645634,0.2745252207572275,0.73247648,,,,3.1052270971418143,,3.0610780477359927,,100.06020927242935,"Gaylord Perry",1010210,120438
"Steve Carlton","- - -",329,244,2,741,709,5217.1,7.134679455925065,3.1619602134213354,0.7141579532768318,0.2792680527316849,0.7406664,,,,3.215435808956557,,3.152171977631375,,96.45129156112671,"Steve Carlton",1001964,112008
"Grover Alexander","- - -",373,208,32,696,599,5190,3.8115607286607665,1.6491329631284755,0.2843930661967087,0.27007630611434047,0.7135032,,,,2.559537595770378,,2.918882633883095,,95.74026808142662,"Grover Alexander",1000128,110127
"Tom Seaver","- - -",311,205,1,656,647,4782.2,6.849735126995749,2.615695556737388,0.7150822385325233,0.25866167254916084,0.76717635,,,,2.8622107494946523,,3.0368081506741804,,92.37065354175866,"Tom Seaver",1011708,121961
"Christy Mathewson","- - -",373,188,28,635,551,4780.2,4.710221619907551,1.5888996991214919,0.1713150149526727,0.27307760142879506,0.70189843,,,,2.13296606528987,,2.266927223853129,,90.01152548380196,"Christy Mathewson",1008235,118422
"Lefty Grove","- - -",300,141,55,616,457,3940.2,5.175266545893775,2.710962661066157,0.3699881643578074,0.2841399506781751,0.71817282,,,,3.0581120498463217,,3.4312846545426723,,87.36986148357391,"Lefty Grove",1005099,115201
"Don Sutton","- - -",324,256,5,774,756,5282,6.089738677087701,2.288337728967203,0.8042408101805806,0.26113861386138615,0.73549357,,,,3.261264641283117,,3.2409034024407877,,85.4957500686869,"Don Sutton",1012745,123006
"Pedro Martínez","- - -",219,100,3,476,409,2827.1,10.039848961462475,2.419240713605416,0.7607875401995978,0.2791549295774648,0.75913037,0.387520525,0.089430894,88.87158790629178,2.925371336583391,,2.913625401778901,3.4492526667791346,84.43722937162966,"Pedro Martinez",200,118377
"Justin Verlander","- - -",266,158,0,555,555,3567.2,8.963000799339799,2.532747763168353,0.9359057969476683,0.27987026574597196,0.75117757,0.374566945,0.089054248,94.77112112041449,3.322339446307491,3.207913844420406,3.4387266977376054,3.803456794539013,84.31977607868612,"Justin Verlander",8700,434378
"Bob Gibson","STL",251,174,6,528,482,3884.1,7.222088624943901,3.0955118392444825,0.5954689690762216,0.26847903340440654,0.7566786,,,,2.9147858486299096,,2.8940857598225107,,82.25804465264082,"Bob Gibson",1004662,114756
"Mike Mussina","- - -",270,153,0,537,536,3562.2,7.10619376415233,1.9830650923780944,0.9498502862855586,0.2920731129841841,0.72672418,0.431930693,0.100550964,86.39278750212296,3.6831960569264477,,3.5736246277462715,3.689688188399587,81.21809383481741,"Mike Mussina",837,119608
"Fergie Jenkins","- - -",284,226,7,664,594,4500.2,6.383054627640984,1.9937047192224502,0.9678566540658635,0.2681228468811845,0.7414089,,,,3.3375056934626577,,3.2799086750156574,,80.0677196122706,"Fergie Jenkins",1006388,116522
"Kid Nichols","- - -",361,208,17,620,561,5056.1,3.3249390262235776,2.2569714589140775,0.27767156750047006,0.2773685681787889,0.62940964,,,,2.9547102695562844,,3.5462492997801816,,80.03154018521309,"Kid Nichols",1009564,119761
"Curt Schilling","- - -",216,146,22,569,436,3261,8.599816239368707,1.9622815616788032,0.9576817185689799,0.29266946345771694,0.74590865,0.396052212,0.105263157,88.70297792733433,3.4581417676280455,,3.229991280542677,3.1820135914706156,79.82671536132693,"Curt Schilling",73,121811
"John Smoltz","- - -",213,155,154,723,481,3473,7.9919379639397725,2.617333768994543,0.746328837099434,0.28336045565500406,0.7357269,0.457192982,0.089304257,92.15931262647167,3.32738273206831,,3.242286523907884,3.284487345055956,79.48436263203621,"John Smoltz",115,122477
"Tommy John","- - -",288,231,4,760,700,4710.1,4.289505469298214,2.4055623099538757,0.57702924353143,0.2838231568279706,0.72115721,,,,3.341801811047918,,3.375122867319293,,79.36094012483954,"Tommy John",1006515,116550
