Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Adrian Morejon","SDP",212.1,4.531126434738572,,0.2437882287161691,5.656321207682292,,9.586865525324907,-2.925613917230601,-5.968233442798104,,,7.122682285308838,,5.796495819091797,"Adrian Morejon",20039,670970
"Eddie Gamboa","TBR",13.1,,,1.961666742960612,,,-5.837666829427083,,,,,,,2.079216830701713,"Eddie Gamboa",6911,543195
"Todd Frazier","NYM",1,-5.545474529266357,,,,,,,,,,,,1.5421313285827636,"Todd Frazier",785,453943
"Mike McCoy","TOR",1,,,-2.119999885559082,,,,,,,,-6.390000343322754,,1.5077777438693576,"Mike McCoy",4583,453454
"Tim Wakefield","BOS",794.1,-5.453686463253287,,,,,,,7.675022125244141,,,,,1.2181101285364104,"Tim Wakefield",219,123801
"Christian Koss","SFG",4,-5.193943023681641,,,,,,,,,2.6598442696236275,,,1.1987745761871338,"Christian Koss",27653,683766
"Jack Mayfield","- - -",1.1,-6.374707937240601,,,,,,,-2.5375188887119293,,,,,1.0708932195390974,"Jack Mayfield",15402,608686
"Pierson Ohl","MIN",30,-5.505439150649889,,0.41668398724868894,,,-8.13235346476237,,0.7732987850904465,,,-7.835654505287729,,0.6376865863800049,"Pierson Ohl",30179,701487
"Mike Yastrzemski","SFG",2,6.491578388214111,,,,,,-1.2230634689331055,-3.443326950073242,,-0.17190955666934743,,,0.4865833520889282,"Mike Yastrzemski",14854,573262
"Jose Trevino","- - -",4.1,-0.1413425064086914,,,,,,,,,-0.7614218166896275,,,0.3650045761695275,"Jose Trevino",16725,624431
"Mike Carp","BOS",1,,,,,,,,,,,-4.354500198364258,,0.31888887617323136,"Mike Carp",7480,455077
"Dean Anna","NYY",1,,,,,,,,,,,,,0.21352940447190227,"Dean Anna",8353,542883
"Steven Wright","BOS",347.2,-4.962102362984105,,,,,-7.818271171755907,,2.046217240644305,,,,,0.1528281393689049,"Steven Wright",8185,453214
"Charlie Haeger","- - -",64.2,-6.808150090884753,,,,,,10.92300033569336,2.8192166725794476,,,-6.849578857421875,,-0.026621261835098265,"Charlie Haeger",3545,446624
