Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Blake Cederlind","PIT",4,,133.8151219512195,98.78399999999999,,60.24,,,,,124.77134328358207,119.64567164179107,138.02328358208953,"Blake Cederlind",20344,664977
"Emmanuel Clase","- - -",360,109.60897727272727,91.33200000000001,99.70922800253052,,100.33950675248535,,,,,132.2962014613414,100.05115057128384,130.24574432914986,"Emmanuel Clase",21032,661403
"Roberto Osuna","- - -",315,132.836,104.28,124.25777777777778,,141.2836363636364,,86.694,,,104.22145454545455,122.13636363636363,130.17345454545455,"Roberto Osuna",13764,532077
"Jacob Misiorowski","MIL",66,99.25271875000001,,,,113.24970274214608,103.0115294117647,116.90144927536231,,,118.5782322728121,104.17162908191828,128.82710813584626,"Jacob Misiorowski",31623,694819
"Jacob deGrom","- - -",1539.2,107.9202706956248,,,,110.36861476290467,111.57336244541486,98.09911479944675,,,117.1482487286794,107.84069611032317,127.65223125817462,"Jacob deGrom",10954,594798
"Brusdar Graterol","- - -",190.2,101.59434664345555,104.09885113268608,98.9604217039505,,108.27762727411711,,128.54,,,126.56239482193358,103.9257128994497,125.61873503341779,"Brusdar Graterol",20367,660813
"Jonathan Loáisiga","NYY",249.1,108.01936758893281,98.58705811138013,74.3364705882353,,105.28769230769231,105.60017699115043,103.69814141414142,,,122.68677240943838,101.41154241475391,123.02001068436127,"Jonathan Loaisiga",19753,642528
"Orion Kerkering","PHI",126,105.34214492753621,97.75364902506963,,,104.93424280112966,,,,,120.66069713370561,105.85954833753136,121.79220718966319,"Orion Kerkering",31776,689147
"Blair Calvo","COL",1,,162.84,,,69.78,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Félix Bautista","BAL",161.1,79.86109088915688,116.34788659793813,157.4,90.49373177842567,86.80114537444935,,,,,120.40888247930431,96.94449288608129,121.25879260743982,"Felix Bautista",20666,642585
