Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Scott Patterson","- - -",4.2,0.74509804,,,,,,0.04901961,0.16666667,,,0.03921569,,,,"Scott Patterson",5,456499
"Jamie Burke","SEA",1,,,,,,,,0.11111111,,,0.88888889,,,,"Jamie Burke",6,406550
"Neftalí Feliz","- - -",393.1,0.67553596,,0.00653794,,,0.04409305,0.19309716,0.00030409,,,0.08043181,,,,"Neftali Feliz",18,491703
"Ramon Ortiz","- - -",192.2,0.17804755,,,,,0.29994942,0.43247344,,,,0.08952959,,,,"Ramon Ortiz",27,150009
"Troy Percival","- - -",97,0.63959391,,,,,0.10079768,0.05801305,0.10587382,,,0.09572154,,,,"Troy Percival",29,120401
"Scott Schoeneweis","- - -",153.1,0.1506202,,0.001772,,,0.62079149,0.22563497,0.00059067,,,0.00059067,,,,"Scott Schoeneweis",33,150011
"Aaron Sele","NYM",53.2,0.64575646,,0.04059041,,,0.01107011,0.10701107,0.1697417,,,0.02583026,,,,"Aaron Sele",34,121986
"Scot Shields","LAA",204,0.23335488,,,,,0.54589528,0.0155139,0.20232708,,,0.00290886,,,,"Scot Shields",35,276912
"Xavier Cedeño","- - -",177.2,0.33377006,,0.16180806,0.00032755,,0.11071078,0.00556829,0.36881756,,,0.01899771,,,,"Xavier Cedeno",36,458584
"Scott Spiezio","STL",1,0.25,,,,,,,,,,0.75,,,,"Scott Spiezio",37,122596
"Jarrod Washburn","- - -",523.1,0.51588761,,0.03584559,0.00275735,,0.14771534,0.08665966,0.07628676,,,0.13484769,,,,"Jarrod Washburn",40,132220
"Matt Wise","- - -",60.2,0.36897275,,0.00419287,,,,0.04192872,0.00209644,,,0.58280922,,,,"Matt Wise",42,277184
"Miguel Batista","- - -",574.2,0.23719413,,0.04676455,0.0021751,,0.30984231,0.31810767,0.02022838,,,0.06568787,,,,"Miguel Batista",46,110683
"Randy Johnson","- - -",336.2,0.28639083,,,0.15802592,,0.24551346,0.31006979,,,,,,,,"Randy Johnson",60,116615
"Byung-Hyun Kim","- - -",118.1,0.66404715,,,,,,0.15324165,0.01964637,,,0.16306483,,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","CLE",6,0.63636364,,,,,0.18181818,0.03030303,0.03030303,,,0.12121212,,,,"Mike Koplove",63,407377
"Mike Myers","- - -",54.1,0.39932886,,,,,,0.40268456,0.17449664,,,0.02348993,,,,"Mike Myers",68,119624
"John Patterson","WSN",31.1,0.57142857,,,,,,0.22077922,0.20779221,,,,,,,"John Patterson",71,279568
"Curt Schilling","BOS",151,0.49054374,,0.03309693,0.10047281,,,0.15248227,0.13356974,,,0.08983452,,,,"Curt Schilling",73,121811
"John Ennis","PHI",7.2,0.62416107,,0.01342282,,,,0.2147651,0.08053691,,,0.06711409,,,,"John Ennis",85,407795
"Tom Glavine","- - -",263.2,0.28340517,,0.01346983,,,0.234375,0.01239224,0.01346983,,,0.44288793,,,,"Tom Glavine",90,114849
"Zach Phillips","- - -",22.1,0.29591837,,,,,0.26785714,0.30357143,,,,0.13265306,,,,"Zach Phillips",99,452061
"Greg Maddux","- - -",392,0.30089511,,0.05187055,,,0.38879963,0.04728024,0.01078724,,,0.20036723,,,,"Greg Maddux",104,118120
"Jason Marquis","- - -",1058,0.06678173,,,,,0.54042751,0.26958311,0.00504514,,,0.11816251,,,,"Jason Marquis",105,150302
"Kevin Millwood","- - -",946,0.3597561,,0.14949301,0.01288024,,0.2080707,0.14120307,0.08755824,,,0.04103864,,,,"Kevin Millwood",106,119154
