Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Chris Gimenez","- - -",11,-4.986628062195249,,-3.5022206604480743,,,,,-3.6262019684440214,,,8.00446480512619,,18.539756536483765,"Chris Gimenez",7324,460269
"Leury García","CHW",2,-5.516672081180981,,,,,,,-2.5477898617585497,,,-0.9286809209230784,,13.079720735549927,"Leury Garcia",5913,544725
"Joe Inglett","MIL",1,,,,,,,,,,,,,12.246642510096233,"Joe Inglett",7254,446928
"Erick Aybar","SDP",1.1,,,,,,,,-6.401035189628601,,,,,10.201829129999334,"Erick Aybar",4082,430947
"Dusty Brown","BOS",1,,,,,,,,,,,-14.508136681147985,,9.391074379285175,"Dusty Brown",3420,451259
"Drew Butera","- - -",6,-3.507767379283905,,-3.5022206604480743,,,17.129002014795937,,0.6987680215388536,,,-3.1991269220324123,,9.32721197605133,"Drew Butera",3411,460077
"Felipe Lopez","STL",1,,,,,,,,,,,-3.258813420931498,,7.4064552783966064,"Felipe Lopez",1311,150479
"Jonah Bride","MIN",6,-6.084322387521917,,,,,,,,-5.3220485647519435,,,,6.68840834072658,"Jonah Bride",24703,681146
"Mitch Maier","KCR",2,,,,,,,20.823341608047485,-21.461351215839386,,,6.824437013039223,,6.6181908051172895,"Mitch Maier",5588,430574
"Josh Harrison","- - -",5,-5.742267809416118,,,,,,,-20.57029207547506,,,,,6.073799729347229,"Josh Harrison",8202,543281
"Mike McCoy","TOR",1,,,-2.2227823734283447,,,,,,,,11.060988903045654,,5.749258067872789,"Mike McCoy",4583,453454
"Martín Maldonado","- - -",2,-31.295837958653767,,,,,,3.780873864889145,22.57883846759796,,-10.879889556339808,2.196422761136835,,5.402796342968941,"Martin Maldonado",6887,455117
"Alex Blandino","CIN",4.2,-1.0027416432515168,,,,,,,-0.7342377056678135,,,,,3.025246659914653,"Alex Blandino",16271,607468
"Mike Yastrzemski","SFG",2,-14.348909705877306,,,,,,-3.628254681825638,-3.507758677005768,,-4.495105322669534,,,2.94793713837862,"Mike Yastrzemski",14854,573262
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,2.6607471704483032,"J.P. Arencibia",697,450317
"Todd Frazier","NYM",1,9.490621089935303,,,,,,,,,,,,2.3466914892196655,"Todd Frazier",785,453943
"Steve Tolleson","TOR",1,,,,,,,,11.196322739124298,,,-3.791310638189316,,2.1963680783907575,"Steve Tolleson",4450,476270
"Jake Elmore","- - -",2,,,,,,,,-12.856640986033849,,,7.023017729322116,,1.5671351924538612,"Jake Elmore",7290,518653
"Kevin Newman","LAA",4,15.14597088098526,,,,,,,,,-6.056060172893383,,,1.3900282979011536,"Kevin Newman",17696,621028
"Eddie Gamboa","TBR",13.1,,,-0.7810958971579869,,,0.5427229404449463,,,,,,,1.1951812060482532,"Eddie Gamboa",6911,543195
"Pierson Ohl","MIN",30,-0.4512412226305599,,-1.018095132894814,,,-6.240147848924002,,1.7439872026443481,,,-1.2259213517351848,,0.682980865240097,"Pierson Ohl",30179,701487
"Jamey Carroll","MIN",1,,,,,,,,,,,10.476788452693395,,0.4666101187467575,"Jamey Carroll",1591,425206
"R.A. Dickey","- - -",1807.2,0.7495430208783331,,,,,,,-0.11786946228572301,,-0.43424926013218124,,,0.03299589340097272,"R.A. Dickey",1245,285079
"Steven Wright","BOS",347.2,2.5542427719377514,,,,,0.7165508299339108,,-0.26116320298294005,,,,,-0.12321648598284814,"Steven Wright",8185,453214
"Tim Wakefield","BOS",794.1,1.169523115210356,,,,,,,1.2266441218314632,,,,,-0.31315333605764606,"Tim Wakefield",219,123801
"Jeff Cirillo","ARI",1,,,,,,,-3.720162808895111,,,,2.57320014330057,,-0.43519318103790283,"Jeff Cirillo",1073,112297
"Joe Mather","- - -",2.1,,,,,,,,-25.481629371643066,,,-0.4779623500232039,,-0.8158866316080093,"Joe Mather",3714,458628
"George Kirby","SEA",637.2,1.1654003614824993,,-2.684392880900462,-1.3250670270793605,,0.598406252125871,0.8672590116186747,,-0.5220127941697891,,-1.3760597868399187,,-0.9954594075679779,"George Kirby",25436,669923
"Frank Schwindel","CHC",3,-13.853129744529724,,,,,,,,,-13.04311603307724,,,-1.015206053853035,"Frank Schwindel",15351,643524
"Matt Waldron","SDP",192.2,-0.8304222840484778,,1.36958470312648,,,0.42733621138792766,0.376872593533853,,,,,,-1.1110707470559633,"Matt Waldron",25550,663362
"Charlie Haeger","- - -",64.2,-1.2290993473560514,,,,,,-9.940753877162933,-1.3484730819861095,,,-2.4022842708386873,,-1.1837083250284195,"Charlie Haeger",3545,446624
"Danny Worth","DET",2,-47.80602753162384,,,,,,,-4.64695617556572,,,,,-1.3841650941792656,"Danny Worth",198,519445
"Aaron Miles","STL",5,,,,,,,,,,,19.625835120677948,,-1.7699057066982442,"Aaron Miles",1844,425446
"Andrew Romine","- - -",6.2,-3.0061906307107873,,-11.8886492469094,,,0,-3.8834206759929657,-27.724374334017437,,-13.302682638168333,-0.9132988662237213,,-2.5610946118831635,"Andrew Romine",1159,461865
"Ryan Franklin","STL",312.1,1.4213528941770526,,-0.8720078715332993,-0.507950474800616,,-1.4667526285845862,-0.627986885168973,-0.07596623206484146,,,0.7800595182925463,,-2.7330875396728516,"Ryan Franklin",1076,211041
"James McCann","BAL",2,,,,,,,,,,-7.619847492738203,,,-2.964581921696663,"James McCann",12859,543510
"Jack Mayfield","- - -",1.1,5.0150250643491745,,,,,,,14.552666246891022,,,,,-3.4783005714416504,"Jack Mayfield",15402,608686
"Skip Schumaker","- - -",4,-0.850533036624684,,0.10163034941699053,,,,,-4.28571805357933,,,-4.0809336635801525,,-3.5700924694538116,"Skip Schumaker",3704,435401
"Ryan Feierabend","- - -",102,-2.1163623197009143,,,,,-0.9880142301086365,-2.0457151751576754,-1.871955019496653,,,-2.2065221836572615,,-3.7055075985111605,"Ryan Feierabend",6336,456387
"Jake Rogers","DET",4.2,4.5288339257240295,,,,,,-5.981696769595146,,,-3.563633064428965,18.256399035453796,,-4.294264316558838,"Jake Rogers",19452,668670
"Charlie Zink","BOS",4.1,8.220743139584858,,,,,,-3.786475956439972,12.847122550010681,,,1.0301632916226107,,-4.423360501305532,"Charlie Zink",4180,468402
"John Baker","CHC",1,,,,,,,,,,,12.73560779435294,,-4.9991171807050705,"John Baker",4756,434633
"Jose Trevino","- - -",4.1,-3.3464980721473694,,,,,,,,,-3.629840697560992,,,-5.026316872009865,"Jose Trevino",16725,624431
"Dean Anna","NYY",1,,,,,,,,,,,,,-5.102820256177116,"Dean Anna",8353,542883
"Erik Kratz","- - -",7,0.7259748353247056,,,,,,-11.603885995490211,5.265879910439253,,,-2.047092694303264,,-5.21383940897606,"Erik Kratz",4403,456124
"Luke Maile","- - -",12,-4.609663106367259,,,,,,,,,4.817921668291092,,,-5.849293406520571,"Luke Maile",13355,571912
"Mike Carp","BOS",1,,,,,,,,,,,3.1058889627456665,,-6.334148512946235,"Mike Carp",7480,455077
"Vinny Capra","CHW",3,,,,,,,,,,-4.988884156750094,,,-8.921898901462555,"Vinny Capra",25040,681962
"Mickey Jannis","BAL",3.1,-10.35270028644138,,,,,,,,-4.202738404273987,,,,-8.98592848526804,"Mickey Jannis",11071,595263
"Nick Nelson","- - -",114.1,-0.9670660225335319,,,,,1.1517234794471576,1.1484349602643324,0.18574330860223526,,,-0.42817312419612547,,-10.774125158786774,"Nick Nelson",20153,656793
"Adrian Morejon","SDP",212.1,-1.0877419126482544,,-3.639655794416155,1.9906413407973302,,1.9378696980714099,0.7681893759055048,1.4475112300865427,,,0.955868786200881,,-12.638204097747801,"Adrian Morejon",20039,670970
"Kevin Cash","HOU",1,,,,,,,,,,,,,-12.99510399500529,"Kevin Cash",1593,408211
"Ernie Clement","- - -",4,-1.4755429479025177,,,,,,,,,,,,-20.03987839347438,"Ernie Clement",20352,676391
"Christian Koss","SFG",4,-15.712190667788187,,,,,,,,,6.660349304611618,,,-28.02923321723938,"Christian Koss",27653,683766
"Scott Patterson","- - -",4.2,2.7049551276784194,,,,,,-7.512014731764793,-7.893538562690511,,,-3.79346264526248,,,"Scott Patterson",5,456499
"Jamie Burke","SEA",1,,,,,,,,-4.066025465726852,,,-0.35545146092772484,,,"Jamie Burke",6,406550
"Neftalí Feliz","- - -",393.1,1.0353587297821216,,5.259731758472531,,,2.0736896779773564,0.12633290699147803,0.43231863528490067,,,-0.06658254589160134,,,"Neftali Feliz",18,491703
"Ramon Ortiz","- - -",192.2,-2.7027783703736286,,,,,-2.2418256553791425,0.9507704186334944,,,,-0.308371732000914,,,"Ramon Ortiz",27,150009
"Troy Percival","- - -",97,0.6970086065279383,,,,,2.251198199048317,2.489595115184784,-0.4666183858293376,,,-3.7510931491851807,,,"Troy Percival",29,120401
"Scott Schoeneweis","- - -",153.1,-0.4621668028480867,,-45.39664586385091,,,-1.0061758342637661,0.4496995223130231,19.412565231323242,,,23.501865565776825,,,"Scott Schoeneweis",33,150011
"Aaron Sele","NYM",53.2,-2.8988688332693915,,-0.11360201645981181,,,2.0991985996564226,-3.4271195017058274,-0.06284593887951063,,,-0.5184901079961232,,,"Aaron Sele",34,121986
"Scot Shields","LAA",204,0.633886751623365,,,,,0.14302169009734358,-0.5507106892764568,0.32791107321699586,,,2.1707216898600263,,,"Scot Shields",35,276912
"Xavier Cedeño","- - -",177.2,0.754054764448368,,-0.5766417061992984,3.72450090944767,,-1.5122361635491692,3.348370860604679,0.9366075136098303,,,-3.4078551841707063,,,"Xavier Cedeno",36,458584
"Scott Spiezio","STL",1,9.426847100257874,,,,,,,,,,-0.04283644258975983,,,"Scott Spiezio",37,122596
"Jarrod Washburn","- - -",523.1,-0.04360724660572917,,-1.9645155922615485,-0.6547374384743827,,0.09702931278281741,2.442692400831165,0.6533779274422207,,,-1.4863605653647671,,,"Jarrod Washburn",40,132220
"Matt Wise","- - -",60.2,-3.4068935889412058,,0.134948268532753,,,,-2.692323923110962,6.6452063620090485,,,-0.8533900965460771,,,"Matt Wise",42,277184
"Miguel Batista","- - -",574.2,0.3858549422159593,,-2.1724981676007427,0.9238573908805846,,-0.5184109188373066,-0.08477942046956119,-2.8735554646900905,,,-1.3706168295531873,,,"Miguel Batista",46,110683
"Randy Johnson","- - -",336.2,-2.086493883888238,,,-0.8285109647064932,,1.634871560304903,1.0107928150336458,,,,,,,"Randy Johnson",60,116615
"Byung-Hyun Kim","- - -",118.1,-1.1645994948212213,,,,,,0.1773207806623899,-5.8130596950650215,,,-2.6525164943143547,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","CLE",6,4.085730371021088,,,,,9.309375286102295,0,-3.720162808895111,,,-16.390396654605865,,,"Mike Koplove",63,407377
"Mike Myers","- - -",54.1,1.001205714810796,,,,,,-1.5978891650835672,-2.6065059579335728,,,-18.902816091265,,,"Mike Myers",68,119624
