Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","- - -",1807.2,34.291593205183744,,,,,,,-0.00825086236000061,,-3.0701422691345215,,,7.4501427710056305,"R.A. Dickey",1245,285079
"Eddie Gamboa","TBR",13.1,,,-0.18746301531791687,,,0.1628168821334839,,,,,,,1.9840008020401,"Eddie Gamboa",6911,543195
"Erick Aybar","SDP",1.1,,,,,,,,-0.12802070379257202,,,,,1.1222012042999268,"Erick Aybar",4082,430947
"Jonah Bride","MIN",6,-5.354203701019287,,,,,,,,-0.6386458277702332,,,,0.9363771677017212,"Jonah Bride",24703,681146
"Joe Inglett","MIL",1,,,,,,,,,,,,,0.7347985506057739,"Joe Inglett",7254,446928
"Dusty Brown","BOS",1,,,,,,,,,,,-1.0155695676803589,,0.5634644627571106,"Dusty Brown",3420,451259
"Mike McCoy","TOR",1,,,-0.022227823734283447,,,,,,,,0.22121977806091309,,0.517433226108551,"Mike McCoy",4583,453454
"Mitch Maier","KCR",2,,,,,,,0.20823341608047485,-0.8584540486335754,,,0.8871768116950989,,0.39709144830703735,"Mitch Maier",5588,430574
"Felipe Lopez","STL",1,,,,,,,,,,,-0.3910576105117798,,0.29625821113586426,"Felipe Lopez",1311,150479
"Drew Butera","- - -",6,-2.6308255344629288,,-0.03502220660448074,,,0.5138700604438782,,0.027950720861554146,,,-1.0877031534910202,,0.2798163592815399,"Drew Butera",3411,460077
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,0.2660747170448303,"J.P. Arencibia",697,450317
"Josh Harrison","- - -",5,-5.4551544189453125,,,,,,,-1.2342175245285034,,,,,0.24295198917388916,"Josh Harrison",8202,543281
"Mike Yastrzemski","SFG",2,-0.7174454852938652,,,,,,-0.07256509363651276,-0.03507758677005768,,-1.5283358097076416,,,0.2358349710702896,"Mike Yastrzemski",14854,573262
"Chris Gimenez","- - -",11,-5.83435483276844,,-0.03502220660448074,,,,,-1.377956748008728,,,0.800446480512619,,0.18539756536483765,"Chris Gimenez",7324,460269
"Alex Blandino","CIN",4.2,-0.7821384817361832,,,,,,,-0.02202713117003441,,,,,0.18151479959487915,"Alex Blandino",16271,607468
"Leury García","CHW",2,-0.3861670456826687,,,,,,,-0.0764336958527565,,,-0.343611940741539,,0.13079720735549927,"Leury Garcia",5913,544725
"Todd Frazier","NYM",1,0.7592496871948242,,,,,,,,,,,,0.11733457446098328,"Todd Frazier",785,453943
"Kevin Newman","LAA",4,0.3029194176197052,,,,,,,,,-1.6351362466812134,,,0.06950141489505768,"Kevin Newman",17696,621028
"Steve Tolleson","TOR",1,,,,,,,,0.22392645478248596,,,-0.30330485105514526,,0.06589104235172272,"Steve Tolleson",4450,476270
"Martín Maldonado","- - -",2,-0.938875138759613,,,,,,0.03780873864889145,0.22578838467597961,,-3.0463690757751465,0.24160650372505188,,0.05402796342968941,"Martin Maldonado",6887,455117
"Pierson Ohl","MIN",30,-1.0198051631450653,,-0.651580885052681,,,-0.7488177418708801,,0.5580759048461914,,,-2.513138771057129,,0.03414904326200485,"Pierson Ohl",30179,701487
