Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Mike McCoy","TOR",0.42857143,0.8,0.58333333,0.33333333,0.5,0.42857143,0.41666667,0.66666667,0.33333333,0.16666667,0.5,"Mike McCoy",4583,453454
"Mike Schultz","ARI",0.33333333,0.5,0.41666667,0.5,0.33333333,0.4,0.5,1,0.25,0.25,0.5,"Mike Schultz",7057,449128
"Sean Rodríguez","PHI",0.33333333,0.625,0.54545455,0,0.8,0.66666667,0.72727273,0.75,0.18181818,0.27272727,0.45454545,"Sean Rodriguez",6589,446481
"Jamey Carroll","MIN",0.33333333,0.66666667,0.44444444,0.5,1,0.75,0.33333333,0.66666667,0.11111111,0.33333333,0.44444444,"Jamey Carroll",1591,425206
"John Rooney","HOU",0.25,0.45454545,0.34782609,0,0.8,0.5,0.47826087,0.5,0.17391304,0.26086957,0.43478261,"John Rooney",24590,680701
"Rob Johnson","- - -",0.16666667,0.5,0.35714286,0,1,0.8,0.57142857,0.75,0.07142857,0.35714286,0.42857143,"Rob Johnson",8029,453531
"Aaron Altherr","PHI",0.3,0.77777778,0.52631579,0.66666667,0.57142857,0.6,0.47368421,0.6,0.21052632,0.21052632,0.42105263,"Aaron Altherr",11270,571437
"Duke Welker","PIT",0,0.6,0.3,,0.83333333,0.83333333,0.5,0.5,0.05,0.35,0.4,"Duke Welker",792,444992
"Franmil Reyes","CHC",0.125,1,0.3,0,1,0.66666667,0.2,0.66666667,0.1,0.3,0.4,"Franmil Reyes",14566,614177
"J.B. Miadich","ANA",0.25925926,0.38095238,0.3125,0.28571429,0.875,0.6,0.4375,0.58333333,0.125,0.27083333,0.39583333,"J.B. Miadich",23,400082
"Aaron Hicks","LAA",0.3,0.625,0.44444444,0.66666667,0.8,0.75,0.44444444,0.83333333,0.11111111,0.27777778,0.38888889,"Aaron Hicks",5297,543305
"John McMillon","- - -",0.36241611,0.59302326,0.44680851,0.35185185,0.84313725,0.59047619,0.36595745,0.5,0.18297872,0.19574468,0.3787234,"John McMillon",27942,669111
"Stephen Ridings","NYY",0.28571429,0.6875,0.45945946,0.25,0.77272727,0.58823529,0.43243243,0.65,0.18918919,0.18918919,0.37837838,"Stephen Ridings",22358,670050
"Ryan Rua","TEX",0.6,1,0.75,0.33333333,1,0.66666667,0.375,1,0.25,0.125,0.375,"Ryan Rua",12409,607387
"Blake Cederlind","PIT",0.24242424,0.58823529,0.41791045,0.375,0.8,0.67857143,0.50746269,0.5625,0.13432836,0.23880597,0.37313433,"Blake Cederlind",20344,664977
"Fabio Castillo","LAD",0.36842105,0.63636364,0.46666667,0.28571429,0.85714286,0.57142857,0.36666667,0.625,0.2,0.16666667,0.36666667,"Fabio Castillo",2826,503566
"Cody Laweryson","MIN",0.36170213,0.63043478,0.49462366,0.82352941,0.75862069,0.7826087,0.49462366,0.76923077,0.10752688,0.25806452,0.3655914,"Cody Laweryson",26429,689520
"Matt Ramsey","LAA",0.16666667,0.6,0.36363636,0,1,0.75,0.45454545,0.33333333,0.09090909,0.27272727,0.36363636,"Matt Ramsey",14460,543677
"Grae Kessinger","HOU",0.16666667,0.6,0.36363636,1,1,1,0.45454545,0.33333333,0,0.36363636,0.36363636,"Grae Kessinger",25813,666197
"John Holdzkom","PIT",0.22033898,0.63235294,0.44094488,0.53846154,0.79069767,0.73214286,0.53543307,0.625,0.11811024,0.24409449,0.36220472,"John Holdzkom",9392,458720
"Christian Garcia","WSN",0.31632653,0.64,0.4566474,0.38709677,0.72916667,0.59493671,0.43352601,0.5,0.1849711,0.1734104,0.3583815,"Christian Garcia",4067,451600
"Shane Robinson","MIN",0.1,0.25,0.14285714,1,1,1,0.28571429,,0,0.35714286,0.35714286,"Shane Robinson",4249,453203
"Logan Davidson","LAA",0,0.33333333,0.14285714,,1,1,0.42857143,0.33333333,0,0.35714286,0.35714286,"Logan Davidson",25844,669722
"Kevin Ohme","STL",0.25,0.79310345,0.6,0,0.7826087,0.66666667,0.64444444,0.41176471,0.2,0.15555556,0.35555556,"Kevin Ohme",1687,150227
"Jason Waddell","CHC",0.26315789,0.72727273,0.43333333,0.6,0.875,0.76923077,0.36666667,0.625,0.09677419,0.25806452,0.35483871,"Jason Waddell",3474,455730
