Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Anthony Recker","NYM",1,0,302.6365375424978,0,1015.2106098036458,0,255.41489018657956,101.26197094892598,156.05236230209664,0,0,505.42759356483253,507.08565901594073,307.2166934924916,0,0,302.8963082313454,"Anthony Recker",4063,489232
"Rob Johnson","- - -",1.1,177.92344334973956,0,,0,251.35061691687773,0,0,0,0,,0,1.3437164870211338,57.398388701285484,0,0,300.01766785716075,"Rob Johnson",8029,453531
"Mark Grace","ARI",1,0,0,,887.9707108049543,0,0,98.75882295738397,73.03388071979998,0,137.6827399505491,208.51112347983093,376.44686011702106,205.25515606569854,0,0,290.1829251418293,"Mark Grace",56,115007
"D'Angelo Jimenez","SDP",1.1,0,0,,0,0,0,0,0,0,,0,72.51933115312067,171.421921297262,0,0,290.1829251418293,"D'Angelo Jimenez",1038,150090
"Wilson Valdez","PHI",1,0,0,,0,0,0,0,0,0,136.75358807467333,0,154.89324798479063,255.58973070158143,0,0,283.747180238448,"Wilson Valdez",1863,407832
"Darwin Barney","TOR",1,112.29992837553353,0,,736.5711940872524,119.46061488991137,0,98.51704310571611,75.63698214445598,0,136.50348430482364,214.3460492807462,334.091067469926,145.03924988633938,0,0,282.43315972090704,"Darwin Barney",2430,446381
"Johnny Field","TBR",1,0,282.5549874159642,0,0,0,301.45773972495056,0,76.21358936626743,0,138.00130423824788,0,150.5563507515122,261.1530105628927,0,0,274.42483286218373,"Johnny Field",15048,608654
"Bubby Rossman","PHI",1,104.23730695018543,284.3486905097198,36.65827013648666,816.2619529618436,88.42747760072731,241.22108604883886,103.49894987888675,156.35406073583223,0,0,444.16953498967973,414.1456598732698,212.5253924692395,0,0,274.0833266625389,"Bubby Rossman",17179,657745
"Matt Ramsey","LAA",1,102.11696227383649,0,,0,146.64563450099658,0,0,0,0,,0,26.597409103809788,113.35397314516551,0,0,273.9569599023258,"Matt Ramsey",14460,543677
"Ricky Karcher","CIN",1,0,269.7136638159181,0,0,0,288.8746053788148,0,75.10095771848583,0,139.28462405383024,0,135.9822808447213,255.96190957249667,0,0,273.58732418424876,"Ricky Karcher",23449,676689
"Mark Loretta","- - -",1.1,193.0368428658537,202.71469054821907,95.22588285295501,0,158.45749933706338,166.40172118479538,78.09176839946984,109.62028144149902,114.71937193918372,139.04314742157044,0,107.2776071256605,381.05073098057443,0,0,270.77073444546903,"Mark Loretta",1383,117928
"Jason Wood","FLA",1,0,0,,0,0,0,0,0,0,,0,72.70805713822016,156.45571931011713,0,0,262.9079324007642,"Jason Wood",1999,133120
"Josh Lester","BAL",1,101.17059504023965,275.0849713096808,36.77794535442461,0,86.22749603820287,234.4543668738426,102.91726857392929,154.03266217933077,113.66940887112695,138.95937770324153,0,99.92433549846719,215.186642733787,0,0,260.37382414649403,"Josh Lester",17737,623507
"César Salazar","HOU",1,0,0,,0,0,0,0,0,0,136.9573460543576,0,148.48860013655607,260.76422861826074,0,0,255.86204703625447,"Cesar Salazar",21587,663967
"Jacob Amaya","CHW",1,0,0,,0,0,0,0,0,0,,0,72.46963744732473,187.49092666597332,0,0,255.86204703625447,"Jacob Amaya",23296,676070
