Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Blake Cederlind","PIT",4,,124.06341463414633,127.072,,96.28,,,,,124.77134328358207,119.64567164179107,138.02328358208953,"Blake Cederlind",20344,664977
"Emmanuel Clase","- - -",360,102.5968181818182,98.444,127.4187104569063,,145.1624877281285,,,,,132.2962014613414,100.05115057128384,130.24574432914986,"Emmanuel Clase",21032,661403
"Roberto Osuna","- - -",315,105.42,92.06,86.28666666666668,,110.21999999999998,,117.44800000000001,,,104.22145454545455,122.13636363636363,130.17345454545455,"Roberto Osuna",13764,532077
"Jacob Misiorowski","MIL",66,120.76234374999999,,,,117.58733850526153,127.35717647058824,80.01246376811594,,,118.5782322728121,104.17162908191828,128.82710813584626,"Jacob Misiorowski",31623,694819
"Jacob deGrom","- - -",1539.2,112.05516525023607,,,,126.90436213734876,110.4404366812227,109.21017980636236,,,117.1482487286794,107.84069611032317,127.65223125817462,"Jacob deGrom",10954,594798
"Brusdar Graterol","- - -",190.2,89.78203786312697,135.36679611650482,107.45103046168488,,134.7829659073536,,93.88,,,126.56239482193358,103.9257128994497,125.61873503341779,"Brusdar Graterol",20367,660813
"Jonathan Loáisiga","NYY",249.1,114.88134387351778,131.86393462469732,94.54470588235296,,127.58846153846154,119.19936283185841,100.64735353535353,,,122.68677240943838,101.41154241475391,123.02001068436127,"Jonathan Loaisiga",19753,642528
"Orion Kerkering","PHI",126,104.2637391304348,113.20311977715879,,,132.65839242196895,,,,,120.66069713370561,105.85954833753136,121.79220718966319,"Orion Kerkering",31776,689147
"Blair Calvo","COL",1,,111.46,,,84.74,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Félix Bautista","BAL",161.1,129.52242626904945,86.79257731958764,80.44,135.56565597667637,106.79638766519825,,,,,120.40888247930431,96.94449288608129,121.25879260743982,"Felix Bautista",20666,642585
"Tyler Rogers","- - -",424,97.85216783216782,123.56460580912866,,,127.57096980399953,,,,,124.53547717568625,103.9068896782224,120.79899322605473,"Tyler Rogers",15541,643511
"Chase Burns","CIN",43.1,109.15990950226247,109.66,,,127.38090566037737,103.99333333333334,95.09776515151516,,,114.5617385837696,105.99225276666775,120.59933682350776,"Chase Burns",35333,695505
"Jhoan Duran","- - -",254.1,111.71172251616697,,,124.51009590235395,126.85548387096776,140.14699791892872,,155.46213592233008,,127.24194777512425,95.36957282928505,120.43418517910096,"Jhoan Duran",21029,661395
"Jeremiah Estrada","- - -",150.1,113.31973007712084,,,109.98164609053498,90.43899441340781,127.85000000000002,93.49,,,107.89059003767028,112.49597598243373,120.24554589017185,"Jeremiah Estrada",22210,669093
"Scott Effross","- - -",85.1,100.10171052631581,114.39197396963122,,,116.81630050345395,,110.42814371257485,,,114.27475560015274,114.281924652011,120.24306739660996,"Scott Effross",18384,664123
"Liam Hendriks","- - -",663.2,114.097519729425,,,,114.73442507122506,126.53877862595421,102.08666666666666,,,115.50627010951256,104.87556236396435,119.40339522089403,"Liam Hendriks",3548,521230
"José Alvarado","- - -",368.1,87.1521568627451,110.56596340150699,121.55901320361363,,,127.3140425531915,,,,114.20956682566859,100.75348729846965,119.08948438576058,"Jose Alvarado",17780,621237
"Adrian Morejon","SDP",212.1,106.46292119381835,117.40499999999997,99.57028571428572,143.58567901234565,132.23940034977923,108.15797838968282,122.84546511627906,,,117.89779162069074,104.05392170682825,118.61807580622505,"Adrian Morejon",20039,670970
"Zack Wheeler","- - -",1728.1,115.64465383421299,123.92327102803738,103.74839357429718,95.39580993520518,112.522885041803,118.94775678508847,76.58965811965814,,,114.02415244255764,105.2850529084903,118.45696227466692,"Zack Wheeler",10310,554430
"Edgardo Henriquez","LAD",22.1,125.95275862068968,131.85804878048782,126.57295454545459,,128.75384615384618,,,,,127.98619215275791,91.76216385954893,118.22494200737991,"Edgardo Henriquez",26944,683618
"Blake Treinen","- - -",576.1,90.58208178438662,110.09296726504753,106.51431127012519,,134.626395816039,,97.96,,,116.53205698657092,105.58708269587171,118.15212664090106,"Blake Treinen",12572,595014
"Ryan Thompson","- - -",241.1,120.02174647887324,121.72557026476578,109.10062500000001,100.38,128.21074999038402,,98.46899999999998,,,123.53878715458062,100.07859406651818,117.90319990775232,"Ryan Thompson",16647,657044
"Corbin Burnes","- - -",968,103.89725000000001,87.6905518763797,116.69693153000846,,129.55657357723234,126.23342357033115,95.94426275331935,,,115.57509060908181,100.1737972075282,117.74799947205871,"Corbin Burnes",19361,669203
"Evan Phillips","- - -",252,105.54810478680048,108.96949494949494,100.54725451048184,,130.91980985479586,,109.06418604651164,,,116.52174941161009,103.35268098720312,117.4925971392948,"Evan Phillips",17734,623465
"Grant Taylor","CHW",36.2,106.90836795252228,,78.96352941176472,,111.16894736842106,71.97060606060604,,,,94.7648455686027,120.78113088915046,117.47432396428468,"Grant Taylor",33927,691799
"Chaz Roe","- - -",217.1,83.63777777777779,96.97720930232559,95.86959999999999,,126.84304761904764,,,,,113.39571428571429,97.28615384615385,117.06560439560438,"Chaz Roe",9866,475054
"Pete Fairbanks","- - -",265.1,114.86779926335174,,141.08761904761906,,132.61674011142304,,94.31977272727272,,,122.32450873237323,96.8694477427086,116.85927259276635,"Pete Fairbanks",17998,664126
"Aroldis Chapman","- - -",821.1,96.39247745813654,139.63137931034484,,128.56716190476192,114.60139718964905,,,,,111.9920003715123,104.90114486387475,116.60437623915867,"Aroldis Chapman",10233,547973
"Kenley Jansen","- - -",927.1,,116.39241212121213,123.69564226716037,,124.6711584849306,,,,,122.57339152567616,97.27251403296816,116.4373184571834,"Kenley Jansen",3096,445276
"Gerrit Cole","- - -",1954,116.70611848494657,126.60200000000002,102.53127906976742,,123.26880423632137,,82.99007561436673,113.86271821909781,,113.99842884587821,103.55942295304742,116.4178494572502,"Gerrit Cole",13125,543037
"Devin Williams","- - -",297.2,104.21911894273128,,88.19911111111112,,102.26486153846155,,126.13440860215054,,,116.40983191783704,98.04094405640284,116.18209998953881,"Devin Williams",15816,642207
"Edwin Díaz","- - -",519.1,111.16486069438493,115.41777777777776,,,128.47609992857997,,87.88999999999999,,,119.21460585386166,95.14462958503397,115.92197533244806,"Edwin Diaz",14710,621242
"Josh Hader","- - -",512.1,75.12,117.54953734671125,,,120.52196810670107,,92.90435294117646,,,117.59256773305354,100.15412164643062,115.82845227727034,"Josh Hader",14212,623352
"Paul Sewald","- - -",396,125.13773664282711,,,,110.57822558507546,,85.25428571428571,,,119.04088168463859,98.62278281899819,115.71408868029079,"Paul Sewald",13892,623149
"Paul Skenes","PIT",320.2,98.224039408867,109.29816326530612,,89.5641075794621,139.40039550252746,118.68675675675678,105.71272727272729,,,107.53209879046783,110.86066138823192,115.56204837185199,"Paul Skenes",33677,694973
"Bubba Chandler","PIT",31.1,113.29301204819276,,,,117.8925925925926,101.18967592592593,91.76961538461538,,,108.53614888451537,104.25139388889687,115.304384651851,"Bubba Chandler",29868,696149
"Yimi García","- - -",419.1,113.23018267530936,109.6041121495327,,,113.87551213199953,108.12296379144858,94.34650000000002,,,110.52140190904262,103.9873197468883,115.29610284274568,"Yimi Garcia",12095,554340
"Shane McClanahan","TBR",404.2,102.62085280852808,,,,121.64603119412564,122.65208547651275,114.60330670926517,,,112.98467811317438,102.3831715745261,115.01333016433526,"Shane McClanahan",21483,663556
"Spencer Schwellenbach","ATL",234.1,110.01656108597287,106.85251748251751,99.5910931174089,119.37343478260871,110.59602878661485,100.22514285714286,,,,108.34589027648856,107.80410205696215,115.00321565414043,"Spencer Schwellenbach",31846,680885
"Ryan Helsley","- - -",319.2,106.2168101933216,97.71,106.54153846153847,,139.30229206324415,129.1283573487032,89.7488888888889,,,121.14508877140874,94.83106759226176,114.99906481453577,"Ryan Helsley",18138,664854
