Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Dusty Brown","BOS",1,,,,,,,,,,,11.456714085170201,,11.74566650390625,"Dusty Brown",3420,451259
"Jamey Carroll","MIN",1,,,,,,,,,,,9.347142900739398,,10.475000381469727,"Jamey Carroll",1591,425206
"Martín Maldonado","- - -",2,10.941862424214682,,,,,,2.059999942779541,-1.8899999856948853,,7.5150942121233255,9.685454628684305,,10.359999656677246,"Martin Maldonado",6887,455117
"John Baker","CHC",1,,,,,,,,,,,8.598571232386998,,10.059999465942383,"John Baker",4756,434633
"Skip Schumaker","- - -",4,6.201764723833869,,1.8429728327570736,,,,,-9.98799991607666,,,4.987037234836155,,9.819999694824219,"Skip Schumaker",3704,435401
"Joe Inglett","MIL",1,,,,,,,,,,,,,9.763333638509115,"Joe Inglett",7254,446928
"Chris Gimenez","- - -",11,12.650206215361244,,11.359999656677246,,,,,11.46368408203125,,,10.876000213623048,,9.550000190734863,"Chris Gimenez",7324,460269
"Joe Mather","- - -",2.1,,,,,,,,-4.400000095367432,,,9.313103379874393,,9.40999984741211,"Joe Mather",3714,458628
"Kevin Cash","HOU",1,,,,,,,,,,,,,8.802222357855904,"Kevin Cash",1593,408211
"Dean Anna","NYY",1,,,,,,,,,,,,,7.640588199391084,"Dean Anna",8353,542883
"Mitch Maier","KCR",2,,,,,,,0.8500000238418579,-1.725000023841858,,,3.538461501781757,,7.361666361490886,"Mitch Maier",5588,430574
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,7.273999786376953,"J.P. Arencibia",697,450317
"Andrew Romine","- - -",6.2,9.695762700504726,,9.259090770374645,,,3.9600000381469727,5.2327117919921875,5.836666822433472,,4.837237930297851,7.885866914476667,,6.489999771118164,"Andrew Romine",1159,461865
"Luke Maile","- - -",12,10.306007613678892,,,,,,,,,9.819921493530273,,,6.289622261410668,"Luke Maile",13355,571912
"Felipe Lopez","STL",1,,,,,,,,,,,9.439167022705078,,5.65749979019165,"Felipe Lopez",1311,150479
"Kevin Newman","LAA",4,9.555215835571289,,,,,,,,,8.097128974066841,,,5.554037094116211,"Kevin Newman",17696,621028
"Josh Harrison","- - -",5,6.797954358552632,,,,,,,-1.609174410502116,,,,,5.472499847412109,"Josh Harrison",8202,543281
"Steve Tolleson","TOR",1,,,,,,,,1.130000114440918,,,3.583749771118164,,5.46999994913737,"Steve Tolleson",4450,476270
"Aaron Miles","STL",5,,,,,,,,,,,6.245999813079834,,5.255000027743253,"Aaron Miles",1844,425446
"Mike McCoy","TOR",1,,,6.78000020980835,,,,,,,,5.350000381469727,,5.172222137451172,"Mike McCoy",4583,453454
"Leury García","CHW",2,8.387142726353236,,,,,,,2.7433334986368814,,,7.2697296142578125,,5.059999942779541,"Leury Garcia",5913,544725
"Drew Butera","- - -",6,8.55997334798177,,9.260000228881836,,,7.71999994913737,,3.570000171661377,,,8.2603218274958,,5.049999872843425,"Drew Butera",3411,460077
"Erick Aybar","SDP",1.1,,,,,,,,-0.9128893613815308,,,,,4.717883370139382,"Erick Aybar",4082,430947
"Pierson Ohl","MIN",30,10.72495776151134,,5.06308650970459,,,10.858333587646484,,-6.026241064071655,,,3.1150677936833078,,4.698004913330078,"Pierson Ohl",30179,701487
"Jeff Cirillo","ARI",1,,,,,,,5.159999847412109,,,,9.819999694824219,,4.4430999755859375,"Jeff Cirillo",1073,112297
"Alex Blandino","CIN",4.2,6.827437278551933,,,,,,,2.541689078013102,,,,,4.144873301188151,"Alex Blandino",16271,607468
"Jack Mayfield","- - -",1.1,7.8366943359375,,,,,,,7.178144454956055,,,,,4.0800260816301614,"Jack Mayfield",15402,608686
"Mike Yastrzemski","SFG",2,9.28719654083252,,,,,,2.946530818939209,-3.895181179046631,,8.663560755112591,,,3.1482183933258057,"Mike Yastrzemski",14854,573262
"Todd Frazier","NYM",1,11.922158241271973,,,,,,,,,,,,3.0271675109863283,"Todd Frazier",785,453943
"Charlie Haeger","- - -",64.2,6.764519294444072,,,,,,7.86899995803833,-3.595491728683313,,,7.854052894993832,,2.743893847465515,"Charlie Haeger",3545,446624
"Jose Trevino","- - -",4.1,8.383180541992187,,,,,,,,,6.596306937081473,,,2.6633417422954855,"Jose Trevino",16725,624431
"Ryan Feierabend","- - -",102,9.478250923460296,,,,,6.423023614357776,0.7127423608229936,-3.0208028807257215,,,7.224359325691169,,2.5469061446516483,"Ryan Feierabend",6336,456387
"Jake Elmore","- - -",2,,,,,,,,3.513571568897792,,,7.920833269755046,,2.5450000762939453,"Jake Elmore",7290,518653
"Charlie Zink","BOS",4.1,14.170667012532553,,,,,,5.366000175476074,-3.5369999408721924,,,11.133941650390625,,2.467322139416711,"Charlie Zink",4180,468402
"George Kirby","SEA",637.2,8.703353653348762,,3.003979819161551,0.8704782424667157,,6.133610072084218,-1.2117953120716034,,-7.123286679794228,,2.61152036262281,,2.3003334999084473,"George Kirby",25436,669923
"Frank Schwindel","CHC",3,8.65495745340983,,,,,,,,,7.090573787689209,,,2.2570958137512207,"Frank Schwindel",15351,643524
"Ernie Clement","- - -",4,5.079313569149728,,,,,,,,,,,,2.0277807947836424,"Ernie Clement",20352,676391
"Jonah Bride","MIN",6,6.94073486328125,,,,,,,,2.4437087376912436,,,,1.937577520098005,"Jonah Bride",24703,681146
"Nick Nelson","- - -",114.1,9.857745119982035,,,,,6.584185278933981,1.670969703975989,-4.414977636092749,,,4.373135677603788,,1.8822646141052246,"Nick Nelson",20153,656793
"Mickey Jannis","BAL",3.1,9.439019944932726,,,,,,,,-0.06409540176391601,,,,1.8719618947882402,"Mickey Jannis",11071,595263
"Tim Wakefield","BOS",794.1,10.152953456991394,,,,,,,-7.420357365762034,,,,,1.7701960752363637,"Tim Wakefield",219,123801
"Eddie Gamboa","TBR",13.1,,,5.914166768391927,,,5.208666483561198,,,,,,,1.4807229099503483,"Eddie Gamboa",6911,543195
"Erik Kratz","- - -",7,10.669595015676398,,,,,,10.729999542236328,6.800833463668823,,,10.955217610234799,,1.356806719744647,"Erik Kratz",4403,456124
"R.A. Dickey","- - -",1807.2,5.167097935494178,,,,,,,1.3637142436844962,,-0.0650377550084655,,,1.1797977830432453,"R.A. Dickey",1245,285079
"Mike Carp","BOS",1,,,,,,,,,,,7.404499816894531,,0.7211111386617025,"Mike Carp",7480,455077
"Vinny Capra","CHW",3,,,,,,,,,,8.40013663999496,,,0.5264192819595337,"Vinny Capra",25040,681962
