Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Adrian Morejon","SDP",212.1,96.62355094526725,,93.99142717633929,86.1901222511574,,97.55679370510963,86.4481239216577,80.3546391123349,,,86.87600067138672,,86.3,"Adrian Morejon",20039,670970
"Nick Nelson","- - -",114.1,96.19188284501821,,,,,93.24565008412237,88.70229682143854,80.89615337665265,,,88.18920391500987,,79.75,"Nick Nelson",20153,656793
"Pierson Ohl","MIN",30,91.89955665790929,,85.28750038146973,,,91.5750020345052,,77.92499923706055,,,81.07951124237805,,79.74000244140625,"Pierson Ohl",30179,701487
"Mickey Jannis","BAL",3.1,87.73333062065973,,,,,,,,68.65999755859374,,,,77.87719298245614,"Mickey Jannis",11071,595263
"Ryan Franklin","STL",312.1,90.73408345029722,,90.16576433611345,84.09927797833934,,91.45781548182917,86.13529483570773,77.61710399682971,,,84.59968795776368,,77.85909063165838,"Ryan Franklin",1076,211041
"Matt Waldron","SDP",192.2,90.75880602218801,,86.93177290186037,,,90.41077047494741,79.38358356725031,,,,,,77.55788733975199,"Matt Waldron",25550,663362
"Alex Blandino","CIN",4.2,84.68333317683293,,,,,,,73.93333435058594,,,,,76.7000020345052,"Alex Blandino",16271,607468
"R.A. Dickey","- - -",1807.2,83.30598962502401,,,,,,,66.41428484235492,,64.69448346430713,,,76.2299040335634,"R.A. Dickey",1245,285079
"Dusty Brown","BOS",1,,,,,,,,,,,78.71428571428571,,75.18333435058594,"Dusty Brown",3420,451259
"Chris Gimenez","- - -",11,70.06495809962607,,81.30000305175781,,,,,68.63421309621711,,,81.86000061035156,,75.0999984741211,"Chris Gimenez",7324,460269
"Jamey Carroll","MIN",1,,,,,,,,,,,77.35714285714286,,75.05000305175781,"Jamey Carroll",1591,425206
"Steven Wright","BOS",347.2,83.50681175019349,,,,,82.49512388648057,,66.93314625172133,,,,,74.71754399994049,"Steven Wright",8185,453214
"George Kirby","SEA",637.2,95.88320174244487,,88.44323615741013,85.62873364396266,,95.87269971416785,86.76880221896701,,82.4951723303734,,86.45416537198153,,74.6999994913737,"George Kirby",25436,669923
"Joe Mather","- - -",2.1,,,,,,,,71.25,,,78.7896570666083,,74.66666666666667,"Joe Mather",3714,458628
"Ryan Feierabend","- - -",102,88.15623449836549,,,,,88.0275590551181,79.90490872435774,74.04087573420392,,,77.68878275796166,,74.65205446008133,"Ryan Feierabend",6336,456387
"Drew Butera","- - -",6,84.75199869791666,,88,,,89.4666748046875,,74.5,,,81.63823632632985,,74.40000406901042,"Drew Butera",3411,460077
"Skip Schumaker","- - -",4,89.51764454561122,,88.35945747994087,,,,,72.07999725341797,,,80.4296287254051,,74.4000015258789,"Skip Schumaker",3704,435401
"Andrew Romine","- - -",6.2,83.94999684227838,,86.31818181818181,,,87.30000305175781,77.14999898274739,75.83333587646484,,60.679998779296874,78.61190396263486,,74.30000305175781,"Andrew Romine",1159,461865
"Steve Tolleson","TOR",1,,,,,,,,71.85000610351562,,,75.3125,,74.16666666666667,"Steve Tolleson",4450,476270
"John Baker","CHC",1,,,,,,,,,,,77.39999825613839,,73.80000305175781,"John Baker",4756,434633
"Mitch Maier","KCR",2,,,,,,,80.9000015258789,71.69999694824219,,,76.85384662334735,,73.01666768391927,"Mitch Maier",5588,430574
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,71.77000122070312,"J.P. Arencibia",697,450317
"Leury García","CHW",2,86.8000008719308,,,,,,,75.63333129882812,,,83.74054120038006,,70.9000015258789,"Leury Garcia",5913,544725
"Erick Aybar","SDP",1.1,,,,,,,,66.44999694824219,,,,,70.54545454545455,"Erick Aybar",4082,430947
"Kevin Cash","HOU",1,,,,,,,,,,,,,70.47777642144098,"Kevin Cash",1593,408211
"Charlie Haeger","- - -",64.2,82.85407803907927,,,,,,72.4000015258789,71.90749842325846,,,79.66315660978618,,70.38825164794922,"Charlie Haeger",3545,446624
